&   DEFLUENCIAS ANTERIORES AO INICIO DO ESTUDO
&
&
&        Mont Jus TpJ   di hi m df hf m     defluencia
&X       XXX  XXX  X    XX XX X XX XX X     XXXXXXXXXX
DEFANT   257  261  H    13 00 0  F                8178
DEFANT   261  267  H    11 00 0  F               15812
DEFANT   261  267  H    12 00 0  F               16352
DEFANT   261  267  H    13 00 0  F               16698
DEFANT   262  241  H    13 00 0  F                 211
DEFANT   267  275  H    11 00 0  F               16591
DEFANT   267  275  H    12 00 0  F               14875
DEFANT   267  275  H    13 00 0  F               16472
DEFANT   280  284  H    13 00 0  F                1592
DEFANT   285  287  H    13 00 0  F               18736
DEFANT   290   34  H    13 00 0  F                  69
DEFANT   311  312  H    13 00 0  F                 370
DEFANT   312  315  H    13 00 0  F                 393
DEFANT   315   34  H    13 00 0  F                 424
DEFANT    66    1  S    13  0 0  F                6486
DEFANT    66    1  S    13  0 1  F                6485
DEFANT    66    1  S    13  1 0  F                6182
DEFANT    66    1  S    13  1 1  F                6077
DEFANT    66    1  S    13  2 0  F                5866
DEFANT    66    1  S    13  2 1  F                5359
DEFANT    66    1  S    13  3 0  F                5088
DEFANT    66    1  S    13  3 1  F                5047
DEFANT    66    1  S    13  4 0  F                5045
DEFANT    66    1  S    13  4 1  F                5273
DEFANT    66    1  S    13  5 0  F                5241
DEFANT    66    1  S    13  5 1  F                5201
DEFANT    66    1  S    13  6 0  F                5245
DEFANT    66    1  S    13  6 1  F                5370
DEFANT    66    1  S    13  7 0  F                5484
DEFANT    66    1  S    13  7 1  F                5580
DEFANT    66    1  S    13  8 0  F                5691
DEFANT    66    1  S    13  8 1  F                5593
DEFANT    66    1  S    13  9 0  F                5939
DEFANT    66    1  S    13  9 1  F                5987
DEFANT    66    1  S    13 10 0  F                6138
DEFANT    66    1  S    13 10 1  F                6395
DEFANT    66    1  S    13 11 0  F                6369
DEFANT    66    1  S    13 11 1  F                6408
DEFANT    66    1  S    13 12 0  F                6756
DEFANT    66    1  S    13 12 1  F                6889
DEFANT    66    1  S    13 13 0  F                6969
DEFANT    66    1  S    13 13 1  F                7015
DEFANT    66    1  S    13 14 0  F                7120
DEFANT    66    1  S    13 14 1  F                7037
DEFANT    66    1  S    13 15 0  F                6965
DEFANT    66    1  S    13 15 1  F                6966
DEFANT    66    1  S    13 16 0  F                6697
DEFANT    66    1  S    13 16 1  F                6739
DEFANT    66    1  S    13 17 0  F                6518
DEFANT    66    1  S    13 17 1  F                6559
DEFANT    66    1  S    13 18 0  F                6407
DEFANT    66    1  S    13 18 1  F                6791
DEFANT    66    1  S    13 19 0  F                6901
DEFANT    66    1  S    13 19 1  F                6805
DEFANT    66    1  S    13 20 0  F                7036
DEFANT    66    1  S    13 20 1  F                7038
DEFANT    66    1  S    13 21 0  F                7150
DEFANT    66    1  S    13 21 1  F                6925
DEFANT    66    1  S    13 22 0  F                6577
DEFANT    66    1  S    13 22 1  F                6576
DEFANT    66    1  S    13 23 0  F                6499
DEFANT    66    1  S    13 23 1  F                6498
DEFANT    83    1  S    13  0 0  F                 353
DEFANT    83    1  S    13  0 1  F                 200
DEFANT    83    1  S    13  1 0  F                 200
DEFANT    83    1  S    13  1 1  F                 200
DEFANT    83    1  S    13  2 0  F                 200
DEFANT    83    1  S    13  2 1  F                 200
DEFANT    83    1  S    13  3 0  F                 200
DEFANT    83    1  S    13  3 1  F                 200
DEFANT    83    1  S    13  4 0  F                 200
DEFANT    83    1  S    13  4 1  F                 200
DEFANT    83    1  S    13  5 0  F                 200
DEFANT    83    1  S    13  5 1  F                 200
DEFANT    83    1  S    13  6 0  F                 200
DEFANT    83    1  S    13  6 1  F                 200
DEFANT    83    1  S    13  7 0  F                 200
DEFANT    83    1  S    13  7 1  F                 200
DEFANT    83    1  S    13  8 0  F                 200
DEFANT    83    1  S    13  8 1  F                 268
DEFANT    83    1  S    13  9 0  F                 268
DEFANT    83    1  S    13  9 1  F                 268
DEFANT    83    1  S    13 10 0  F                 268
DEFANT    83    1  S    13 10 1  F                 267
DEFANT    83    1  S    13 11 0  F                 267
DEFANT    83    1  S    13 11 1  F                 267
DEFANT    83    1  S    13 12 0  F                 350
DEFANT    83    1  S    13 12 1  F                 349
DEFANT    83    1  S    13 13 0  F                 349
DEFANT    83    1  S    13 13 1  F                 349
DEFANT    83    1  S    13 14 0  F                 349
DEFANT    83    1  S    13 14 1  F                 503
DEFANT    83    1  S    13 15 0  F                 504
DEFANT    83    1  S    13 15 1  F                 504
DEFANT    83    1  S    13 16 0  F                 504
DEFANT    83    1  S    13 16 1  F                 504
DEFANT    83    1  S    13 17 0  F                 504
DEFANT    83    1  S    13 17 1  F                 504
DEFANT    83    1  S    13 18 0  F                 505
DEFANT    83    1  S    13 18 1  F                 505
DEFANT    83    1  S    13 19 0  F                 505
DEFANT    83    1  S    13 19 1  F                 505
DEFANT    83    1  S    13 20 0  F                 505
DEFANT    83    1  S    13 20 1  F                 505
DEFANT    83    1  S    13 21 0  F                 506
DEFANT    83    1  S    13 21 1  F                 506
DEFANT    83    1  S    13 22 0  F                 506
DEFANT    83    1  S    13 22 1  F                 506
DEFANT    83    1  S    13 23 0  F                 506
DEFANT    83    1  S    13 23 1  F                 507
