&   DEFLUENCIAS ANTERIORES AO INICIO DO ESTUDO
&
&
&        Mont Jus TpJ   di hi m df hf m     defluencia
&X       XXX  XXX  X    XX XX X XX XX X     XXXXXXXXXX
DEFANT     2    4  H    28 00 0  F                  64
DEFANT     4    6  H    28 00 0  F                 156
DEFANT     6    7  H    28 00 0  F                 408
DEFANT     7    8  H    28 00 0  F                 421
DEFANT     8    9  H    28 00 0  F                 469
DEFANT     9   10  H    28 00 0  F                 464
DEFANT    10   11  H    28 00 0  F                 497
DEFANT    11   12  H    28 00 0  F                 484
DEFANT    12   17  H    28 00 0  F                 388
DEFANT    14   15  H    28 00 0  F                  10
DEFANT    15   16  H    28 00 0  F                  24
DEFANT    16   17  H    26 00 0  F                  20
DEFANT    16   17  H    27 00 0  F                  24
DEFANT    16   17  H    28 00 0  F                  27
DEFANT    17   18  H    28 00 0  F                1409
DEFANT    18   34  H    28 00 0  F                1646
DEFANT    20   21  H    28 00 0  F                  25
DEFANT    21   24  H    28 00 0  F                  85
DEFANT    24   31  H    28 00 0  F                 133
DEFANT    25   26  H    28 00 0  F                  53
DEFANT    26   27  H    28 00 0  F                  81
DEFANT    27   28  H    28 00 0  F                  90
DEFANT    28   31  H    28 00 0  F                  98
DEFANT    29  203  H    28 00 0  F                  38
DEFANT    30   31  H    28 00 0  F                 168
DEFANT    31   32  H    28 00 0  F                 573
DEFANT    32   33  H    28 00 0  F                 663
DEFANT    33   34  H    28 00 0  F                 940
DEFANT    34   45  H    28 00 0  F                2873
DEFANT    37   38  H    28 00 0  F                 170
DEFANT    38   39  H    28 00 0  F                 194
DEFANT    39   40  H    28 00 0  F                 240
DEFANT    40   42  H    28 00 0  F                 670
DEFANT    42   43  H    28 00 0  F                 472
DEFANT    43   45  H    28 00 0  F                 281
DEFANT    45   46  H    28 00 0  F                3300
DEFANT    46   66  H    27 00 0  F                4300
DEFANT    46   66  H    28 00 0  F                4348
DEFANT    47   48  H    28 00 0  F                 103
DEFANT    48   49  H    28 00 0  F                 118
DEFANT    49  249  H    28 00 0  F                 100
DEFANT    50   51  H    28 00 0  F                 180
DEFANT    51   52  H    28 00 0  F                 175
DEFANT    52   61  H    28 00 0  F                 162
DEFANT    57   61  H    28 00 0  F                 329
DEFANT    61   62  H    28 00 0  F                 440
DEFANT    62   63  H    28 00 0  F                 504
DEFANT    63   66  H    27 00 0  F                 625
DEFANT    63   66  H    28 00 0  F                 624
DEFANT    71   72  H    28 00 0  F                 158
DEFANT    72   73  H    28 00 0  F                 177
DEFANT    73   77  H    28 00 0  F                  30
DEFANT    74   76  H    28 00 0  F                   0
DEFANT    76   77  H    28 00 0  F                 183
DEFANT    77   78  H    28 00 0  F                 252
DEFANT    78   82  H    28 00 0  F                 351
DEFANT    82   83  H    28 00 0  F                 880
DEFANT    86   91  H    28 00 0  F                  40
DEFANT    89   90  H    28 00 0  F                 203
DEFANT    90   91  H    28 00 0  F                 395
DEFANT    91   92  H    28 00 0  F                 424
DEFANT    92  103  H    28 00 0  F                1111
DEFANT    93   94  H    28 00 0  F                   0
DEFANT    94  103  H    28 00 0  F                  47
DEFANT    97   98  H    28 00 0  F                  43
DEFANT    98   99  H    28 00 0  F                  97
DEFANT   101  102  H    28 00 0  F                 267
DEFANT   107   37  H    27 00 0  F                  84
DEFANT   110  111  H    28 00 0  F                  14
DEFANT   111  112  H    28 00 0  F                  95
DEFANT   112  113  H    28 00 0  F                 114
DEFANT   113  114  H    28 00 0  F                 410
DEFANT   120  123  H    26 00 0  F                  10
DEFANT   120  123  H    28 00 0  F                  31
DEFANT   121  122  H    28 00 0  F                  69
DEFANT   122  123  H    25 00 0  F                  59
DEFANT   122  123  H    28 00 0  F                  66
DEFANT   123  125  H    28 00 0  F                 182
DEFANT   125  129  H    27 00 0  F                  74
DEFANT   125  129  H    28 00 0  F                 213
DEFANT   126  127  H    28 00 0  F                  29
DEFANT   127  129  H    28 00 0  F                  66
DEFANT   129  130  H    28 00 0  F                 114
DEFANT   134  135  H    28 00 0  F                  59
DEFANT   135  141  H    28 00 0  F                  78
DEFANT   139  141  H    27 00 0  F                  86
DEFANT   139  141  H    28 00 0  F                  67
DEFANT   141  143  H    28 00 0  F                 310
DEFANT   143  144  H    28 00 0  F                 420
DEFANT   148  154  H    24 00 0  F                  38
DEFANT   148  154  H    25 00 0  F                  58
DEFANT   148  154  H    26 00 0  F                  84
DEFANT   148  154  H    28 00 0  F                  82
DEFANT   153   46  H    28 00 0  F                 133
DEFANT   155  156  H    28 00 0  F                 128
DEFANT   156  169  H    14 00 0  F                 483
DEFANT   156  169  H    15 00 0  F                 489
DEFANT   156  169  H    16 00 0  F                 438
DEFANT   156  169  H    17 00 0  F                 410
DEFANT   156  169  H    18 00 0  F                 454
DEFANT   156  169  H    19 00 0  F                 481
DEFANT   156  169  H    20 00 0  F                 482
DEFANT   156  169  H    21 00 0  F                 483
DEFANT   156  169  H    22 00 0  F                 484
DEFANT   156  169  H    23 00 0  F                 441
DEFANT   156  169  H    24 00 0  F                 402
DEFANT   156  169  H    25 00 0  F                 446
DEFANT   156  169  H    26 00 0  F                 484
DEFANT   156  169  H    27 00 0  F                 485
DEFANT   156  169  H    28 00 0  F                 524
DEFANT   162  169  H    14 00 0  F                  22
DEFANT   162  169  H    15 00 0  F                  23
DEFANT   162  169  H    16 00 0  F                  22
DEFANT   162  169  H    19 00 0  F                  23
DEFANT   162  169  H    20 00 0  F                  21
DEFANT   162  169  H    21 00 0  F                  22
DEFANT   162  169  H    22 00 0  F                  21
DEFANT   162  169  H    28 00 0  F                  33
DEFANT   169  172  H    26 00 0  F                 828
DEFANT   169  172  H    28 00 0  F                 822
DEFANT   172  173  H    28 00 0  F                 710
DEFANT   175  178  H    28 00 0  F                 742
DEFANT   192  193  H    28 00 0  F                  70
DEFANT   193  141  H    27 00 0  F                  44
DEFANT   193  141  H    28 00 0  F                  74
DEFANT   203   30  H    28 00 0  F                  85
DEFANT   204  280  H    28 00 0  F                 429
DEFANT   228  229  H    24 00 0  F                 540
DEFANT   228  229  H    26 00 0  F                 506
DEFANT   228  229  H    27 00 0  F                 488
DEFANT   228  229  H    28 00 0  F                 531
DEFANT   229  230  H    28 00 0  F                 845
DEFANT   241   34  H    28 00 0  F                 176
DEFANT   249   50  H    28 00 0  F                 105
DEFANT   251  252  H    28 00 0  F                 331
DEFANT   252  253  H    28 00 0  F                 312
DEFANT   253  257  H    28 00 0  F                 378
DEFANT   257  261  H    27 00 0  F                 561
DEFANT   257  261  H    28 00 0  F                 570
DEFANT   261  267  H    26 00 0  F                1048
DEFANT   261  267  H    27 00 0  F                1281
DEFANT   261  267  H    28 00 0  F                1120
DEFANT   262  241  H    28 00 0  F                 193
DEFANT   267  275  H    26 00 0  F                1584
DEFANT   267  275  H    27 00 0  F                1716
DEFANT   267  275  H    28 00 0  F                1824
DEFANT   280  284  H    28 00 0  F                 451
DEFANT   285  287  H    28 00 0  F                4835
DEFANT   290   34  H    28 00 0  F                  68
DEFANT   311  312  H    28 00 0  F                 112
DEFANT   312  315  H    28 00 0  F                 117
DEFANT   315   34  H    28 00 0  F                 113
DEFANT    66    1  S    28  0 0  F                9846
DEFANT    66    1  S    28  0 1  F                9849
DEFANT    66    1  S    28  1 0  F                9747
DEFANT    66    1  S    28  1 1  F                9748
DEFANT    66    1  S    28  2 0  F                9308
DEFANT    66    1  S    28  2 1  F                9306
DEFANT    66    1  S    28  3 0  F                9244
DEFANT    66    1  S    28  3 1  F                9243
DEFANT    66    1  S    28  4 0  F                9218
DEFANT    66    1  S    28  4 1  F                9217
DEFANT    66    1  S    28  5 0  F                9249
DEFANT    66    1  S    28  5 1  F                9249
DEFANT    66    1  S    28  6 0  F                9276
DEFANT    66    1  S    28  6 1  F                9634
DEFANT    66    1  S    28  7 0  F                9658
DEFANT    66    1  S    28  7 1  F                9660
DEFANT    66    1  S    28  8 0  F                9736
DEFANT    66    1  S    28  8 1  F                9738
DEFANT    66    1  S    28  9 0  F                9848
DEFANT    66    1  S    28  9 1  F                9850
DEFANT    66    1  S    28 10 0  F                9974
DEFANT    66    1  S    28 10 1  F                9976
DEFANT    66    1  S    28 11 0  F               10066
DEFANT    66    1  S    28 11 1  F               10068
DEFANT    66    1  S    28 12 0  F               10060
DEFANT    66    1  S    28 12 1  F               10062
DEFANT    66    1  S    28 13 0  F               10175
DEFANT    66    1  S    28 13 1  F               10178
DEFANT    66    1  S    28 14 0  F               10251
DEFANT    66    1  S    28 14 1  F               10253
DEFANT    66    1  S    28 15 0  F               10211
DEFANT    66    1  S    28 15 1  F               10213
DEFANT    66    1  S    28 16 0  F               10113
DEFANT    66    1  S    28 16 1  F               10114
DEFANT    66    1  S    28 17 0  F               10033
DEFANT    66    1  S    28 17 1  F               10034
DEFANT    66    1  S    28 18 0  F               10003
DEFANT    66    1  S    28 18 1  F               10004
DEFANT    66    1  S    28 19 0  F               10215
DEFANT    66    1  S    28 19 1  F               10218
DEFANT    66    1  S    28 20 0  F               10467
DEFANT    66    1  S    28 20 1  F               10471
DEFANT    66    1  S    28 21 0  F               10446
DEFANT    66    1  S    28 21 1  F               10448
DEFANT    66    1  S    28 22 0  F               10348
DEFANT    66    1  S    28 22 1  F               10349
DEFANT    66    1  S    28 23 0  F               10229
DEFANT    66    1  S    28 23 1  F               10229
DEFANT    83    1  S    28  0 0  F                 772
DEFANT    83    1  S    28  0 1  F                 771
DEFANT    83    1  S    28  1 0  F                 570
DEFANT    83    1  S    28  1 1  F                 570
DEFANT    83    1  S    28  2 0  F                 570
DEFANT    83    1  S    28  2 1  F                 571
DEFANT    83    1  S    28  3 0  F                 571
DEFANT    83    1  S    28  3 1  F                 571
DEFANT    83    1  S    28  4 0  F                 571
DEFANT    83    1  S    28  4 1  F                 572
DEFANT    83    1  S    28  5 0  F                 572
DEFANT    83    1  S    28  5 1  F                 572
DEFANT    83    1  S    28  6 0  F                 573
DEFANT    83    1  S    28  6 1  F                 573
DEFANT    83    1  S    28  7 0  F                 573
DEFANT    83    1  S    28  7 1  F                 775
DEFANT    83    1  S    28  8 0  F                 776
DEFANT    83    1  S    28  8 1  F                 777
DEFANT    83    1  S    28  9 0  F                 778
DEFANT    83    1  S    28  9 1  F                 780
DEFANT    83    1  S    28 10 0  F                 781
DEFANT    83    1  S    28 10 1  F                 782
DEFANT    83    1  S    28 11 0  F                 783
DEFANT    83    1  S    28 11 1  F                 784
DEFANT    83    1  S    28 12 0  F                 785
DEFANT    83    1  S    28 12 1  F                 787
DEFANT    83    1  S    28 13 0  F                 788
DEFANT    83    1  S    28 13 1  F                 789
DEFANT    83    1  S    28 14 0  F                1010
DEFANT    83    1  S    28 14 1  F                1012
DEFANT    83    1  S    28 15 0  F                1465
DEFANT    83    1  S    28 15 1  F                1470
DEFANT    83    1  S    28 16 0  F                1471
DEFANT    83    1  S    28 16 1  F                1469
DEFANT    83    1  S    28 17 0  F                1465
DEFANT    83    1  S    28 17 1  F                1459
DEFANT    83    1  S    28 18 0  F                1453
DEFANT    83    1  S    28 18 1  F                1448
DEFANT    83    1  S    28 19 0  F                1444
DEFANT    83    1  S    28 19 1  F                1441
DEFANT    83    1  S    28 20 0  F                1439
DEFANT    83    1  S    28 20 1  F                1435
DEFANT    83    1  S    28 21 0  F                1429
DEFANT    83    1  S    28 21 1  F                1425
DEFANT    83    1  S    28 22 0  F                 986
DEFANT    83    1  S    28 22 1  F                 983
DEFANT    83    1  S    28 23 0  F                 981
DEFANT    83    1  S    28 23 1  F                 980
