&   DEFLUENCIAS ANTERIORES AO INICIO DO ESTUDO
&
&
&        Mont Jus TpJ   di hi m df hf m     defluencia
&X       XXX  XXX  X    XX XX X XX XX X     XXXXXXXXXX
DEFANT   228  229  H    27 00 0  F                 782
DEFANT   228  229  H    28 00 0  F                 579
DEFANT   228  229  H    29 00 0  F                 432
DEFANT   228  229  H    30 00 0  F                 380
DEFANT   228  229  H    01 00 0  F                 508
DEFANT   229  230  H    01 00 0  F                1298
DEFANT   241   34  H    01 00 0  F                  85
DEFANT   249   50  H    01 00 0  F                 108
DEFANT   251  252  H    01 00 0  F                 600
DEFANT   252  253  H    01 00 0  F                 638
DEFANT   253  257  H    01 00 0  F                 676
DEFANT   257  261  H    30 00 0  F                 783
DEFANT   257  261  H    01 00 0  F                 799
DEFANT   261  267  H    29 00 0  F                1041
DEFANT   261  267  H    30 00 0  F                1040
DEFANT   261  267  H    01 00 0  F                 951
DEFANT   262  241  H    01 00 0  F                  91
DEFANT   267  275  H    29 00 0  F                1929
DEFANT   267  275  H    01 00 0  F                1933
DEFANT   280  284  H    01 00 0  F                1603
DEFANT   285  287  H    01 00 0  F               13830
DEFANT   290   34  H    01 00 0  F                  47
DEFANT   311  312  H    01 00 0  F                  68
DEFANT   312  315  H    01 00 0  F                  70
DEFANT   315   34  H    01 00 0  F                  74
DEFANT    66    1  S    01  0 0  F                5170
DEFANT    66    1  S    01  0 1  F                5169
DEFANT    66    1  S    01  1 0  F                4701
DEFANT    66    1  S    01  1 1  F                4400
DEFANT    66    1  S    01  2 0  F                4417
DEFANT    66    1  S    01  2 1  F                4377
DEFANT    66    1  S    01  3 0  F                4305
DEFANT    66    1  S    01  3 1  F                4303
DEFANT    66    1  S    01  4 0  F                4283
DEFANT    66    1  S    01  4 1  F                4356
DEFANT    66    1  S    01  5 0  F                4296
DEFANT    66    1  S    01  5 1  F                4295
DEFANT    66    1  S    01  6 0  F                4364
DEFANT    66    1  S    01  6 1  F                4400
DEFANT    66    1  S    01  7 0  F                4466
DEFANT    66    1  S    01  7 1  F                4465
DEFANT    66    1  S    01  8 0  F                4516
DEFANT    66    1  S    01  8 1  F                4514
DEFANT    66    1  S    01  9 0  F                4590
DEFANT    66    1  S    01  9 1  F                4812
DEFANT    66    1  S    01 10 0  F                4842
DEFANT    66    1  S    01 10 1  F                4841
DEFANT    66    1  S    01 11 0  F                4901
DEFANT    66    1  S    01 11 1  F                4900
DEFANT    66    1  S    01 12 0  F                4881
DEFANT    66    1  S    01 12 1  F                4919
DEFANT    66    1  S    01 13 0  F                4865
DEFANT    66    1  S    01 13 1  F                4865
DEFANT    66    1  S    01 14 0  F                4828
DEFANT    66    1  S    01 14 1  F                4828
DEFANT    66    1  S    01 15 0  F                4828
DEFANT    66    1  S    01 15 1  F                4828
DEFANT    66    1  S    01 16 0  F                4812
DEFANT    66    1  S    01 16 1  F                4775
DEFANT    66    1  S    01 17 0  F                5081
DEFANT    66    1  S    01 17 1  F                5474
DEFANT    66    1  S    01 18 0  F                5664
DEFANT    66    1  S    01 18 1  F                5666
DEFANT    66    1  S    01 19 0  F                5767
DEFANT    66    1  S    01 19 1  F                5673
DEFANT    66    1  S    01 20 0  F                5204
DEFANT    66    1  S    01 20 1  F                5204
DEFANT    66    1  S    01 21 0  F                5120
DEFANT    66    1  S    01 21 1  F                5120
DEFANT    66    1  S    01 22 0  F                5126
DEFANT    66    1  S    01 22 1  F                5088
DEFANT    66    1  S    01 23 0  F                4946
DEFANT    66    1  S    01 23 1  F                4946
DEFANT    83    1  S    01  0 0  F                 641
DEFANT    83    1  S    01  0 1  F                 640
DEFANT    83    1  S    01  1 0  F                 640
DEFANT    83    1  S    01  1 1  F                 641
DEFANT    83    1  S    01  2 0  F                 642
DEFANT    83    1  S    01  2 1  F                 643
DEFANT    83    1  S    01  3 0  F                 644
DEFANT    83    1  S    01  3 1  F                 645
DEFANT    83    1  S    01  4 0  F                 646
DEFANT    83    1  S    01  4 1  F                 647
DEFANT    83    1  S    01  5 0  F                 649
DEFANT    83    1  S    01  5 1  F                 650
DEFANT    83    1  S    01  6 0  F                 651
DEFANT    83    1  S    01  6 1  F                 652
DEFANT    83    1  S    01  7 0  F                 654
DEFANT    83    1  S    01  7 1  F                 655
DEFANT    83    1  S    01  8 0  F                 656
DEFANT    83    1  S    01  8 1  F                 657
DEFANT    83    1  S    01  9 0  F                 659
DEFANT    83    1  S    01  9 1  F                 660
DEFANT    83    1  S    01 10 0  F                 661
DEFANT    83    1  S    01 10 1  F                 662
DEFANT    83    1  S    01 11 0  F                 662
DEFANT    83    1  S    01 11 1  F                 663
DEFANT    83    1  S    01 12 0  F                 664
DEFANT    83    1  S    01 12 1  F                 664
DEFANT    83    1  S    01 13 0  F                 665
DEFANT    83    1  S    01 13 1  F                 666
DEFANT    83    1  S    01 14 0  F                 667
DEFANT    83    1  S    01 14 1  F                1053
DEFANT    83    1  S    01 15 0  F                1056
DEFANT    83    1  S    01 15 1  F                1058
DEFANT    83    1  S    01 16 0  F                1059
DEFANT    83    1  S    01 16 1  F                1654
DEFANT    83    1  S    01 17 0  F                1654
DEFANT    83    1  S    01 17 1  F                1654
DEFANT    83    1  S    01 18 0  F                1653
DEFANT    83    1  S    01 18 1  F                1650
DEFANT    83    1  S    01 19 0  F                1645
DEFANT    83    1  S    01 19 1  F                1639
DEFANT    83    1  S    01 20 0  F                1634
DEFANT    83    1  S    01 20 1  F                1043
DEFANT    83    1  S    01 21 0  F                1037
DEFANT    83    1  S    01 21 1  F                1031
DEFANT    83    1  S    01 22 0  F                1026
DEFANT    83    1  S    01 22 1  F                 650
DEFANT    83    1  S    01 23 0  F                 648
DEFANT    83    1  S    01 23 1  F                 647
