&   DEFLUENCIAS ANTERIORES AO INICIO DO ESTUDO
&
&
&        Mont Jus TpJ   di hi m df hf m     defluencia
&X       XXX  XXX  X    XX XX X XX XX X     XXXXXXXXXX
DEFANT     2    4  H    03 00 0  F                 108
DEFANT     4    6  H    03 00 0  F                 304
DEFANT     6    7  H    03 00 0  F                 753
DEFANT     7    8  H    03 00 0  F                 825
DEFANT     8    9  H    03 00 0  F                 906
DEFANT     9   10  H    03 00 0  F                1190
DEFANT    10   11  H    03 00 0  F                1134
DEFANT    11   12  H    03 00 0  F                1354
DEFANT    12   17  H    03 00 0  F                1428
DEFANT    14   15  H    03 00 0  F                  43
DEFANT    15   16  H    03 00 0  F                  67
DEFANT    16   17  H    01 00 0  F                  69
DEFANT    16   17  H    02 00 0  F                  57
DEFANT    17   18  H    03 00 0  F                2876
DEFANT    18   34  H    03 00 0  F                2149
DEFANT    20   21  H    03 00 0  F                 143
DEFANT    21   24  H    03 00 0  F                 206
DEFANT    24   31  H    03 00 0  F                 153
DEFANT    25   26  H    03 00 0  F                 138
DEFANT    26   27  H    03 00 0  F                 204
DEFANT    27   28  H    03 00 0  F                 214
DEFANT    28   31  H    03 00 0  F                 264
DEFANT    29  203  H    03 00 0  F                 213
DEFANT    30   31  H    03 00 0  F                 366
DEFANT    31   32  H    03 00 0  F                1330
DEFANT    32   33  H    03 00 0  F                1188
DEFANT    33   34  H    03 00 0  F                2648
DEFANT    34   45  H    03 00 0  F                3050
DEFANT    37   38  H    03 00 0  F                 369
DEFANT    38   39  H    03 00 0  F                 502
DEFANT    39   40  H    03 00 0  F                 542
DEFANT    40   42  H    03 00 0  F                 726
DEFANT    42   43  H    03 00 0  F                 777
DEFANT    43   45  H    03 00 0  F                 188
DEFANT    45   46  H    03 00 0  F                3540
DEFANT    46   66  H    02 00 0  F                3918
DEFANT    46   66  H    03 00 0  F                3905
DEFANT    47   48  H    03 00 0  F                  64
DEFANT    48   49  H    03 00 0  F                  56
DEFANT    49  249  H    03 00 0  F                 109
DEFANT    50   51  H    03 00 0  F                 160
DEFANT    51   52  H    03 00 0  F                 164
DEFANT    52   61  H    03 00 0  F                 206
DEFANT    57   61  H    03 00 0  F                  81
DEFANT    61   62  H    03 00 0  F                 509
DEFANT    62   63  H    03 00 0  F                 552
DEFANT    63   66  H    02 00 0  F                 615
DEFANT    63   66  H    03 00 0  F                 619
DEFANT    71   72  H    03 00 0  F                  64
DEFANT    72   73  H    03 00 0  F                  61
DEFANT    73   77  H    03 00 0  F                  15
DEFANT    74   76  H    03 00 0  F                 279
DEFANT    76   77  H    03 00 0  F                 493
DEFANT    77   78  H    03 00 0  F                 504
DEFANT    78   82  H    03 00 0  F                 506
DEFANT    82   83  H    03 00 0  F                 514
DEFANT    86   91  H    03 00 0  F                  85
DEFANT    89   90  H    03 00 0  F                 174
DEFANT    90   91  H    03 00 0  F                  44
