<BEGIN>;;;;;;;;;;;;;;
<Hydro reservoirs>;;;;;;;;;;;;;;
ID;Name;Minimum reservoir volume (hm3);Maximum reservoir volume (hm3);Name of downriver reservoir;Water travelling time (h);Run-of-river plant? TRUE or FALSE;Minimum forebay level (m);Maximum forebay level (m);Maximum spillage (m3/s);Basin;Influence of spillage on the HPF? Yes or No;Downriver plant of bypass discharge;Maximum bypass discharge (m3/s);Water travel time in bypass (h)
251;SERRA MESA;11150;54400;CANA BRAVA;3;FALSE;417.3;460;5000;Tocantins;Yes;0;0;0
76;SEGREDO;2562;2950;SLT.SANTIAGO;1;FALSE;602;607;5000;Iguaçu;Yes;0;0;0
82;SALTO CAXIAS;3300;3573;BAIXO IGUAÇU;1;TRUE;325;325;47500;Iguaçu;Yes;0;0;0
24;EMBORCACAO;4669;17725;ITUMBIARA;6;FALSE;615;661;2000;Paraná;No;0;0;0
91;MACHADINHO;2283;3340;ITA;2;FALSE;465;480;35700;Uruguai;Yes;0;0;0
8;LC BARRETO;1245;1423;JAGUARA;2;TRUE;622.5;622.5;3500;Paraná;Yes;0;0;0
267;ESTREITO TOC;5030.97;5298.54;TUCURUI;61;TRUE;156;156;10000;Tocantins;Yes;0;0;0
78;SALTO OSORIO;722;1124;SALTO CAXIAS;1;TRUE;397;397;27000;Iguaçu;Yes;0;0;0
169;SOBRADINHO;5447;34116;ITAPARICA;60;FALSE;380.5;392.5;4000;São Francisco;Yes;0;0;0
261;LAJEADO;4711.11;5193.48;ESTREITO TOC;68;TRUE;212;212;10000;Tocantins;Yes;0;0;0
90;CAMPOS NOVOS;1320;1477;MACHADINHO;1;TRUE;655;660;10000;Uruguai;No;0;0;0
43;TRES IRMAOS;9923;13372;JUPIA;5;FALSE;323;328;5000;Paraná;Yes;0;0;0
86;BARRA GRANDE;2711.79;4904.45;MACHADINHO;1;FALSE;617;647;10000;Uruguai;Yes;0;0;0
32;CACH.DOURADA;300.81;522.68;SAO SIMAO;8;TRUE;434.12;434.12;7000;Paraná;Yes;0;0;0
173;MOXOTO;970;1150;P.AFONSO 123;0;TRUE;251.5;251.5;7000;São Francisco;No;P.AFONSO 4;70000;0
156;TRES MARIAS;4250;19528;SOBRADINHO;360;FALSE;549.2;572.5;4700;São Francisco;Yes;0;0;0
314;PIMENTAL;2276.29;2460.03;0;0;TRUE;97;97;62000;Xingú;Yes;BELO MONTE;70000;0
