<BEGIN>;;;;;;;;;;;;
<Hydro turbines>;;;;;;;;;;;;
Name;Hydro reservoir ID;Hydro reservoir name;Group ID;Group name;Unit ID;Bus ID;Minimum generation (MW);Maximum generation (MW);Minimum turbine discharge (m3/s);Maximum turbine discharge (m3/s);Turbine type;Comments
G10-TUCURUI;275;TUCURUI;2;Group 2;10;6422;203;350;349.2;582;Francis;The group has been changed after network reduction
G11-TUCURUI;275;TUCURUI;2;Group 2;11;6424;203;350;349.2;582;Francis;The group has been changed after network reduction
G12-TUCURUI;275;TUCURUI;2;Group 2;12;6424;203;350;349.2;582;Francis;The group has been changed after network reduction
G13-TUCURUI;275;TUCURUI;2;Group 2;13;6424;203;350;349.2;582;Francis;The group has been changed after network reduction
G14-TUCURUI;275;TUCURUI;2;Group 2;14;6424;203;350;349.2;582;Francis;The group has been changed after network reduction
G15-TUCURUI;275;TUCURUI;3;Group 3;15;6420;300;390;397.2;662;Francis;
G16-TUCURUI;275;TUCURUI;3;Group 3;16;6420;300;390;397.2;662;Francis;
G17-TUCURUI;275;TUCURUI;3;Group 3;17;6420;300;390;397.2;662;Francis;
G18-TUCURUI;275;TUCURUI;3;Group 3;18;6424;300;390;397.2;662;Francis;The group has been changed after network reduction
G19-TUCURUI;275;TUCURUI;3;Group 3;19;6424;300;390;397.2;662;Francis;The group has been changed after network reduction
G20-TUCURUI;275;TUCURUI;3;Group 3;20;6424;300;390;397.2;662;Francis;The group has been changed after network reduction
G21-TUCURUI;275;TUCURUI;3;Group 3;21;6424;300;390;397.2;662;Francis;The group has been changed after network reduction
G22-TUCURUI;275;TUCURUI;3;Group 3;22;6425;300;390;397.2;662;Francis;The group has been changed after network reduction
G23-TUCURUI;275;TUCURUI;3;Group 3;23;6425;300;390;397.2;662;Francis;The group has been changed after network reduction
G24-TUCURUI;275;TUCURUI;3;Group 3;24;6425;300;390;397.2;662;Francis;The group has been changed after network reduction
G25-TUCURUI;275;TUCURUI;3;Group 3;25;6425;300;390;397.2;662;Francis;The group has been changed after network reduction
G1-BELO MONTE;288;BELO MONTE;1;Group 1;1;6729;450;611.1;600;768.4;Francis;
G2-BELO MONTE;288;BELO MONTE;1;Group 1;2;6729;450;611.1;600;768.4;Francis;
G3-BELO MONTE;288;BELO MONTE;1;Group 1;3;6729;450;611.1;600;768.4;Francis;
G4-BELO MONTE;288;BELO MONTE;1;Group 1;4;6729;450;611.1;600;768.4;Francis;
G5-BELO MONTE;288;BELO MONTE;1;Group 1;5;6729;450;611.1;600;768.4;Francis;
G6-BELO MONTE;288;BELO MONTE;1;Group 1;6;6729;450;611.1;600;768.4;Francis;
G7-BELO MONTE;288;BELO MONTE;1;Group 1;7;6729;450;611.1;600;768.4;Francis;
G8-BELO MONTE;288;BELO MONTE;1;Group 1;8;6729;450;611.1;600;768.4;Francis;
G9-BELO MONTE;288;BELO MONTE;1;Group 1;9;6729;450;611.1;600;768.4;Francis;
G10-BELO MONTE;288;BELO MONTE;1;Group 1;10;6729;450;611.1;600;768.4;Francis;
G11-BELO MONTE;288;BELO MONTE;1;Group 1;11;6729;450;611.1;600;768.4;Francis;
G12-BELO MONTE;288;BELO MONTE;1;Group 1;12;6729;450;611.1;600;768.4;Francis;
G13-BELO MONTE;288;BELO MONTE;1;Group 1;13;6729;450;611.1;600;768.4;Francis;
G14-BELO MONTE;288;BELO MONTE;1;Group 1;14;6729;450;611.1;600;768.4;Francis;
G15-BELO MONTE;288;BELO MONTE;1;Group 1;15;6729;450;611.1;600;768.4;Francis;
G16-BELO MONTE;288;BELO MONTE;1;Group 1;16;6729;450;611.1;600;768.4;Francis;
G17-BELO MONTE;288;BELO MONTE;1;Group 1;17;6729;450;611.1;600;768.4;Francis;
G18-BELO MONTE;288;BELO MONTE;1;Group 1;18;6729;450;611.1;600;768.4;Francis;
G1-STO ANTONIO;287;STO ANTONIO;1;5 blades;1;7062;11;69;227.2;568;Bulbo;
G2-STO ANTONIO;287;STO ANTONIO;1;5 blades;2;7062;11;69;227.2;568;Bulbo;
G3-STO ANTONIO;287;STO ANTONIO;1;5 blades;3;7062;11;69;227.2;568;Bulbo;
G4-STO ANTONIO;287;STO ANTONIO;1;5 blades;4;7062;11;69;227.2;568;Bulbo;
G5-STO ANTONIO;287;STO ANTONIO;1;5 blades;5;7050;11;69;227.2;568;Bulbo;The group has been changed after network reduction
G6-STO ANTONIO;287;STO ANTONIO;1;5 blades;6;7050;11;69;227.2;568;Bulbo;The group has been changed after network reduction
G7-STO ANTONIO;287;STO ANTONIO;1;5 blades;7;7050;11;69;227.2;568;Bulbo;The group has been changed after network reduction
G8-STO ANTONIO;287;STO ANTONIO;1;5 blades;8;7050;11;69;227.2;568;Bulbo;The group has been changed after network reduction
G9-STO ANTONIO;287;STO ANTONIO;1;5 blades;9;7050;11;69;227.2;568;Bulbo;The group has been changed after network reduction
G10-STO ANTONIO;287;STO ANTONIO;1;5 blades;10;7050;11;69;227.2;568;Bulbo;The group has been changed after network reduction
G11-STO ANTONIO;287;STO ANTONIO;1;5 blades;11;7050;11;69;227.2;568;Bulbo;The group has been changed after network reduction
G12-STO ANTONIO;287;STO ANTONIO;1;5 blades;12;7050;11;69;227.2;568;Bulbo;The group has been changed after network reduction
G13-STO ANTONIO;287;STO ANTONIO;2;4 blades;13;7062;21;73;239.2;598;Bulbo;
G14-STO ANTONIO;287;STO ANTONIO;2;4 blades;14;7062;21;73;239.2;598;Bulbo;
G15-STO ANTONIO;287;STO ANTONIO;2;4 blades;15;7062;21;73;239.2;598;Bulbo;
G16-STO ANTONIO;287;STO ANTONIO;2;4 blades;16;7062;21;73;239.2;598;Bulbo;
G17-STO ANTONIO;287;STO ANTONIO;2;4 blades;17;7062;21;73;239.2;598;Bulbo;
G18-STO ANTONIO;287;STO ANTONIO;2;4 blades;18;7062;21;73;239.2;598;Bulbo;
G19-STO ANTONIO;287;STO ANTONIO;2;4 blades;19;7062;21;73;239.2;598;Bulbo;
G20-STO ANTONIO;287;STO ANTONIO;2;4 blades;20;7062;21;73;239.2;598;Bulbo;
G21-STO ANTONIO;287;STO ANTONIO;1;5 blades;21;7064;11;69;227.2;568;Bulbo;The group has been changed after network reduction
G22-STO ANTONIO;287;STO ANTONIO;1;5 blades;22;7064;11;69;227.2;568;Bulbo;The group has been changed after network reduction
G23-STO ANTONIO;287;STO ANTONIO;2;4 blades;23;7064;21;73;239.2;598;Bulbo;The group has been changed after network reduction
G24-STO ANTONIO;287;STO ANTONIO;2;4 blades;24;7064;21;73;239.2;598;Bulbo;The group has been changed after network reduction
G25-STO ANTONIO;287;STO ANTONIO;2;4 blades;25;7064;21;73;239.2;598;Bulbo;The group has been changed after network reduction
G26-STO ANTONIO;287;STO ANTONIO;2;4 blades;26;7064;21;73;239.2;598;Bulbo;The group has been changed after network reduction
G27-STO ANTONIO;287;STO ANTONIO;2;4 blades;27;7064;21;73;239.2;598;Bulbo;The group has been changed after network reduction
G28-STO ANTONIO;287;STO ANTONIO;2;4 blades;28;7064;21;73;239.2;598;Bulbo;The group has been changed after network reduction
G29-STO ANTONIO;287;STO ANTONIO;2;4 blades;29;7064;21;73;239.2;598;Bulbo;The group has been changed after network reduction
