<BEGIN>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ID;Name;Average productivity ((MW/(m3/s))/m);Number of tailrace polynomials;Head loss (1 if percentage of net head or 2 if given in meters);Head loss;Forebay level as function of reservoir volume coefficient F0;Forebay level as function of reservoir volume coefficient F1;Forebay level as function of reservoir volume coefficient F2;Forebay level as function of reservoir volume coefficient F3;Forebay level as function of reservoir volume coefficient F4;Tailrace level as function of total outflow: T0 of polymial 1;Tailrace level as function of total outflow: T1 of polymial 1;Tailrace level as function of total outflow: T2 of polymial 1;Tailrace level as function of total outflow: T3 of polymial 1;Tailrace level as function of total outflow: T4 of polymial 1;Tailrace level as function of total outflow: T0 of polymial 2;Tailrace level as function of total outflow: T1 of polymial 2;Tailrace level as function of total outflow: T2 of polymial 2;Tailrace level as function of total outflow: T3 of polymial 2;Tailrace level as function of total outflow: T4 of polymial 2;Tailrace level as function of total outflow: T0 of polymial 3;Tailrace level as function of total outflow: T1 of polymial 3;Tailrace level as function of total outflow: T2 of polymial 3;Tailrace level as function of total outflow: T3 of polymial 3;Tailrace level as function of total outflow: T4 of polymial 3;Tailrace level as function of total outflow: T0 of polymial 4;Tailrace level as function of total outflow: T1 of polymial 4;Tailrace level as function of total outflow: T2 of polymial 4;Tailrace level as function of total outflow: T3 of polymial 4;Tailrace level as function of total outflow: T4 of polymial 4;Tailrace level as function of total outflow: T0 of polymial 5;Tailrace level as function of total outflow: T1 of polymial 5;Tailrace level as function of total outflow: T2 of polymial 5;Tailrace level as function of total outflow: T3 of polymial 5;Tailrace level as function of total outflow: T4 of polymial 5;Tailrace level as function of total outflow: T0 of polymial 6;Tailrace level as function of total outflow: T1 of polymial 6;Tailrace level as function of total outflow: T2 of polymial 6;Tailrace level as function of total outflow: T3 of polymial 6;Tailrace level as function of total outflow: T4 of polymial 6;Maximum spillage (m3/s);Number of volume points for the HPF;Number of turbine discharge points for the HPF;Number of spillage points for the HPF;Range of volume around the initial reservoir volume in percentage
46;P. PRIMAVERA;0.008906;1;2;0.5;2.39E+02;2.50E-03;-1.26E-07;3.05E-12;-2.57E-17;234.498;0.000707983;-2.52E-08;4.65E-13;-3.26E-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44144;17;17;5;10
17;MARIMBONDO;0.008951;1;2;2.06;417.8938;0.0111714;-2.29E-06;2.91E-10;-1.48E-14;381.0928;0.00140528;-2.01E-08;1.06E-13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21400;17;17;5;10
172;ITAPARICA;0.00871;1;2;0.52;275.813;0.006764889;-8.87E-07;7.07E-11;-2.24E-15;251.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26685;17;17;5;10
92;ITA;0.008961;1;2;1.62;3.69E+02;0.00E+00;0.00E+00;0.00E+00;0.00E+00;261.3628;0.00301186;-5.64E-07;6.79E-11;-3.03E-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49940;17;17;5;100
77;SLT.SANTIAGO;0.009013;1;2;1.82;447.7319;0.0182332;-2.87E-06;3.00E-10;-1.27E-14;394.4158;0.00211101;-7.92E-08;2.35E-12;-2.71E-17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27830;17;17;5;10
174;P.AFONSO 123;0.008792;1;1;1.08;2.30E+02;0.00E+00;0.00E+00;0.00E+00;0.00E+00;1.34E+02;3.32E-03;-3.09E-07;2.15E-11;-5.93E-16;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0;0;0;0;0;17400;17;17;5;100
18;A. VERMELHA;0.008832;1;2;0.76;352.0298;0.004995856;-2.74E-07;7.10E-12;0;323.1228;-0.000457701;3.99E-07;-4.22E-11;1.40E-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19848;17;17;5;10
6;FURNAS;0.008999;1;2;0.8;735.2458;0.00349658;-1.97E-07;6.92E-12;-9.77E-17;671.6328;0.00101738;-1.80E-07;2.51E-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13000;17;17;5;10
251;SERRA MESA;0.009082;1;2;1.27;391.4048;0.00277216;-4.36E-08;2.90E-13;0.00E+00;332.7979;0.00134297;8.82E-08;-1.63E-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14435;17;17;5;10
76;SEGREDO;0.0089;1;2;1.57;552.5449;0.0246922;-2.10E-06;0;0;490.0388;6.08E-05;2.92E-07;-2.32E-11;4.56E-16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16200;17;17;5;10
82;SALTO CAXIAS;0.008733;1;2;0.76;3.24E+02;0.00E+00;0.00E+00;0.00E+00;0.00E+00;257.9199;0.000620838;-1.72E-08;2.28E-13;1.22E-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47500;17;17;5;100
24;EMBORCACAO;0.009096;5;2;1.1;568.0898;0.014506;-1.20E-06;5.83E-11;-1.12E-15;519.3198;0.003939997;-3.60E-07;4.33E-11;-2.60E-15;519.3098;0.00249;3.44E-07;-6.20E-11;3.30E-15;5.20E+02;0.00278;4.04E-08;2.77E-12;-4.90E-16;5.20E+02;1.61E-03;0.000000848;-1.20E-10;4.53E-15;519.9299;1.63E-03;5.48E-07;-7.90E-11;3.83E-15;0;0;0;0;0;8200;17;17;5;10
91;MACHADINHO;0.00904;1;2;1.44;401.2168;0.0500965;-1.57E-05;3.30E-09;-2.88E-13;371.9358;0.00193242;-8.53E-08;2.38E-12;-2.62E-17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35700;17;17;5;10
8;LC BARRETO;0.008946;1;2;0.93;6.20E+02;0;0;0.00E+00;0.00E+00;556.7178;0.00122176;-7.51E-08;2.17E-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13000;17;17;5;100
267;ESTREITO TOC;0.009082;1;2;0.39;1.55E+02;0.00E+00;0.00E+00;0.00E+00;0.00E+00;126.7095;0.00218368;-1.39E-07;4.76E-12;-6.14E-17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62719;17;17;5;10
