& CONDICOES INICIAIS DAS UNIDADES  
&
&Flags Ativos
UCTPAR 2
UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
&CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
&CROSSOVER 1
&ENGOLIMENTO 0              
&                                                
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X 
 60  NORTEFLU       4    0         0.00   2208  0  0
 60  NORTEFLU       5    0         0.00   3720  0  0
 60  NORTEFLU       6    0         0.00   4305  1  0
 60  NORTEFLU       7    1       826.00   2208  0  0
 62  SEROPEDICA     1    0         0.00   1337  1  0
 62  SEROPEDICA     2    0         0.00   5046  0  0
 62  SEROPEDICA     3    0         0.00   4678  1  0
 62  SEROPEDICA     4    0         0.00   1550  1  0
 62  SEROPEDICA     5    0         0.00   1360  0  0
 62  SEROPEDICA     6    0         0.00   1008  0  0
 62  SEROPEDICA     7    0         0.00   1026  0  0
 62  SEROPEDICA     8    1       353.00   1008  0  0
 63  IBIRITE        1    1       226.00   1320  0  0
 64  CANOAS         1    0         0.00     62  0  0
 67  TERMONE        1    1        49.95    108  1  0
 67  TERMONE        2    1        50.97    108  1  0
 67  TERMONE        3    1        54.09    108  1  0
 68  TRES LAGOAS    1    0         0.00    567  0  0
 68  TRES LAGOAS    2    0         0.00  11567  0  0
 68  TRES LAGOAS    3    0         0.00  16272  0  0
 68  TRES LAGOAS    4    0         0.00   1260  0  0
 68  TRES LAGOAS    5    0         0.00  14232  1  0
 68  TRES LAGOAS    6    0         0.00   5395  1  0
 68  TRES LAGOAS    7    0         0.00  14232  0  0
 68  TRES LAGOAS    8    0         0.00   7248  0  0
 68  TRES LAGOAS    9    0         0.00   1175  0  0
 68  TRES LAGOAS   10    0         0.00   7110  0  0
 68  TRES LAGOAS   11    0         0.00   7200  0  0
 68  TRES LAGOAS   12    0         0.00  14208  0  0
 68  TRES LAGOAS   13    1       270.00    567  0  0
 68  TRES LAGOAS   14    0         0.00   6888  0  0
 68  TRES LAGOAS   15    0         0.00   5686  1  0
 69  TERMOPB        1    1        49.95    108  1  0
 69  TERMOPB        2    1        46.97    108  1  0
 69  TERMOPB        3    1        54.09    108  1  0
 70  GERAMAR II     1    1        43.60    274  0  0
 70  GERAMAR II     2    1        34.90    274  0  0
 70  GERAMAR II     3    1        43.60    274  0  0
 70  GERAMAR II     4    1        36.90    274  0  0
 73  GERAMAR I      1    1        43.60    274  0  0
 73  GERAMAR I      2    1        43.65    274  1  0
 73  GERAMAR I      3    1        36.85    274  1  0
 73  GERAMAR I      4    1        34.90    274  0  0
 83  VALE DO ACU    1    1       110.00   1152  0  0
 83  VALE DO ACU    2    0         0.00  10085  0  0
 86  ST.CRUZ NOVA  11    0         0.00    839  0  0
 86  ST.CRUZ NOVA  21    1       175.00    816  0  0
 90  TERMOMACAE     1    0         0.00   1118  0  0
 90  TERMOMACAE     2    0         0.00  16272  0  0
 90  TERMOMACAE     3    0         0.00   6655  1  0
 90  TERMOMACAE     4    0         0.00   6277  0  0
 90  TERMOMACAE     5    0         0.00  16272  0  0
 90  TERMOMACAE     6    0         0.00   5303  0  0
 90  TERMOMACAE     7    0         0.00  16272  0  0
 90  TERMOMACAE     8    0         0.00  16272  0  0
 90  TERMOMACAE     9    0         0.00   1296  1  0
 90  TERMOMACAE    10    0         0.00  16272  0  0
 90  TERMOMACAE    11    0         0.00   6527  0  0
 90  TERMOMACAE    12    0         0.00   6533  1  0
 90  TERMOMACAE    13    0         0.00   6159  1  0
 90  TERMOMACAE    14    0         0.00   6232  0  0
 90  TERMOMACAE    15    0         0.00    240  0  0
 90  TERMOMACAE    16    0         0.00    312  0  0
 90  TERMOMACAE    17    0         0.00    332  0  0
 90  TERMOMACAE    18    0         0.00    840  0  0
 90  TERMOMACAE    19    1       855.00    144  0  0
 90  TERMOMACAE    20    0         0.00    144  0  0
 96  TERMOPE        1    0         0.00  11531  0  0
 96  TERMOPE        2    0         0.00   8413  0  0
 96  TERMOPE        3    1       533.00   2239  1  0
 97  CUBATAO        1    1       208.00   1354  0  0
 97  CUBATAO        2    0         0.00   4949  1  0
 97  CUBATAO        3    0         0.00   1354  0  0
 98  PERNAMBU_III   1    0         0.00  12553  0  0
 98  PERNAMBU_III   2    0         0.00  13918  0  0
 98  PERNAMBU_III   3    0         0.00  12552  1  0
 98  PERNAMBU_III   4    0         0.00   6023  1  0
106  ERB CANDEIAS   1    1        11.00    529  0  0
107  PAMPA SUL      1    0         0.00  12392  0  0
108  XAVANTES       1    1        26.06    112  0  0
108  XAVANTES       2    1        26.94    112  0  0
109  ALTOS          1    0         0.00  16604  0  0
110  N.PIRATININ    1    0         0.00    504  0  0
110  N.PIRATININ    2    0         0.00    384  1  0
110  N.PIRATININ    3    0         0.00    792  0  0
110  N.PIRATININ    4    0         0.00    829  0  0
110  N.PIRATININ    5    0         0.00  18783  0  0
110  N.PIRATININ    6    0         0.00  15779  0  0
110  N.PIRATININ    7    0         0.00  16002  0  0
110  N.PIRATININ    8    0         0.00  19320  0  0
110  N.PIRATININ    9    1       280.00    384  0  0
110  N.PIRATININ   10    0         0.00  19320  0  0
110  N.PIRATININ   11    0         0.00  18783  0  0
110  N.PIRATININ   12    0         0.00  18783  0  0
110  N.PIRATININ   13    0         0.00  19320  0  0
110  N.PIRATININ   14    0         0.00  19320  0  0
110  N.PIRATININ   15    0         0.00  19320  0  0
111  ARACATI        1    0         0.00  16604  0  0
112  BAHIA I        1    0         0.00   6313  0  0
112  BAHIA I        2    0         0.00    465  0  0
112  BAHIA I        3    1        26.00    107  0  0
113  BATURITE       1    0         0.00  16604  0  0
116  PARNAIBA IV    1    1        56.00    570  0  0
117  CAMPO MAIOR    1    0         0.00  16604  0  0
119  CAUCAIA        1    0         0.00  16604  0  0
121  CRATO          1    0         0.00  16604  0  0
125  ENGUIA PECEM   1    0         0.00  16604  0  0
127  IGUATU         1    0         0.00  16604  0  0
133  JUAZEIRO N     1    0         0.00  16604  0  0
135  MARAMBAIA      1    0         0.00  16604  0  0
138  NAZARIA        1    0         0.00  16604  0  0
140  MAUA 3         1    1       566.00    430  1  0
140  MAUA 3         2    0         0.00    430  1  0
140  MAUA 3         3    0         0.00    479  1  0
144  PETROLINA      1    0         0.00    296  1  0
144  PETROLINA      2    0         0.00  16272  0  0
144  PETROLINA      3    0         0.00  16272  0  0
144  PETROLINA      4    0         0.00  16272  0  0
144  PETROLINA      5    0         0.00  16272  0  0
144  PETROLINA      6    0         0.00    529  1  0
144  PETROLINA      7    0         0.00    148  0  0
144  PETROLINA      8    1       132.00    107  0  0
146  STA VITORIA    1    1        41.00   2496  0  0
147  PROSPERIDADE   1    1         9.34    278  0  0
147  PROSPERIDADE   2    1         9.34    278  0  0
147  PROSPERIDADE   3    1         9.32    278  0  0
149  SAO SEPE       1    1         8.00    540  0  0
151  POTIGUAR       1    0         0.00      5  0  0
151  POTIGUAR       2    0         0.00      5  0  0
151  POTIGUAR       3    0         0.00      5  0  0
151  POTIGUAR       4    0         0.00      5  0  0
152  TERMOCABO      1    0         0.00    103  1  0
152  TERMOCABO      2    1        33.00    103  1  0
152  TERMOCABO      3    0         0.00    360  0  0
153  DAIA           1    0         0.00  16604  0  0
153  DAIA           2    0         0.00  16604  0  0
153  DAIA           3    0         0.00  16604  0  0
155  GOIANIA II     1    0         0.00  16604  0  0
155  GOIANIA II     2    0         0.00  16604  0  0
156  CANDIOTA 3     1    1       310.00    301  1  0
159  TERMOMANAUS    1    1         6.24    106  1  0
159  TERMOMANAUS    2    1        13.92    106  1  0
159  TERMOMANAUS    3    1        12.48    106  1  0
159  TERMOMANAUS    4    1        13.92    106  1  0
159  TERMOMANAUS    5    1        12.44    105  1  0
159  TERMOMANAUS    6    1        13.92    106  1  0
159  TERMOMANAUS    7    1         4.80    105  1  0
159  TERMOMANAUS    8    1        12.48    105  1  0
159  TERMOMANAUS    9    1        13.92    106  1  0
159  TERMOMANAUS   10    1        12.48    105  1  0
159  TERMOMANAUS   11    1        13.92    106  0  0
159  TERMOMANAUS   12    1        12.48    105  1  0
160  PAU FERRO I    1    0         0.00    616  0  0
160  PAU FERRO I    2    0         0.00    616  0  0
160  PAU FERRO I    3    0         0.00    616  0  0
160  PAU FERRO I    4    0         0.00    616  0  0
160  PAU FERRO I    5    0         0.00    616  0  0
160  PAU FERRO I    6    0         0.00    616  0  0
160  PAU FERRO I    7    0         0.00    616  0  0
161  POTIGUAR III   1    0         0.00      5  0  0
161  POTIGUAR III   2    0         0.00      5  0  0
161  POTIGUAR III   3    0         0.00    219  0  0
161  POTIGUAR III   4    0         0.00    219  0  0
161  POTIGUAR III   5    0         0.00      5  0  0
161  POTIGUAR III   6    0         0.00      5  0  0
