&   DEFLUENCIAS ANTERIORES AO INICIO DO ESTUDO
&
&
&        Mont Jus TpJ   di hi m df hf m     defluencia
&X       XXX  XXX  X    XX XX X XX XX X     XXXXXXXXXX
DEFANT     2    4  H    29 00 0  F                  82
DEFANT     4    6  H    29 00 0  F                 119
DEFANT     6    7  H    29 00 0  F                 614
DEFANT     7    8  H    29 00 0  F                1125
DEFANT     8    9  H    29 00 0  F                1308
DEFANT     9   10  H    29 00 0  F                1189
DEFANT    10   11  H    29 00 0  F                1093
DEFANT    11   12  H    29 00 0  F                 995
DEFANT    12   17  H    29 00 0  F                1262
DEFANT    14   15  H    29 00 0  F                  15
DEFANT    15   16  H    29 00 0  F                  21
DEFANT    16   17  H    27 00 0  F                  19
DEFANT    16   17  H    29 00 0  F                  31
DEFANT    17   18  H    29 00 0  F                1255
DEFANT    18   34  H    29 00 0  F                1070
DEFANT    20   21  H    29 00 0  F                 124
DEFANT    21   24  H    29 00 0  F                  78
DEFANT    24   31  H    29 00 0  F                 326
DEFANT    25   26  H    29 00 0  F                 125
DEFANT    26   27  H    29 00 0  F                 131
DEFANT    27   28  H    29 00 0  F                 127
DEFANT    28   31  H    29 00 0  F                 135
DEFANT    29  203  H    29 00 0  F                  68
DEFANT    30   31  H    29 00 0  F                 204
DEFANT    31   32  H    29 00 0  F                 495
DEFANT    32   33  H    29 00 0  F                 524
DEFANT    33   34  H    29 00 0  F                 678
DEFANT    34   45  H    29 00 0  F                2180
DEFANT    37   38  H    29 00 0  F                 157
DEFANT    38   39  H    29 00 0  F                 178
DEFANT    39   40  H    29 00 0  F                 199
DEFANT    40   42  H    29 00 0  F                 261
DEFANT    42   43  H    29 00 0  F                 242
DEFANT    43   45  H    29 00 0  F                 176
DEFANT    45   46  H    29 00 0  F                2300
DEFANT    46   66  H    28 00 0  F                2904
DEFANT    46   66  H    29 00 0  F                2903
DEFANT    47   48  H    29 00 0  F                  92
DEFANT    48   49  H    29 00 0  F                  94
DEFANT    49  249  H    29 00 0  F                 104
DEFANT    50   51  H    29 00 0  F                 176
DEFANT    51   52  H    29 00 0  F                 155
DEFANT    52   61  H    29 00 0  F                 184
DEFANT    57   61  H    29 00 0  F                 282
DEFANT    61   62  H    29 00 0  F                 493
DEFANT    62   63  H    29 00 0  F                 560
DEFANT    63   66  H    28 00 0  F                 624
DEFANT    63   66  H    29 00 0  F                 632
DEFANT    71   72  H    29 00 0  F                  52
DEFANT    72   73  H    29 00 0  F                  60
DEFANT    73   77  H    29 00 0  F                  15
DEFANT    74   76  H    29 00 0  F                 954
