&   DEFLUENCIAS ANTERIORES AO INICIO DO ESTUDO
&
&
&        Mont Jus TpJ   di hi m df hf m     defluencia
&X       XXX  XXX  X    XX XX X XX XX X     XXXXXXXXXX
DEFANT     2    4  H    24 00 0  F                  70
DEFANT     4    6  H    24 00 0  F                 119
DEFANT     6    7  H    24 00 0  F                1066
DEFANT     7    8  H    24 00 0  F                 996
DEFANT     8    9  H    24 00 0  F                1220
DEFANT     9   10  H    24 00 0  F                1097
DEFANT    10   11  H    24 00 0  F                1076
DEFANT    11   12  H    24 00 0  F                 975
DEFANT    12   17  H    24 00 0  F                1214
DEFANT    14   15  H    24 00 0  F                  13
DEFANT    15   16  H    24 00 0  F                  21
DEFANT    16   17  H    22 00 0  F                  22
DEFANT    16   17  H    23 00 0  F                  23
DEFANT    16   17  H    24 00 0  F                  31
DEFANT    17   18  H    24 00 0  F                 942
DEFANT    18   34  H    24 00 0  F                 970
DEFANT    20   21  H    24 00 0  F                 112
DEFANT    21   24  H    24 00 0  F                  78
DEFANT    24   31  H    24 00 0  F                 514
DEFANT    25   26  H    24 00 0  F                 124
DEFANT    26   27  H    24 00 0  F                 140
DEFANT    27   28  H    24 00 0  F                 139
DEFANT    28   31  H    24 00 0  F                 140
DEFANT    29  203  H    24 00 0  F                  42
DEFANT    30   31  H    24 00 0  F                 202
DEFANT    31   32  H    24 00 0  F                 882
DEFANT    32   33  H    24 00 0  F                 925
DEFANT    33   34  H    24 00 0  F                1130
DEFANT    34   45  H    24 00 0  F                2268
DEFANT    37   38  H    24 00 0  F                  92
DEFANT    38   39  H    24 00 0  F                 138
DEFANT    39   40  H    24 00 0  F                 155
DEFANT    40   42  H    24 00 0  F                 197
DEFANT    42   43  H    24 00 0  F                 204
DEFANT    43   45  H    24 00 0  F                 174
DEFANT    45   46  H    24 00 0  F                2443
DEFANT    46   66  H    23 00 0  F                3233
DEFANT    46   66  H    24 00 0  F                3125
DEFANT    47   48  H    24 00 0  F                 105
DEFANT    48   49  H    24 00 0  F                 104
DEFANT    49  249  H    24 00 0  F                 100
DEFANT    50   51  H    24 00 0  F                 166
DEFANT    51   52  H    24 00 0  F                 131
DEFANT    52   61  H    24 00 0  F                 157
DEFANT    57   61  H    24 00 0  F                 141
DEFANT    61   62  H    24 00 0  F                 408
DEFANT    62   63  H    24 00 0  F                 445
DEFANT    63   66  H    23 00 0  F                 517
DEFANT    63   66  H    24 00 0  F                 534
DEFANT    71   72  H    24 00 0  F                  33
DEFANT    72   73  H    24 00 0  F                  35
DEFANT    73   77  H    24 00 0  F                  15
DEFANT    74   76  H    24 00 0  F                 498
DEFANT    76   77  H    24 00 0  F                 677
DEFANT    77   78  H    24 00 0  F                 533
DEFANT    78   82  H    24 00 0  F                 565
DEFANT    82   83  H    24 00 0  F                 874
DEFANT    86   91  H    24 00 0  F                 346
DEFANT    89   90  H    24 00 0  F                 316
DEFANT    90   91  H    24 00 0  F                 339
DEFANT    91   92  H    24 00 0  F                 933
DEFANT    92  103  H    24 00 0  F                 938
DEFANT    93   94  H    24 00 0  F                   5
DEFANT    94  103  H    24 00 0  F                  53
DEFANT    97   98  H    24 00 0  F                  72
DEFANT    98   99  H    24 00 0  F                 118
DEFANT   101  102  H    24 00 0  F                 249
DEFANT   107   37  H    23 00 0  F                  70
DEFANT   110  111  H    24 00 0  F                  13
DEFANT   111  112  H    24 00 0  F                  44
DEFANT   112  113  H    24 00 0  F                  36
DEFANT   113  114  H    24 00 0  F                 153
DEFANT   120  123  H    22 00 0  F                  31
DEFANT   120  123  H    24 00 0  F                  13
DEFANT   121  122  H    24 00 0  F                  88
DEFANT   122  123  H    21 00 0  F                 105
DEFANT   122  123  H    24 00 0  F                  75
DEFANT   123  125  H    24 00 0  F                 180
DEFANT   125  129  H    23 00 0  F                  74
DEFANT   125  129  H    24 00 0  F                 212
DEFANT   126  127  H    24 00 0  F                  16
DEFANT   127  129  H    24 00 0  F                  39
DEFANT   129  130  H    24 00 0  F                  56
DEFANT   134  135  H    24 00 0  F                  32
DEFANT   135  141  H    24 00 0  F                  10
DEFANT   139  141  H    23 00 0  F                  64
DEFANT   139  141  H    24 00 0  F                  66
DEFANT   141  143  H    24 00 0  F                 141
DEFANT   143  144  H    24 00 0  F                 185
DEFANT   148  154  H    20 00 0  F                  50
DEFANT   148  154  H    23 00 0  F                  51
DEFANT   148  154  H    24 00 0  F                  47
DEFANT   153   46  H    24 00 0  F                  85
DEFANT   155  156  H    24 00 0  F                  60
DEFANT   156  169  H    10 00 0  F                 397
DEFANT   156  169  H    11 00 0  F                 407
DEFANT   156  169  H    12 00 0  F                 408
DEFANT   156  169  H    14 00 0  F                 409
DEFANT   156  169  H    16 00 0  F                 393
DEFANT   156  169  H    17 00 0  F                 406
DEFANT   156  169  H    19 00 0  F                 409
DEFANT   156  169  H    22 00 0  F                 408
DEFANT   156  169  H    23 00 0  F                 412
DEFANT   156  169  H    24 00 0  F                 413
DEFANT   162  169  H    10 00 0  F                  44
DEFANT   162  169  H    11 00 0  F                  35
DEFANT   162  169  H    12 00 0  F                  34
DEFANT   162  169  H    13 00 0  F                  22
DEFANT   162  169  H    14 00 0  F                  35
DEFANT   162  169  H    15 00 0  F                  36
DEFANT   162  169  H    16 00 0  F                  34
DEFANT   162  169  H    17 00 0  F                  35
DEFANT   162  169  H    20 00 0  F                  22
DEFANT   162  169  H    21 00 0  F                  35
DEFANT   162  169  H    22 00 0  F                  22
DEFANT   162  169  H    24 00 0  F                  23
DEFANT   169  172  H    22 00 0  F                1026
DEFANT   169  172  H    23 00 0  F                1017
DEFANT   169  172  H    24 00 0  F                1020
DEFANT   172  173  H    24 00 0  F                 936
DEFANT   175  178  H    24 00 0  F                 763
DEFANT   192  193  H    24 00 0  F                  28
DEFANT   193  141  H    23 00 0  F                  24
DEFANT   193  141  H    24 00 0  F                  26
DEFANT   203   30  H    24 00 0  F                  87
DEFANT   204  280  H    24 00 0  F                1932
DEFANT   228  229  H    20 00 0  F                 661
DEFANT   228  229  H    21 00 0  F                 663
DEFANT   228  229  H    22 00 0  F                 661
DEFANT   228  229  H    23 00 0  F                 629
DEFANT   228  229  H    24 00 0  F                 900
DEFANT   229  230  H    24 00 0  F                1168
DEFANT   241   34  H    24 00 0  F                 109
DEFANT   249   50  H    24 00 0  F                 105
DEFANT   251  252  H    24 00 0  F                 600
DEFANT   252  253  H    24 00 0  F                 638
DEFANT   253  257  H    24 00 0  F                 650
DEFANT   257  261  H    23 00 0  F                 743
DEFANT   257  261  H    24 00 0  F                 779
DEFANT   261  267  H    22 00 0  F                1208
DEFANT   261  267  H    23 00 0  F                1350
DEFANT   261  267  H    24 00 0  F                1353
DEFANT   262  241  H    24 00 0  F                 102
DEFANT   267  275  H    22 00 0  F                1562
DEFANT   267  275  H    24 00 0  F                1610
DEFANT   280  284  H    24 00 0  F                1836
DEFANT   285  287  H    24 00 0  F               16886
DEFANT   290   34  H    24 00 0  F                  45
DEFANT   311  312  H    24 00 0  F                  73
DEFANT   312  315  H    24 00 0  F                  75
DEFANT   315   34  H    24 00 0  F                  85
DEFANT    66    1  S    24  0 0  F                5197
DEFANT    66    1  S    24  0 1  F                4751
DEFANT    66    1  S    24  1 0  F                4723
DEFANT    66    1  S    24  1 1  F                4199
DEFANT    66    1  S    24  2 0  F                4199
DEFANT    66    1  S    24  2 1  F                4197
DEFANT    66    1  S    24  3 0  F                4088
DEFANT    66    1  S    24  3 1  F                4087
DEFANT    66    1  S    24  4 0  F                4113
DEFANT    66    1  S    24  4 1  F                4149
DEFANT    66    1  S    24  5 0  F                4184
DEFANT    66    1  S    24  5 1  F                4145
DEFANT    66    1  S    24  6 0  F                4390
DEFANT    66    1  S    24  6 1  F                4389
DEFANT    66    1  S    24  7 0  F                4625
DEFANT    66    1  S    24  7 1  F                4625
DEFANT    66    1  S    24  8 0  F                4687
DEFANT    66    1  S    24  8 1  F                4687
DEFANT    66    1  S    24  9 0  F                4741
DEFANT    66    1  S    24  9 1  F                4741
DEFANT    66    1  S    24 10 0  F                4784
DEFANT    66    1  S    24 10 1  F                4784
DEFANT    66    1  S    24 11 0  F                4851
DEFANT    66    1  S    24 11 1  F                4889
DEFANT    66    1  S    24 12 0  F                4900
DEFANT    66    1  S    24 12 1  F                4900
DEFANT    66    1  S    24 13 0  F                4779
DEFANT    66    1  S    24 13 1  F                4741
DEFANT    66    1  S    24 14 0  F                4728
DEFANT    66    1  S    24 14 1  F                4727
DEFANT    66    1  S    24 15 0  F                4701
DEFANT    66    1  S    24 15 1  F                4738
DEFANT    66    1  S    24 16 0  F                5035
DEFANT    66    1  S    24 16 1  F                5621
DEFANT    66    1  S    24 17 0  F                5958
DEFANT    66    1  S    24 17 1  F                6606
DEFANT    66    1  S    24 18 0  F                6867
DEFANT    66    1  S    24 18 1  F                6824
DEFANT    66    1  S    24 19 0  F                6882
DEFANT    66    1  S    24 19 1  F                6888
DEFANT    66    1  S    24 20 0  F                6633
DEFANT    66    1  S    24 20 1  F                6502
DEFANT    66    1  S    24 21 0  F                6391
DEFANT    66    1  S    24 21 1  F                6393
DEFANT    66    1  S    24 22 0  F                6127
DEFANT    66    1  S    24 22 1  F                5969
DEFANT    66    1  S    24 23 0  F                5635
DEFANT    66    1  S    24 23 1  F                5275
DEFANT    83    1  S    24  0 0  F                 392
DEFANT    83    1  S    24  0 1  F                 392
DEFANT    83    1  S    24  1 0  F                 391
DEFANT    83    1  S    24  1 1  F                 391
DEFANT    83    1  S    24  2 0  F                 391
DEFANT    83    1  S    24  2 1  F                 392
DEFANT    83    1  S    24  3 0  F                 392
DEFANT    83    1  S    24  3 1  F                 392
DEFANT    83    1  S    24  4 0  F                 393
DEFANT    83    1  S    24  4 1  F                 393
DEFANT    83    1  S    24  5 0  F                 393
DEFANT    83    1  S    24  5 1  F                 393
DEFANT    83    1  S    24  6 0  F                 394
DEFANT    83    1  S    24  6 1  F                 394
DEFANT    83    1  S    24  7 0  F                 394
DEFANT    83    1  S    24  7 1  F                 395
DEFANT    83    1  S    24  8 0  F                 395
DEFANT    83    1  S    24  8 1  F                 395
DEFANT    83    1  S    24  9 0  F                 396
DEFANT    83    1  S    24  9 1  F                 396
DEFANT    83    1  S    24 10 0  F                 396
DEFANT    83    1  S    24 10 1  F                 396
DEFANT    83    1  S    24 11 0  F                 396
DEFANT    83    1  S    24 11 1  F                 395
