&   DEFLUENCIAS ANTERIORES AO INICIO DO ESTUDO
&
&
&        Mont Jus TpJ   di hi m df hf m     defluencia
&X       XXX  XXX  X    XX XX X XX XX X     XXXXXXXXXX
DEFANT     2    4  H    08 00 0  F                  71
DEFANT     4    6  H    08 00 0  F                 119
DEFANT     6    7  H    08 00 0  F                 540
DEFANT     7    8  H    08 00 0  F                 577
DEFANT     8    9  H    08 00 0  F                 699
DEFANT     9   10  H    08 00 0  F                 781
DEFANT    10   11  H    08 00 0  F                 770
DEFANT    11   12  H    08 00 0  F                 628
DEFANT    12   17  H    08 00 0  F                 591
DEFANT    14   15  H    08 00 0  F                  16
DEFANT    15   16  H    08 00 0  F                  21
DEFANT    16   17  H    06 00 0  F                  19
DEFANT    16   17  H    07 00 0  F                  20
DEFANT    16   17  H    08 00 0  F                  31
DEFANT    17   18  H    08 00 0  F                 760
DEFANT    18   34  H    08 00 0  F                 808
DEFANT    20   21  H    08 00 0  F                 118
DEFANT    21   24  H    08 00 0  F                  78
DEFANT    24   31  H    08 00 0  F                 321
DEFANT    25   26  H    08 00 0  F                 136
DEFANT    26   27  H    08 00 0  F                 131
DEFANT    27   28  H    08 00 0  F                 126
DEFANT    28   31  H    08 00 0  F                 135
DEFANT    29  203  H    08 00 0  F                  70
DEFANT    30   31  H    08 00 0  F                 198
DEFANT    31   32  H    08 00 0  F                 521
DEFANT    32   33  H    08 00 0  F                 558
DEFANT    33   34  H    08 00 0  F                 700
DEFANT    34   45  H    08 00 0  F                1883
DEFANT    37   38  H    08 00 0  F                  92
DEFANT    38   39  H    08 00 0  F                 112
DEFANT    39   40  H    08 00 0  F                 134
DEFANT    40   42  H    08 00 0  F                 160
DEFANT    42   43  H    08 00 0  F                 156
DEFANT    43   45  H    08 00 0  F                 175
DEFANT    45   46  H    08 00 0  F                2483
DEFANT    46   66  H    07 00 0  F                2903
DEFANT    46   66  H    08 00 0  F                2904
DEFANT    47   48  H    08 00 0  F                  91
DEFANT    48   49  H    08 00 0  F                  93
DEFANT    49  249  H    08 00 0  F                 100
DEFANT    50   51  H    08 00 0  F                 177
DEFANT    51   52  H    08 00 0  F                 167
DEFANT    52   61  H    08 00 0  F                 171
DEFANT    57   61  H    08 00 0  F                 265
DEFANT    61   62  H    08 00 0  F                 528
DEFANT    62   63  H    08 00 0  F                 543
DEFANT    63   66  H    07 00 0  F                 619
DEFANT    63   66  H    08 00 0  F                 630
DEFANT    71   72  H    08 00 0  F                  64
DEFANT    72   73  H    08 00 0  F                  62
DEFANT    73   77  H    08 00 0  F                  15
DEFANT    74   76  H    08 00 0  F                 693
DEFANT    76   77  H    08 00 0  F                1080
DEFANT    77   78  H    08 00 0  F                1039
DEFANT    78   82  H    08 00 0  F                1232
DEFANT    82   83  H    08 00 0  F                1261
DEFANT    86   91  H    08 00 0  F                 411
DEFANT    89   90  H    08 00 0  F                 287
DEFANT    90   91  H    08 00 0  F                 358
DEFANT    91   92  H    08 00 0  F                1044
DEFANT    92  103  H    08 00 0  F                1180
DEFANT    93   94  H    08 00 0  F                  29
DEFANT    94  103  H    08 00 0  F                  70
DEFANT    97   98  H    08 00 0  F                  85
DEFANT    98   99  H    08 00 0  F                 130
DEFANT   101  102  H    08 00 0  F                 186
DEFANT   107   37  H    07 00 0  F                  63
DEFANT   110  111  H    08 00 0  F                  13
DEFANT   111  112  H    08 00 0  F                 178
DEFANT   112  113  H    08 00 0  F                 221
DEFANT   113  114  H    08 00 0  F                 226
DEFANT   120  123  H    06 00 0  F                  10
DEFANT   120  123  H    07 00 0  F                  11
DEFANT   120  123  H    08 00 0  F                   9
DEFANT   121  122  H    08 00 0  F                 104
DEFANT   122  123  H    05 00 0  F                 120
DEFANT   122  123  H    06 00 0  F                 125
DEFANT   122  123  H    08 00 0  F                 102
DEFANT   123  125  H    08 00 0  F                 206
DEFANT   125  129  H    07 00 0  F                  74
DEFANT   125  129  H    08 00 0  F                 215
DEFANT   126  127  H    08 00 0  F                  14
DEFANT   127  129  H    08 00 0  F                  34
DEFANT   129  130  H    08 00 0  F                  76
DEFANT   134  135  H    08 00 0  F                  21
DEFANT   135  141  H    08 00 0  F                  56
DEFANT   139  141  H    07 00 0  F                  57
DEFANT   139  141  H    08 00 0  F                  35
DEFANT   141  143  H    08 00 0  F                 231
DEFANT   143  144  H    08 00 0  F                 250
DEFANT   148  154  H    04 00 0  F                  51
DEFANT   148  154  H    08 00 0  F                  47
DEFANT   153   46  H    08 00 0  F                  86
DEFANT   155  156  H    08 00 0  F                  28
DEFANT   156  169  H    24 00 0  F                 412
DEFANT   156  169  H    25 00 0  F                 413
DEFANT   156  169  H    30 00 0  F                 414
DEFANT   156  169  H    02 00 0  F                 405
DEFANT   156  169  H    03 00 0  F                 403
DEFANT   156  169  H    04 00 0  F                 404
DEFANT   156  169  H    06 00 0  F                 405
DEFANT   156  169  H    08 00 0  F                 410
DEFANT   162  169  H    24 00 0  F                  22
DEFANT   162  169  H    02 00 0  F                  19
DEFANT   162  169  H    08 00 0  F                  21
DEFANT   169  172  H    06 00 0  F                1017
DEFANT   169  172  H    07 00 0  F                1021
DEFANT   169  172  H    08 00 0  F                1028
DEFANT   172  173  H    08 00 0  F                 911
DEFANT   175  178  H    08 00 0  F                 710
DEFANT   192  193  H    08 00 0  F                  20
DEFANT   193  141  H    07 00 0  F                  21
DEFANT   193  141  H    08 00 0  F                  20
DEFANT   203   30  H    08 00 0  F                  70
DEFANT   204  280  H    08 00 0  F                1923
DEFANT   228  229  H    04 00 0  F                 536
DEFANT   228  229  H    05 00 0  F                 584
DEFANT   228  229  H    07 00 0  F                 537
DEFANT   228  229  H    08 00 0  F                 647
DEFANT   229  230  H    08 00 0  F                 879
DEFANT   241   34  H    08 00 0  F                 119
DEFANT   249   50  H    08 00 0  F                 101
DEFANT   251  252  H    08 00 0  F                 600
DEFANT   252  253  H    08 00 0  F                 638
DEFANT   253  257  H    08 00 0  F                 654
DEFANT   257  261  H    07 00 0  F                 845
DEFANT   257  261  H    08 00 0  F                 850
DEFANT   261  267  H    06 00 0  F                 876
DEFANT   261  267  H    07 00 0  F                 878
DEFANT   261  267  H    08 00 0  F                 883
DEFANT   262  241  H    08 00 0  F                 117
DEFANT   267  275  H    06 00 0  F                1544
DEFANT   267  275  H    07 00 0  F                1520
DEFANT   267  275  H    08 00 0  F                1535
DEFANT   280  284  H    08 00 0  F                1879
DEFANT   285  287  H    08 00 0  F               13190
DEFANT   290   34  H    08 00 0  F                  45
DEFANT   311  312  H    08 00 0  F                  67
DEFANT   312  315  H    08 00 0  F                  69
DEFANT   315   34  H    08 00 0  F                  70
DEFANT    66    1  S    08  0 0  F                4286
DEFANT    66    1  S    08  0 1  F                4284
DEFANT    66    1  S    08  1 0  F                3862
DEFANT    66    1  S    08  1 1  F                3713
DEFANT    66    1  S    08  2 0  F                3639
DEFANT    66    1  S    08  2 1  F                3711
DEFANT    66    1  S    08  3 0  F                3620
DEFANT    66    1  S    08  3 1  F                3618
DEFANT    66    1  S    08  4 0  F                3610
DEFANT    66    1  S    08  4 1  F                3609
DEFANT    66    1  S    08  5 0  F                3644
DEFANT    66    1  S    08  5 1  F                3643
DEFANT    66    1  S    08  6 0  F                3733
DEFANT    66    1  S    08  6 1  F                3732
DEFANT    66    1  S    08  7 0  F                3812
DEFANT    66    1  S    08  7 1  F                3811
DEFANT    66    1  S    08  8 0  F                4237
DEFANT    66    1  S    08  8 1  F                4237
DEFANT    66    1  S    08  9 0  F                4294
DEFANT    66    1  S    08  9 1  F                4294
DEFANT    66    1  S    08 10 0  F                4340
