& CONDICOES INICIAIS DAS UNIDADES                
& 
&Flags Ativos
UCTPAR 2
UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
&CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
&CROSSOVER 1
&ENGOLIMENTO 0                         
&                                                
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X 
 60  NORTEFLU       2    0         0.00  19023  0  0
 60  NORTEFLU       3    0         0.00  19023  0  0
 60  NORTEFLU       4    0         0.00   1368  0  0
 60  NORTEFLU       5    0         0.00   2880  0  0
 60  NORTEFLU       6    0         0.00   3465  1  0
 60  NORTEFLU       7    1       826.00   1368  0  0
 62  SEROPEDICA     1    0         0.00    497  1  0
 62  SEROPEDICA     2    0         0.00   4206  0  0
 62  SEROPEDICA     3    0         0.00   3838  1  0
 62  SEROPEDICA     4    0         0.00    710  1  0
 62  SEROPEDICA     5    0         0.00    520  0  0
 62  SEROPEDICA     6    0         0.00    168  0  0
 62  SEROPEDICA     7    0         0.00    186  0  0
 62  SEROPEDICA     8    1       350.00    168  0  0
 63  IBIRITE        1    1       226.00    480  0  0
 64  CANOAS         1    1      248.573    335  1  0
 67  TERMONE        1    1        49.95     90  1  0
 67  TERMONE        2    1        58.27     91  0  0
 67  TERMONE        3    1        46.78     91  0  0
 68  TRES LAGOAS    1    0         0.00    501  0  0
 68  TRES LAGOAS    2    0         0.00  10727  0  0
 68  TRES LAGOAS    3    0         0.00  15432  0  0
 68  TRES LAGOAS    4    0         0.00    420  0  0
 68  TRES LAGOAS    5    0         0.00  13392  1  0
 68  TRES LAGOAS    6    0         0.00   4555  1  0
 68  TRES LAGOAS    7    0         0.00  13392  0  0
 68  TRES LAGOAS    8    0         0.00   6408  0  0
 68  TRES LAGOAS    9    0         0.00    335  0  0
 68  TRES LAGOAS   10    0         0.00   6270  0  0
 68  TRES LAGOAS   11    0         0.00   6360  0  0
 68  TRES LAGOAS   12    0         0.00  13368  0  0
 68  TRES LAGOAS   13    1       270.00    335  0  0
 68  TRES LAGOAS   14    0         0.00   6048  0  0
 68  TRES LAGOAS   15    0         0.00   4846  1  0
 69  TERMOPB        1    1        49.95     91  0  0
 69  TERMOPB        2    1        58.27     90  1  0
 69  TERMOPB        3    1        42.78     91  0  0
 70  GERAMAR II     1    1        43.60     91  1  0
 70  GERAMAR II     2    1        34.90     91  1  0
 70  GERAMAR II     3    1        43.60     91  1  0
 70  GERAMAR II     4    1        36.90     91  1  0
 73  GERAMAR I      1    1        43.60     91  1  0
 73  GERAMAR I      2    1        43.65     91  1  0
 73  GERAMAR I      3    1        36.85     91  1  0
 73  GERAMAR I      4    1        34.90     91  1  0
 83  VALE DO ACU    1    1       110.00    312  0  0
 83  VALE DO ACU    2    0         0.00   9245  0  0
 86  ST.CRUZ NOVA  11    1       175.00    816  0  0
 86  ST.CRUZ NOVA  21    1       175.00    816  0  0
 90  TERMOMACAE     1    0         0.00    278  0  0
 90  TERMOMACAE     2    0         0.00  15432  0  0
 90  TERMOMACAE     3    0         0.00   5815  1  0
 90  TERMOMACAE     4    0         0.00   5437  0  0
 90  TERMOMACAE     5    0         0.00  15432  0  0
 90  TERMOMACAE     6    0         0.00   4463  0  0
 90  TERMOMACAE     7    0         0.00  15432  0  0
 90  TERMOMACAE     8    0         0.00  15432  0  0
 90  TERMOMACAE     9    0         0.00    456  1  0
 90  TERMOMACAE    10    0         0.00  15432  0  0
 90  TERMOMACAE    11    0         0.00   5687  0  0
 90  TERMOMACAE    12    0         0.00   5693  1  0
 90  TERMOMACAE    13    0         0.00   5319  1  0
 90  TERMOMACAE    14    0         0.00   5392  0  0
 90  TERMOMACAE    15    0         0.00     72  0  0
 90  TERMOMACAE    16    0         0.00  15432  0  0
 90  TERMOMACAE    17    0         0.00    310  1  0
 90  TERMOMACAE    18    1       810.00     72  0  0
 90  TERMOMACAE    19    0         0.00   4505  0  0
 90  TERMOMACAE    20    0         0.00   5184  0  0
 96  TERMOPE        1    0         0.00  10691  0  0
 96  TERMOPE        2    0         0.00   7573  0  0
 96  TERMOPE        3    1       533.00   1399  1  0
 97  CUBATAO        1    1       208.00    514  0  0
 97  CUBATAO        2    0         0.00   4109  1  0
 97  CUBATAO        3    0         0.00    514  0  0
 98  PERNAMBU_III   1    0         0.00  11713  0  0
 98  PERNAMBU_III   2    0         0.00  13078  0  0
 98  PERNAMBU_III   3    0         0.00  11712  1  0
 98  PERNAMBU_III   4    0         0.00   5183  1  0
106  ERB CANDEIAS   1    1        11.00     88  0  0
107  PAMPA SUL      1    0         0.00  11552  0  0
108  XAVANTES       1    0         0.00  15434  0  0
108  XAVANTES       2    0         0.00  15434  0  0
109  ALTOS          1    0         0.00  15764  0  0
110  N.PIRATININ    1    0         0.00   9025  1  0
110  N.PIRATININ    2    0         0.00  18480  0  0
110  N.PIRATININ    3    0         0.00    244  0  0
110  N.PIRATININ    4    1       140.00    244  0  0
110  N.PIRATININ    5    0         0.00  17943  0  0
110  N.PIRATININ    6    0         0.00  14939  0  0
110  N.PIRATININ    7    0         0.00  15162  0  0
110  N.PIRATININ    8    0         0.00  18480  0  0
110  N.PIRATININ    9    0         0.00  18480  0  0
110  N.PIRATININ   10    0         0.00  18480  0  0
110  N.PIRATININ   11    0         0.00  17943  0  0
110  N.PIRATININ   12    0         0.00  17943  0  0
110  N.PIRATININ   13    0         0.00  18480  0  0
110  N.PIRATININ   14    0         0.00  18480  0  0
110  N.PIRATININ   15    0         0.00  18480  0  0
111  ARACATI        1    0         0.00  15764  0  0
112  BAHIA I        1    0         0.00   5473  0  0
112  BAHIA I        2    0         0.00    104  0  0
112  BAHIA I        3    1        26.00    104  0  0
113  BATURITE       1    0         0.00  15764  0  0
116  PARNAIBA IV    1    1        56.00     92  0  0
117  CAMPO MAIOR    1    0         0.00  15764  0  0
119  CAUCAIA        1    0         0.00  15764  0  0
121  CRATO          1    0         0.00  15764  0  0
125  ENGUIA PECEM   1    0         0.00  15764  0  0
127  IGUATU         1    0         0.00  15764  0  0
133  JUAZEIRO N     1    0         0.00  15764  0  0
135  MARAMBAIA      1    0         0.00  15764  0  0
138  NAZARIA        1    0         0.00  15764  0  0
140  MAUA 3         1    1       566.00    240  0  0
