& CONDICOES INICIAIS DAS UNIDADES                
&
UCTPAR 2
UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
CPLEXLOG
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
&CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
&CROSSOVER 1
&ENGOLIMENTO 0
&                                                
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D T  TITULINFLX
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X  X  XXXXXXXXXX
 55  GLOBAL II      7    0        0.000    392  1  0  0          0.
 55  GLOBAL II      8    0        0.000    463  1  0  0          0.
 55  GLOBAL II      9    0        0.000    530  1  0  0          0.
 55  GLOBAL II     10    0        0.000    368  0  0  0          0.
 55  GLOBAL II     11    0        0.000    310  1  0  0          0.
 57  MARACANAU I    1    0        0.000    311  1  0  0          0.
 57  MARACANAU I    2    0        0.000   1605  1  0  0          0.
 57  MARACANAU I    3    0        0.000    311  1  0  0          0.
 57  MARACANAU I    4    0        0.000    311  1  0  0          0.
 57  MARACANAU I    5    0        0.000   3959  1  0  0          0.
 57  MARACANAU I    6    0        0.000    494  0  0  0          0.
 57  MARACANAU I    7    0        0.000    604  0  0  0          0.
 57  MARACANAU I    8    0        0.000    351  0  0  0          0.
 58  TERMOCEARA     1    0        0.000   6090  0  0  0          0.
 58  TERMOCEARA     2    0        0.000   6047  0  0  0          0.
 58  TERMOCEARA     3    0        0.000   6054  1  0  0          0.
 58  TERMOCEARA     4    0        0.000  14616  1  0  0          0.
 60  NORTEFLU       1    0        0.000  20871  0  0  0        700.
 60  NORTEFLU       2    0        0.000  20871  0  0  0        700.
 60  NORTEFLU       3    0        0.000  20871  0  0  0        700.
 60  NORTEFLU       4    0        0.000    216  0  0  0        700.
 60  NORTEFLU       5    0        0.000    108  1  0  0        700.
 60  NORTEFLU       6    0        0.000   5313  1  0  0        700.
 60  NORTEFLU       7    1      826.000    108  1  0  0        700.
 62  SEROPEDICA     1    0        0.000   2345  1  0  0          0.
 62  SEROPEDICA     2    0        0.000   6054  0  0  0          0.
 62  SEROPEDICA     3    0        0.000   5686  1  0  0          0.
 62  SEROPEDICA     4    0        0.000   2558  1  0  0          0.
 62  SEROPEDICA     5    0        0.000   2368  0  0  0          0.
 62  SEROPEDICA     6    0        0.000   2016  0  0  0          0.
 62  SEROPEDICA     7    0        0.000    293  0  0  0          0.
 62  SEROPEDICA     8    1      355.000    293  0  0  1          0.
 63  IBIRITE        1    0        0.000    600  0  0  0          0.
 64  CANOAS         1    1      230.000     94  1  0  1          0.
 67  TERMONE        1    0        0.000    169  0  0  0          0.
 67  TERMONE        2    0        0.000    147  1  0  0          0.
 67  TERMONE        3    0        0.000    307  0  0  0          0.
 68  TRES LAGOAS    1    0        0.000    423  0  0  0          0.
 68  TRES LAGOAS    2    0        0.000  12575  0  0  0          0.
 68  TRES LAGOAS    3    0        0.000  17280  0  0  0          0.
 68  TRES LAGOAS    4    0        0.000   2268  0  0  0          0.
 68  TRES LAGOAS    5    0        0.000  15240  1  0  0          0.
 68  TRES LAGOAS    6    0        0.000   6403  1  0  0          0.
