&   DEFLUENCIAS ANTERIORES AO INICIO DO ESTUDO
&
&
&        Mont Jus TpJ   di hi m df hf m     defluencia
&X       XXX  XXX  X    XX XX X XX XX X     XXXXXXXXXX
DEFANT     2    4  H    30 00 0  F                  60
DEFANT     4    6  H    30 00 0  F                 121
DEFANT     6    7  H    30 00 0  F                1041
DEFANT     7    8  H    30 00 0  F                 999
DEFANT     8    9  H    30 00 0  F                1034
DEFANT     9   10  H    30 00 0  F                1010
DEFANT    10   11  H    30 00 0  F                1010
DEFANT    11   12  H    30 00 0  F                1142
DEFANT    12   17  H    30 00 0  F                1120
DEFANT    14   15  H    30 00 0  F                  33
DEFANT    15   16  H    30 00 0  F                  42
DEFANT    16   17  H    28 00 0  F                  40
DEFANT    17   18  H    30 00 0  F                1396
DEFANT    18   34  H    30 00 0  F                1374
DEFANT    20   21  H    30 00 0  F                  52
DEFANT    21   24  H    30 00 0  F                  87
DEFANT    24   31  H    30 00 0  F                  95
DEFANT    25   26  H    30 00 0  F                 115
DEFANT    26   27  H    30 00 0  F                 126
DEFANT    27   28  H    30 00 0  F                 136
DEFANT    28   31  H    30 00 0  F                 139
DEFANT    29  203  H    30 00 0  F                  80
DEFANT    30   31  H    30 00 0  F                 219
DEFANT    31   32  H    30 00 0  F                1117
DEFANT    32   33  H    30 00 0  F                 791
DEFANT    33   34  H    30 00 0  F                1012
DEFANT    34   45  H    30 00 0  F                2657
DEFANT    37   38  H    30 00 0  F                  92
DEFANT    38   39  H    30 00 0  F                 101
DEFANT    39   40  H    30 00 0  F                 157
DEFANT    40   42  H    30 00 0  F                 216
DEFANT    42   43  H    30 00 0  F                 185
DEFANT    43   45  H    30 00 0  F                 190
DEFANT    45   46  H    30 00 0  F                3043
DEFANT    46   66  H    29 00 0  F                3609
DEFANT    46   66  H    30 00 0  F                3619
DEFANT    47   48  H    30 00 0  F                  59
DEFANT    48   49  H    30 00 0  F                  58
DEFANT    49  249  H    30 00 0  F                 111
DEFANT    50   51  H    30 00 0  F                 159
DEFANT    51   52  H    30 00 0  F                 158
DEFANT    52   61  H    30 00 0  F                 164
DEFANT    57   61  H    30 00 0  F                 304
DEFANT    61   62  H    30 00 0  F                 368
DEFANT    62   63  H    30 00 0  F                 375
DEFANT    63   66  H    29 00 0  F                 478
DEFANT    63   66  H    30 00 0  F                 475
DEFANT    71   72  H    30 00 0  F                 148
DEFANT    72   73  H    30 00 0  F                 149
DEFANT    73   77  H    30 00 0  F                  56
DEFANT    74   76  H    30 00 0  F                 896
DEFANT    76   77  H    30 00 0  F                1216
DEFANT    77   78  H    30 00 0  F                1321
DEFANT    78   82  H    30 00 0  F                1437
DEFANT    82   83  H    30 00 0  F                1889
DEFANT    86   91  H    30 00 0  F                 744
DEFANT    89   90  H    30 00 0  F                 897
DEFANT    90   91  H    30 00 0  F                1073
DEFANT    91   92  H    30 00 0  F                2174
DEFANT    92  103  H    30 00 0  F                2504
DEFANT    93   94  H    30 00 0  F                 152
DEFANT    94  103  H    30 00 0  F                 262
DEFANT    97   98  H    30 00 0  F                 411
DEFANT    98   99  H    30 00 0  F                 641
DEFANT   101  102  H    30 00 0  F                 405
DEFANT   107   37  H    29 00 0  F                  65
DEFANT   110  111  H    30 00 0  F                  76
DEFANT   111  112  H    30 00 0  F                 395
DEFANT   112  113  H    30 00 0  F                 363
DEFANT   113  114  H    30 00 0  F                 441
DEFANT   120  123  H    28 00 0  F                  26
DEFANT   120  123  H    30 00 0  F                  13
DEFANT   121  122  H    30 00 0  F                  96
DEFANT   122  123  H    27 00 0  F                 104
DEFANT   122  123  H    28 00 0  F                 105
DEFANT   122  123  H    30 00 0  F                 106
DEFANT   123  125  H    30 00 0  F                 174
DEFANT   125  129  H    29 00 0  F                  75
DEFANT   125  129  H    30 00 0  F                 194
DEFANT   126  127  H    30 00 0  F                  19
DEFANT   127  129  H    30 00 0  F                  44
DEFANT   129  130  H    30 00 0  F                  98
DEFANT   134  135  H    30 00 0  F                  53
DEFANT   135  141  H    30 00 0  F                  54
DEFANT   139  141  H    29 00 0  F                  92
DEFANT   139  141  H    30 00 0  F                  88
DEFANT   141  143  H    30 00 0  F                 279
DEFANT   143  144  H    30 00 0  F                 327
DEFANT   148  154  H    26 00 0  F                  48
DEFANT   153   46  H    30 00 0  F                  80
DEFANT   155  156  H    30 00 0  F                  56
DEFANT   156  169  H    16 00 0  F                 543
DEFANT   156  169  H    17 00 0  F                 544
DEFANT   156  169  H    20 00 0  F                 497
DEFANT   156  169  H    21 00 0  F                 451
DEFANT   156  169  H    27 00 0  F                 453
DEFANT   156  169  H    28 00 0  F                 454
DEFANT   156  169  H    30 00 0  F                 453
DEFANT   162  169  H    16 00 0  F                  21
DEFANT   162  169  H    18 00 0  F                  20
DEFANT   162  169  H    20 00 0  F                  21
DEFANT   162  169  H    21 00 0  F                  20
DEFANT   162  169  H    22 00 0  F                  21
DEFANT   162  169  H    30 00 0  F                  19
DEFANT   169  172  H    28 00 0  F                1204
DEFANT   169  172  H    29 00 0  F                1192
DEFANT   169  172  H    30 00 0  F                1184
DEFANT   172  173  H    30 00 0  F                1558
DEFANT   175  178  H    30 00 0  F                1485
DEFANT   192  193  H    30 00 0  F                  39
DEFANT   193  141  H    29 00 0  F                  37
DEFANT   193  141  H    30 00 0  F                  40
DEFANT   203   30  H    30 00 0  F                 116
