&   DEFLUENCIAS ANTERIORES AO INICIO DO ESTUDO
&
&
&        Mont Jus TpJ   di hi m df hf m     defluencia
&X       XXX  XXX  X    XX XX X XX XX X     XXXXXXXXXX
DEFANT     2    4  H    11 00 0  F                 110
DEFANT     4    6  H    11 00 0  F                 286
DEFANT     6    7  H    11 00 0  F                 407
DEFANT     7    8  H    11 00 0  F                 467
DEFANT     8    9  H    11 00 0  F                 448
DEFANT     9   10  H    11 00 0  F                 306
DEFANT    10   11  H    11 00 0  F                 351
DEFANT    11   12  H    11 00 0  F                 446
DEFANT    12   17  H    11 00 0  F                 450
DEFANT    14   15  H    11 00 0  F                  34
DEFANT    15   16  H    11 00 0  F                  49
DEFANT    16   17  H    09 00 0  F                  62
DEFANT    16   17  H    10 00 0  F                  59
DEFANT    16   17  H    11 00 0  F                  56
DEFANT    17   18  H    11 00 0  F                 692
DEFANT    18   34  H    11 00 0  F                 869
DEFANT    20   21  H    11 00 0  F                 150
DEFANT    21   24  H    11 00 0  F                  78
DEFANT    24   31  H    11 00 0  F                 133
DEFANT    25   26  H    11 00 0  F                 141
DEFANT    26   27  H    11 00 0  F                 164
DEFANT    27   28  H    11 00 0  F                 155
DEFANT    28   31  H    11 00 0  F                 148
DEFANT    29  203  H    11 00 0  F                  22
DEFANT    30   31  H    11 00 0  F                 562
DEFANT    31   32  H    11 00 0  F                 330
DEFANT    32   33  H    11 00 0  F                 533
DEFANT    33   34  H    11 00 0  F                1932
DEFANT    34   45  H    11 00 0  F                2869
DEFANT    37   38  H    11 00 0  F                 332
DEFANT    38   39  H    11 00 0  F                 318
DEFANT    39   40  H    11 00 0  F                 470
DEFANT    40   42  H    11 00 0  F                 470
DEFANT    42   43  H    11 00 0  F                 462
DEFANT    43   45  H    11 00 0  F                 236
DEFANT    45   46  H    11 00 0  F                3700
DEFANT    46   66  H    10 00 0  F                5390
DEFANT    46   66  H    11 00 0  F                5204
DEFANT    47   48  H    11 00 0  F                  70
DEFANT    48   49  H    11 00 0  F                  64
DEFANT    49  249  H    11 00 0  F                 100
DEFANT    50   51  H    11 00 0  F                 224
