NUMERO DE USINAS
XXX
162
NUMERO DAS USINAS NO CADASTRO
1   2   3   4   5   6   7   8   9   10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40  41  42  43  44  45  46  47  48  49  50  51  52  53  54  55  56  57  58  59  60  61  62  63  64  65  66  67  68  69  70  71  72  73  74  75  76  77  78  79  80  81  82  83  84  85  86  87  88  89  90  91  92  93  94  95  96  97  98  99  100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 
XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX 
1   2   4   24  27  28  25  33  156 134 10  143 162 148 217 193 141 14  18  37  40  42  15  16  38  39  62  63  52  51  47  49  61  50  45  43  34  153 46  120 121 6   7   8   12  17  31  30  251 278 123 129 20  287 257 122 124 130 131 133 125 180 181 182 183 184 107 108 109 117 118 119 32  11  135 139 262 89  144 66  110 111 112 113 114 74  76  82  83  115 73  71  72  57  77  78  93  91  92  252 253 267 281 9   26  86  90  97  98  99  103 169 172 173 174 175 178 190 189 275 272 279 280 204 127 126 283 261 48  249 241 304 305 196 195 95  203 154 310 29  94  215 155 311 312 315 21  290 101 276 102 277 285 286 284 227 228 229 192 230 288 314 
Hr  Dd  Mm  Ano
XX  XX  XX  XXXX
00  26  02  2021
Dia inic(1-SAB...7-SEX); sem da FCF; n. semanas; pre-interesse
X X X X
7 1 1 0
VAZOES DIARIAS PARA CADA USINA (m3/s)
NUM     NOME      itp   DI HI M DF HF M      VAZAO
XXX XXXXXXXXXXXX   X    XXxXXxXxXXxXXxX     XXXXXXXXX
  1 CAMARGOS       1    26      F                 101
  1 CAMARGOS       1    28      F                  98
  2 ITUTINGA       1    26      F                   0
  4 FUNIL-GRANDE   1    26      F                 193
  4 FUNIL-GRANDE   1    27      F                 181
  4 FUNIL-GRANDE   1    28      F                 172
 24 EMBORCACAO     1    26      F                 328
 24 EMBORCACAO     1    27      F                 316
 24 EMBORCACAO     1    28      F                 310
 27 CAPIM BRANC1   1    26      F                   2
 28 CAPIM BRANC2   1    26      F                   4
 25 NOVA PONTE     1    26      F                 193
 25 NOVA PONTE     1    27      F                 203
 25 NOVA PONTE     1    28      F                 214
 33 SAO SIMAO      1    26      F                 804
 33 SAO SIMAO      1    27      F                 809
 33 SAO SIMAO      1    28      F                 826
156 TRES MARIAS    1    26      F                 868
156 TRES MARIAS    1    27      F                 821
156 TRES MARIAS    1    28      F                 773
134 SALTO GRANDE   1    26      F                 131
134 SALTO GRANDE   1    27      F                 185
 10 IGARAPAVA      1    26      F                  17
 10 IGARAPAVA      1    27      F                  19
 10 IGARAPAVA      1    28      F                  20
143 AIMORES        1    26      F                 225
143 AIMORES        1    27      F                 221
162 QUEIMADO       1    26      F                  90
162 QUEIMADO       1    27      F                  86
162 QUEIMADO       1    28      F                  84
148 IRAPE          1    26      F                 128
148 IRAPE          1    27      F                 183
217 ROSAL          1    26      F                  44
217 ROSAL          1    27      F                  51
193 SA CARVALHO    1    26      F                   7
193 SA CARVALHO    1    27      F                   6
141 BAGUARI        1    26      F                  73
141 BAGUARI        1    27      F                   9
 14 CACONDE        1    26      F                  28
 14 CACONDE        1    27      F                  39
 14 CACONDE        1    28      F                  51
 18 A. VERMELHA    1    26      F                 111
 18 A. VERMELHA    1    27      F                 123
 18 A. VERMELHA    1    28      F                 147
 37 BARRA BONITA   1    26      F                 136
 37 BARRA BONITA   1    27      F                 259
 37 BARRA BONITA   1    28      F                 410
 40 PROMISSAO      1    26      F                  67
 40 PROMISSAO      1    27      F                  80
 40 PROMISSAO      1    28      F                  79
 42 NAVANHANDAVA   1    26      F                  27
 42 NAVANHANDAVA   1    27      F                  32
 42 NAVANHANDAVA   1    28      F                  31
 15 E. DA CUNHA    1    26      F                  18
 15 E. DA CUNHA    1    27      F                  25
 15 E. DA CUNHA    1    28      F                  32
 16 A.S.OLIVEIRA   1    26      F                   1
 38 A.S. LIMA      1    26      F                  58
 38 A.S. LIMA      1    27      F                  72
 38 A.S. LIMA      1    28      F                  80
 39 IBITINGA       1    26      F                 112
 39 IBITINGA       1    27      F                 138
 39 IBITINGA       1    28      F                 153
 62 TAQUARUCU      1    26      F                  43
 62 TAQUARUCU      1    27      F                  44
 62 TAQUARUCU      1    28      F                  45
 63 ROSANA         1    26      F                 102
 63 ROSANA         1    27      F                 104
 63 ROSANA         1    28      F                 105
 52 CANOAS I       1    26      F                  11
 52 CANOAS I       1    27      F                  12
 52 CANOAS I       1    28      F                  13
 51 CANOAS II      1    26      F                   5
 51 CANOAS II      1    27      F                   6
 47 A.A. LAYDNER   1    26      F                  92
 47 A.A. LAYDNER   1    27      F                  97
 47 A.A. LAYDNER   1    28      F                 110
 49 CHAVANTES      1    26      F                  39
 49 CHAVANTES      1    27      F                  48
 49 CHAVANTES      1    28      F                  51
 61 CAPIVARA       1    26      F                 123
 61 CAPIVARA       1    27      F                 127
 61 CAPIVARA       1    28      F                 131
 50 L.N. GARCEZ    1    26      F                  66
 50 L.N. GARCEZ    1    27      F                  73
 50 L.N. GARCEZ    1    28      F                  78
 45 JUPIA          1    26      F                 286
 45 JUPIA          1    27      F                 300
 45 JUPIA          1    28      F                 332
 43 TRES IRMAOS    1    26      F                  17
 43 TRES IRMAOS    1    27      F                  19
 43 TRES IRMAOS    1    28      F                  21
 34 I. SOLTEIRA    1    26      F                 273
 34 I. SOLTEIRA    1    27      F                 296
 34 I. SOLTEIRA    1    28      F                 330
153 SAO DOMINGOS   1    26      F                 103
153 SAO DOMINGOS   1    27      F                 117
153 SAO DOMINGOS   1    28      F                 121
 46 P. PRIMAVERA   1    26      F                 526
 46 P. PRIMAVERA   1    27      F                 540
 46 P. PRIMAVERA   1    28      F                 576
120 JAGUARI        1    26      F                  46
121 PARAIBUNA      1    26      F                 170
121 PARAIBUNA      1    27      F                 131
  6 FURNAS         1    26      F                 470
  6 FURNAS         1    27      F                 467
  6 FURNAS         1    28      F                 489
  7 M. DE MORAES   1    26      F                  62
  7 M. DE MORAES   1    27      F                  71
  7 M. DE MORAES   1    28      F                  73
  8 ESTREITO       1    26      F                  14
  8 ESTREITO       1    27      F                  16
  8 ESTREITO       1    28      F                  17
 12 P. COLOMBIA    1    26      F                  73
 12 P. COLOMBIA    1    27      F                  80
 12 P. COLOMBIA    1    28      F                  85
 17 MARIMBONDO     1    26      F                 297
 17 MARIMBONDO     1    27      F                 318
 17 MARIMBONDO     1    28      F                 374
 31 ITUMBIARA      1    26      F                 313
 31 ITUMBIARA      1    27      F                 299
 31 ITUMBIARA      1    28      F                 313
 30 CORUMBA I      1    26      F                 470
 30 CORUMBA I      1    27      F                 436
 30 CORUMBA I      1    28      F                 425
251 SERRA MESA     1    26      F                1445
251 SERRA MESA     1    27      F                1346
251 SERRA MESA     1    28      F                1332
278 MANSO          1    26      F                 259
278 MANSO          1    27      F                 286
123 FUNIL          1    26      F                 203
123 FUNIL          1    27      F                 303
129 SIMPLICIO      1    26      F                 253
129 SIMPLICIO      1    27      F                 228
 20 BATALHA        1    26      F                 176
 20 BATALHA        1    27      F                 168
 20 BATALHA        1    28      F                 164
287 STO ANTONIO    1    26      F                1230
287 STO ANTONIO    1    27      F                1268
287 STO ANTONIO    1    28      F                1304
257 PEIXE ANGIC    1    26      F                1296
257 PEIXE ANGIC    1    27      F                1358
257 PEIXE ANGIC    1    28      F                1373
