&   DEFLUENCIAS ANTERIORES AO INICIO DO ESTUDO
&
&
&        Mont Jus TpJ   di hi m df hf m     defluencia
&X       XXX  XXX  X    XX XX X XX XX X     XXXXXXXXXX
DEFANT     2    4  H    12 00 0  F                  64
DEFANT     4    6  H    12 00 0  F                 126
DEFANT     6    7  H    12 00 0  F                 131
DEFANT     7    8  H    12 00 0  F                 227
DEFANT     8    9  H    12 00 0  F                 226
DEFANT     9   10  H    12 00 0  F                 228
DEFANT    10   11  H    12 00 0  F                 277
DEFANT    11   12  H    12 00 0  F                 290
DEFANT    12   17  H    12 00 0  F                 468
DEFANT    14   15  H    12 00 0  F                  34
DEFANT    15   16  H    12 00 0  F                  60
DEFANT    16   17  H    10 00 0  F                  45
DEFANT    16   17  H    12 00 0  F                  52
DEFANT    17   18  H    12 00 0  F                1122
DEFANT    18   34  H    12 00 0  F                2280
DEFANT    20   21  H    12 00 0  F                  44
DEFANT    21   24  H    12 00 0  F                  81
DEFANT    24   31  H    12 00 0  F                  94
DEFANT    25   26  H    12 00 0  F                 112
DEFANT    26   27  H    12 00 0  F                 136
DEFANT    27   28  H    12 00 0  F                 137
DEFANT    28   31  H    12 00 0  F                 134
DEFANT    29  203  H    12 00 0  F                  13
DEFANT    30   31  H    12 00 0  F                 150
DEFANT    31   32  H    12 00 0  F                 455
DEFANT    32   33  H    12 00 0  F                 247
DEFANT    33   34  H    12 00 0  F                1222
DEFANT    34   45  H    12 00 0  F                3204
DEFANT    37   38  H    12 00 0  F                  61
DEFANT    38   39  H    12 00 0  F                 139
DEFANT    39   40  H    12 00 0  F                 235
DEFANT    40   42  H    12 00 0  F                 256
DEFANT    42   43  H    12 00 0  F                 263
DEFANT    43   45  H    12 00 0  F                 180
DEFANT    45   46  H    12 00 0  F                3300
DEFANT    46   66  H    11 00 0  F                3948
DEFANT    46   66  H    12 00 0  F                3927
DEFANT    47   48  H    12 00 0  F                  60
DEFANT    48   49  H    12 00 0  F                  56
DEFANT    49  249  H    12 00 0  F                 113
DEFANT    50   51  H    12 00 0  F                 155
DEFANT    51   52  H    12 00 0  F                 145
DEFANT    52   61  H    12 00 0  F                 159
DEFANT    57   61  H    12 00 0  F                 172
DEFANT    61   62  H    12 00 0  F                 375
DEFANT    62   63  H    12 00 0  F                 364
DEFANT    63   66  H    11 00 0  F                 423
DEFANT    63   66  H    12 00 0  F                 472
DEFANT    71   72  H    12 00 0  F                 143
DEFANT    72   73  H    12 00 0  F                 151
DEFANT    73   77  H    12 00 0  F                  65
DEFANT    74   76  H    12 00 0  F                1359
DEFANT    76   77  H    12 00 0  F                1605
DEFANT    77   78  H    12 00 0  F                1503
DEFANT    78   82  H    12 00 0  F                1239
DEFANT    82   83  H    12 00 0  F                1346
DEFANT    86   91  H    12 00 0  F                 302
DEFANT    89   90  H    12 00 0  F                 796
DEFANT    90   91  H    12 00 0  F                 852
DEFANT    91   92  H    12 00 0  F                1119
DEFANT    92  103  H    12 00 0  F                1328
DEFANT    93   94  H    12 00 0  F                   0
DEFANT    94  103  H    12 00 0  F                  68
DEFANT    97   98  H    12 00 0  F                 246
DEFANT    98   99  H    12 00 0  F                 343
DEFANT   101  102  H    12 00 0  F                 447
DEFANT   107   37  H    11 00 0  F                  75
DEFANT   110  111  H    12 00 0  F                 107
DEFANT   111  112  H    12 00 0  F                  83
DEFANT   112  113  H    12 00 0  F                  13
DEFANT   113  114  H    12 00 0  F                 156
DEFANT   120  123  H    10 00 0  F                   4
DEFANT   120  123  H    12 00 0  F                  18
DEFANT   121  122  H    12 00 0  F                  35
DEFANT   122  123  H    09 00 0  F                  33
DEFANT   122  123  H    11 00 0  F                  32
DEFANT   123  125  H    12 00 0  F                 149
DEFANT   125  129  H    11 00 0  F                  75
DEFANT   125  129  H    12 00 0  F                 178
DEFANT   126  127  H    12 00 0  F                  22
DEFANT   127  129  H    12 00 0  F                  52
DEFANT   129  130  H    12 00 0  F                 191
DEFANT   134  135  H    12 00 0  F                  71
DEFANT   135  141  H    12 00 0  F                  89
DEFANT   139  141  H    11 00 0  F                 113
DEFANT   139  141  H    12 00 0  F                 109
DEFANT   141  143  H    12 00 0  F                 373
DEFANT   143  144  H    12 00 0  F                 526
DEFANT   148  154  H    08 00 0  F                  48
