&   DEFLUENCIAS ANTERIORES AO INICIO DO ESTUDO
&
&
&        Mont Jus TpJ   di hi m df hf m     defluencia
&X       XXX  XXX  X    XX XX X XX XX X     XXXXXXXXXX
DEFANT   261  267  H    30 00 0  F               15108
DEFANT   262  241  H    30 00 0  F                 128
DEFANT   267  275  H    28 00 0  F               13952
DEFANT   267  275  H    29 00 0  F               11841
DEFANT   267  275  H    30 00 0  F               13523
DEFANT   280  284  H    30 00 0  F                 948
DEFANT   285  287  H    30 00 0  F               22908
DEFANT   290   34  H    30 00 0  F                  69
DEFANT   311  312  H    30 00 0  F                 147
DEFANT   312  315  H    30 00 0  F                 144
DEFANT   315   34  H    30 00 0  F                 148
DEFANT    66    1  S    30  0 0  F                5769
DEFANT    66    1  S    30  0 1  F                5768
DEFANT    66    1  S    30  1 0  F                5599
DEFANT    66    1  S    30  1 1  F                5088
DEFANT    66    1  S    30  2 0  F                4951
DEFANT    66    1  S    30  2 1  F                4949
DEFANT    66    1  S    30  3 0  F                4866
DEFANT    66    1  S    30  3 1  F                4865
DEFANT    66    1  S    30  4 0  F                4791
DEFANT    66    1  S    30  4 1  F                4790
DEFANT    66    1  S    30  5 0  F                4706
DEFANT    66    1  S    30  5 1  F                4704
DEFANT    66    1  S    30  6 0  F                4665
DEFANT    66    1  S    30  6 1  F                4663
DEFANT    66    1  S    30  7 0  F                4953
DEFANT    66    1  S    30  7 1  F                5297
DEFANT    66    1  S    30  8 0  F                5426
DEFANT    66    1  S    30  8 1  F                5797
DEFANT    66    1  S    30  9 0  F                5861
DEFANT    66    1  S    30  9 1  F                5781
DEFANT    66    1  S    30 10 0  F                6133
DEFANT    66    1  S    30 10 1  F                6228
DEFANT    66    1  S    30 11 0  F                6237
DEFANT    66    1  S    30 11 1  F                6238
DEFANT    66    1  S    30 12 0  F                6063
DEFANT    66    1  S    30 12 1  F                6063
DEFANT    66    1  S    30 13 0  F                6353
DEFANT    66    1  S    30 13 1  F                6659
DEFANT    66    1  S    30 14 0  F                6713
DEFANT    66    1  S    30 14 1  F                6775
DEFANT    66    1  S    30 15 0  F                6738
DEFANT    66    1  S    30 15 1  F                6740
DEFANT    66    1  S    30 16 0  F                6192
DEFANT    66    1  S    30 16 1  F                6191
DEFANT    66    1  S    30 17 0  F                5667
DEFANT    66    1  S    30 17 1  F                5666
DEFANT    66    1  S    30 18 0  F                5423
DEFANT    66    1  S    30 18 1  F                5501
DEFANT    66    1  S    30 19 0  F                6228
DEFANT    66    1  S    30 19 1  F                6423
DEFANT    66    1  S    30 20 0  F                6664
DEFANT    66    1  S    30 20 1  F                6627
DEFANT    66    1  S    30 21 0  F                6786
DEFANT    66    1  S    30 21 1  F                6871
DEFANT    66    1  S    30 22 0  F                6772
DEFANT    66    1  S    30 22 1  F                6773
DEFANT    66    1  S    30 23 0  F                6530
DEFANT    66    1  S    30 23 1  F                6276
DEFANT    83    1  S    30  0 0  F                 269
DEFANT    83    1  S    30  0 1  F                 269
DEFANT    83    1  S    30  1 0  F                 268
DEFANT    83    1  S    30  1 1  F                 268
DEFANT    83    1  S    30  2 0  F                 268
DEFANT    83    1  S    30  2 1  F                 268
DEFANT    83    1  S    30  3 0  F                 268
DEFANT    83    1  S    30  3 1  F                 268
DEFANT    83    1  S    30  4 0  F                 268
DEFANT    83    1  S    30  4 1  F                 268
DEFANT    83    1  S    30  5 0  F                 268
DEFANT    83    1  S    30  5 1  F                 268
DEFANT    83    1  S    30  6 0  F                 268
DEFANT    83    1  S    30  6 1  F                 268
DEFANT    83    1  S    30  7 0  F                 268
DEFANT    83    1  S    30  7 1  F                 268
DEFANT    83    1  S    30  8 0  F                 268
DEFANT    83    1  S    30  8 1  F                 268
DEFANT    83    1  S    30  9 0  F                 268
DEFANT    83    1  S    30  9 1  F                 268
DEFANT    83    1  S    30 10 0  F                 268
DEFANT    83    1  S    30 10 1  F                 268
DEFANT    83    1  S    30 11 0  F                 268
DEFANT    83    1  S    30 11 1  F                 268
DEFANT    83    1  S    30 12 0  F                 268
DEFANT    83    1  S    30 12 1  F                 268
DEFANT    83    1  S    30 13 0  F                 268
DEFANT    83    1  S    30 13 1  F                 268
DEFANT    83    1  S    30 14 0  F                 268
DEFANT    83    1  S    30 14 1  F                 352
DEFANT    83    1  S    30 15 0  F                 352
DEFANT    83    1  S    30 15 1  F                 352
DEFANT    83    1  S    30 16 0  F                 352
DEFANT    83    1  S    30 16 1  F                 352
DEFANT    83    1  S    30 17 0  F                 353
DEFANT    83    1  S    30 17 1  F                 353
DEFANT    83    1  S    30 18 0  F                 353
DEFANT    83    1  S    30 18 1  F                 353
DEFANT    83    1  S    30 19 0  F                 353
DEFANT    83    1  S    30 19 1  F                 353
DEFANT    83    1  S    30 20 0  F                 353
DEFANT    83    1  S    30 20 1  F                 354
DEFANT    83    1  S    30 21 0  F                 354
DEFANT    83    1  S    30 21 1  F                 354
DEFANT    83    1  S    30 22 0  F                 354
DEFANT    83    1  S    30 22 1  F                 354
DEFANT    83    1  S    30 23 0  F                 354
DEFANT    83    1  S    30 23 1  F                 355
