&   DEFLUENCIAS ANTERIORES AO INICIO DO ESTUDO
&
&
&        Mont Jus TpJ   di hi m df hf m     defluencia
&X       XXX  XXX  X    XX XX X XX XX X     XXXXXXXXXX
DEFANT     2    4  H    03 00 0  F                 134
DEFANT     4    6  H    03 00 0  F                 346
DEFANT     6    7  H    03 00 0  F                 318
DEFANT     7    8  H    03 00 0  F                 366
DEFANT     8    9  H    03 00 0  F                 461
DEFANT     9   10  H    03 00 0  F                 505
DEFANT    10   11  H    03 00 0  F                 662
DEFANT    11   12  H    03 00 0  F                 821
DEFANT    12   17  H    03 00 0  F                1368
DEFANT    14   15  H    03 00 0  F                  64
DEFANT    15   16  H    03 00 0  F                 164
DEFANT    16   17  H    01 00 0  F                 196
DEFANT    16   17  H    02 00 0  F                 189
DEFANT    16   17  H    03 00 0  F                 166
DEFANT    17   18  H    03 00 0  F                1082
DEFANT    18   34  H    03 00 0  F                 556
DEFANT    20   21  H    03 00 0  F                 150
DEFANT    21   24  H    03 00 0  F                  88
DEFANT    24   31  H    03 00 0  F                 106
DEFANT    25   26  H    03 00 0  F                 147
DEFANT    26   27  H    03 00 0  F                 216
DEFANT    27   28  H    03 00 0  F                 217
DEFANT    28   31  H    03 00 0  F                 298
DEFANT    29  203  H    03 00 0  F                 166
DEFANT    30   31  H    03 00 0  F                 744
DEFANT    31   32  H    03 00 0  F                 468
DEFANT    32   33  H    03 00 0  F                 351
DEFANT    33   34  H    03 00 0  F                1073
DEFANT    34   45  H    03 00 0  F                2363
DEFANT    37   38  H    03 00 0  F                1768
DEFANT    38   39  H    03 00 0  F                2111
DEFANT    39   40  H    03 00 0  F                2107
DEFANT    40   42  H    03 00 0  F                 713
DEFANT    42   43  H    03 00 0  F                 740
DEFANT    43   45  H    03 00 0  F                 192
DEFANT    45   46  H    03 00 0  F                3300
DEFANT    46   66  H    02 00 0  F                5165
DEFANT    46   66  H    03 00 0  F                5123
DEFANT    47   48  H    03 00 0  F                  60
DEFANT    48   49  H    03 00 0  F                  67
DEFANT    49  249  H    03 00 0  F                 110
DEFANT    50   51  H    03 00 0  F                 312
DEFANT    51   52  H    03 00 0  F                 312
DEFANT    52   61  H    03 00 0  F                 358
DEFANT    57   61  H    03 00 0  F                 164
DEFANT    61   62  H    03 00 0  F                 529
DEFANT    62   63  H    03 00 0  F                 609
DEFANT    63   66  H    02 00 0  F                 651
DEFANT    63   66  H    03 00 0  F                 661
DEFANT    71   72  H    03 00 0  F                  56
DEFANT    72   73  H    03 00 0  F                  52
DEFANT    73   77  H    03 00 0  F                  15
DEFANT    74   76  H    03 00 0  F                 623
DEFANT    76   77  H    03 00 0  F                 917
DEFANT    77   78  H    03 00 0  F                 976
DEFANT    78   82  H    03 00 0  F                 894
DEFANT    82   83  H    03 00 0  F                 566
DEFANT    86   91  H    03 00 0  F                 160
DEFANT    89   90  H    03 00 0  F                 250
DEFANT    90   91  H    03 00 0  F                 189
DEFANT    91   92  H    03 00 0  F                 318
DEFANT    92  103  H    03 00 0  F                 393
DEFANT    93   94  H    03 00 0  F                  79
DEFANT    94  103  H    03 00 0  F                  58
DEFANT    97   98  H    03 00 0  F                  20
DEFANT    98   99  H    03 00 0  F                  24
DEFANT   101  102  H    03 00 0  F                  23
DEFANT   107   37  H    02 00 0  F                 258
DEFANT   110  111  H    03 00 0  F                  13
DEFANT   111  112  H    03 00 0  F                 157
DEFANT   112  113  H    03 00 0  F                 149
DEFANT   113  114  H    03 00 0  F                 206
DEFANT   120  123  H    01 00 0  F                  29
DEFANT   120  123  H    02 00 0  F                   9
DEFANT   120  123  H    03 00 0  F                  31
DEFANT   121  122  H    03 00 0  F                  32
DEFANT   122  123  H    31 00 0  F                  32
DEFANT   122  123  H    02 00 0  F                  35
DEFANT   122  123  H    03 00 0  F                  32
DEFANT   123  125  H    03 00 0  F                 472
DEFANT   125  129  H    02 00 0  F                 623
DEFANT   125  129  H    03 00 0  F                 541
DEFANT   126  127  H    03 00 0  F                  51
DEFANT   127  129  H    03 00 0  F                 108
DEFANT   129  130  H    03 00 0  F                 302
DEFANT   134  135  H    03 00 0  F                 120
DEFANT   135  141  H    03 00 0  F                 180
DEFANT   139  141  H    02 00 0  F                 215
DEFANT   139  141  H    03 00 0  F                 320
DEFANT   141  143  H    03 00 0  F                 783
DEFANT   143  144  H    03 00 0  F                 942
DEFANT   148  154  H    30 00 0  F                  48
DEFANT   148  154  H    03 00 0  F                  50
DEFANT   153   46  H    03 00 0  F                 182
DEFANT   155  156  H    03 00 0  F                 268
DEFANT   156  169  H    20 00 0  F                2898
DEFANT   156  169  H    21 00 0  F                3027
DEFANT   156  169  H    22 00 0  F                3026
DEFANT   156  169  H    23 00 0  F                3037
DEFANT   156  169  H    24 00 0  F                3032
DEFANT   156  169  H    25 00 0  F                3018
DEFANT   156  169  H    26 00 0  F                3008
DEFANT   156  169  H    27 00 0  F                3006
DEFANT   156  169  H    28 00 0  F                2979
DEFANT   156  169  H    29 00 0  F                2987
DEFANT   156  169  H    30 00 0  F                2978
DEFANT   156  169  H    31 00 0  F                2824
DEFANT   156  169  H    01 00 0  F                2427
DEFANT   156  169  H    02 00 0  F                2200
DEFANT   156  169  H    03 00 0  F                2196
DEFANT   162  169  H    20 00 0  F                  41
DEFANT   162  169  H    29 00 0  F                  42
DEFANT   162  169  H    30 00 0  F                  61
DEFANT   162  169  H    31 00 0  F                  62
DEFANT   162  169  H    01 00 0  F                  43
DEFANT   162  169  H    02 00 0  F                  25
DEFANT   162  169  H    03 00 0  F                  22
DEFANT   169  172  H    01 00 0  F                4009
DEFANT   169  172  H    02 00 0  F                3981
DEFANT   169  172  H    03 00 0  F                4000
DEFANT   172  173  H    03 00 0  F                4057
DEFANT   175  178  H    03 00 0  F                1658
DEFANT   192  193  H    03 00 0  F                  96
DEFANT   193  141  H    02 00 0  F                 237
DEFANT   193  141  H    03 00 0  F                  99
DEFANT   203   30  H    03 00 0  F                 194
DEFANT   204  280  H    03 00 0  F                1807
DEFANT   228  229  H    30 00 0  F                1465
DEFANT   228  229  H    31 00 0  F                1538
DEFANT   228  229  H    01 00 0  F                1593
DEFANT   228  229  H    02 00 0  F                1614
DEFANT   228  229  H    03 00 0  F                1587
DEFANT   229  230  H    03 00 0  F                4516
DEFANT   241   34  H    03 00 0  F                 247
DEFANT   249   50  H    03 00 0  F                 124
DEFANT   251  252  H    03 00 0  F                 100
DEFANT   252  253  H    03 00 0  F                 297
DEFANT   253  257  H    03 00 0  F                 338
DEFANT   257  261  H    02 00 0  F                1783
DEFANT   257  261  H    03 00 0  F                1656
DEFANT   261  267  H    01 00 0  F                4611
DEFANT   261  267  H    02 00 0  F                5094
DEFANT   261  267  H    03 00 0  F                6038
DEFANT   262  241  H    03 00 0  F                 250
DEFANT   267  275  H    01 00 0  F                7380
DEFANT   267  275  H    02 00 0  F                7789
DEFANT   267  275  H    03 00 0  F                7765
DEFANT   280  284  H    03 00 0  F                1848
DEFANT   285  287  H    03 00 0  F               21996
DEFANT   290   34  H    03 00 0  F                  68
DEFANT   311  312  H    03 00 0  F                 243
DEFANT   312  315  H    03 00 0  F                 254
DEFANT   315   34  H    03 00 0  F                 272
DEFANT    66    1  S    03  0 0  F                5820
DEFANT    66    1  S    03  0 1  F                5626
DEFANT    66    1  S    03  1 0  F                5620
DEFANT    66    1  S    03  1 1  F                5094
DEFANT    66    1  S    03  2 0  F                4955
DEFANT    66    1  S    03  2 1  F                4878
DEFANT    66    1  S    03  3 0  F                4787
DEFANT    66    1  S    03  3 1  F                4785
DEFANT    66    1  S    03  4 0  F                4723
DEFANT    66    1  S    03  4 1  F                4722
DEFANT    66    1  S    03  5 0  F                4949
DEFANT    66    1  S    03  5 1  F                4948
DEFANT    66    1  S    03  6 0  F                4825
DEFANT    66    1  S    03  6 1  F                5126
DEFANT    66    1  S    03  7 0  F                5409
DEFANT    66    1  S    03  7 1  F                5323
DEFANT    66    1  S    03  8 0  F                5348
DEFANT    66    1  S    03  8 1  F                5572
DEFANT    66    1  S    03  9 0  F                5746
DEFANT    66    1  S    03  9 1  F                5695
DEFANT    66    1  S    03 10 0  F                5890
DEFANT    66    1  S    03 10 1  F                5838
DEFANT    66    1  S    03 11 0  F                5962
DEFANT    66    1  S    03 11 1  F                5913
DEFANT    66    1  S    03 12 0  F                6117
DEFANT    66    1  S    03 12 1  F                6119
DEFANT    66    1  S    03 13 0  F                6248
DEFANT    66    1  S    03 13 1  F                6196
DEFANT    66    1  S    03 14 0  F                6359
DEFANT    66    1  S    03 14 1  F                6361
DEFANT    66    1  S    03 15 0  F                6338
DEFANT    66    1  S    03 15 1  F                6285
DEFANT    66    1  S    03 16 0  F                6209
DEFANT    66    1  S    03 16 1  F                6156
DEFANT    66    1  S    03 17 0  F                6137
DEFANT    66    1  S    03 17 1  F                6138
DEFANT    66    1  S    03 18 0  F                5970
DEFANT    66    1  S    03 18 1  F                6137
DEFANT    66    1  S    03 19 0  F                6157
DEFANT    66    1  S    03 19 1  F                6246
DEFANT    66    1  S    03 20 0  F                6519
DEFANT    66    1  S    03 20 1  F                6307
DEFANT    66    1  S    03 21 0  F                6527
DEFANT    66    1  S    03 21 1  F                6489
DEFANT    66    1  S    03 22 0  F                6540
DEFANT    66    1  S    03 22 1  F                6501
DEFANT    66    1  S    03 23 0  F                6380
DEFANT    66    1  S    03 23 1  F                6421
DEFANT    83    1  S    03  0 0  F                 496
DEFANT    83    1  S    03  0 1  F                 496
DEFANT    83    1  S    03  1 0  F                 497
DEFANT    83    1  S    03  1 1  F                 497
DEFANT    83    1  S    03  2 0  F                 497
DEFANT    83    1  S    03  2 1  F                 497
DEFANT    83    1  S    03  3 0  F                 497
DEFANT    83    1  S    03  3 1  F                 497
DEFANT    83    1  S    03  4 0  F                 498
