&   DEFLUENCIAS ANTERIORES AO INICIO DO ESTUDO
&
&
&        Mont Jus TpJ   di hi m df hf m     defluencia
&X       XXX  XXX  X    XX XX X XX XX X     XXXXXXXXXX
DEFANT     2    4  H    21 00 0  F                  69
DEFANT     4    6  H    21 00 0  F                 283
DEFANT     6    7  H    21 00 0  F                 409
DEFANT     7    8  H    21 00 0  F                 391
DEFANT     8    9  H    21 00 0  F                 421
DEFANT     9   10  H    21 00 0  F                 407
DEFANT    10   11  H    21 00 0  F                 521
DEFANT    11   12  H    21 00 0  F                 572
DEFANT    12   17  H    21 00 0  F                 784
DEFANT    14   15  H    21 00 0  F                  10
DEFANT    15   16  H    21 00 0  F                  45
DEFANT    16   17  H    19 00 0  F                  36
DEFANT    16   17  H    20 00 0  F                  41
DEFANT    16   17  H    21 00 0  F                  65
DEFANT    17   18  H    21 00 0  F                 639
DEFANT    18   34  H    21 00 0  F                1048
DEFANT    20   21  H    21 00 0  F                  25
DEFANT    21   24  H    21 00 0  F                  84
DEFANT    24   31  H    21 00 0  F                 133
DEFANT    25   26  H    21 00 0  F                  53
DEFANT    26   27  H    21 00 0  F                  70
DEFANT    27   28  H    21 00 0  F                  80
DEFANT    28   31  H    21 00 0  F                  98
DEFANT    29  203  H    21 00 0  F                  38
DEFANT    30   31  H    21 00 0  F                 168
DEFANT    31   32  H    21 00 0  F                 621
DEFANT    32   33  H    21 00 0  F                 935
DEFANT    33   34  H    21 00 0  F                 760
DEFANT    34   45  H    21 00 0  F                2288
DEFANT    37   38  H    21 00 0  F                 292
DEFANT    38   39  H    21 00 0  F                 310
DEFANT    39   40  H    21 00 0  F                 326
DEFANT    40   42  H    21 00 0  F                 595
DEFANT    42   43  H    21 00 0  F                 506
DEFANT    43   45  H    21 00 0  F                 288
DEFANT    45   46  H    21 00 0  F                3420
DEFANT    46   66  H    20 00 0  F                4027
DEFANT    46   66  H    21 00 0  F                4032
DEFANT    47   48  H    21 00 0  F                 100
DEFANT    48   49  H    21 00 0  F                  99
DEFANT    49  249  H    21 00 0  F                 100
DEFANT    50   51  H    21 00 0  F                 188
DEFANT    51   52  H    21 00 0  F                 154
DEFANT    52   61  H    21 00 0  F                 188
DEFANT    57   61  H    21 00 0  F                 315
DEFANT    61   62  H    21 00 0  F                 631
DEFANT    62   63  H    21 00 0  F                 576
DEFANT    63   66  H    20 00 0  F                 765
DEFANT    63   66  H    21 00 0  F                 781
DEFANT    71   72  H    21 00 0  F                 161
DEFANT    72   73  H    21 00 0  F                 182
DEFANT    73   77  H    21 00 0  F                  15
DEFANT    74   76  H    21 00 0  F                  94
DEFANT    76   77  H    21 00 0  F                 491
DEFANT    77   78  H    21 00 0  F                 279
DEFANT    78   82  H    21 00 0  F                 376
DEFANT    82   83  H    21 00 0  F                1426
DEFANT    86   91  H    21 00 0  F                  28
DEFANT    89   90  H    21 00 0  F                 417
DEFANT    90   91  H    21 00 0  F                 523
DEFANT    91   92  H    21 00 0  F                 697
DEFANT    92  103  H    21 00 0  F                1354
DEFANT    93   94  H    21 00 0  F                  30
DEFANT    94  103  H    21 00 0  F                  47
DEFANT    97   98  H    21 00 0  F                 137
DEFANT    98   99  H    21 00 0  F                 207
DEFANT   101  102  H    21 00 0  F                 388
DEFANT   107   37  H    20 00 0  F                  94
DEFANT   110  111  H    21 00 0  F                  14
DEFANT   111  112  H    21 00 0  F                 158
DEFANT   112  113  H    21 00 0  F                 198
DEFANT   113  114  H    21 00 0  F                 341
DEFANT   120  123  H    19 00 0  F                  10
DEFANT   120  123  H    21 00 0  F                  23
DEFANT   121  122  H    21 00 0  F                  56
DEFANT   122  123  H    18 00 0  F                  94
DEFANT   122  123  H    19 00 0  F                  70
DEFANT   122  123  H    20 00 0  F                  63
DEFANT   122  123  H    21 00 0  F                  70
DEFANT   123  125  H    21 00 0  F                 170
DEFANT   125  129  H    20 00 0  F                 144
DEFANT   125  129  H    21 00 0  F                  40
DEFANT   126  127  H    21 00 0  F                  39
DEFANT   127  129  H    21 00 0  F                  87
DEFANT   129  130  H    21 00 0  F                  26
DEFANT   134  135  H    21 00 0  F                  76
DEFANT   135  141  H    21 00 0  F                 402
DEFANT   139  141  H    20 00 0  F                 143
DEFANT   139  141  H    21 00 0  F                 113
DEFANT   141  143  H    21 00 0  F                  65
DEFANT   143  144  H    21 00 0  F                 242
DEFANT   148  154  H    17 00 0  F                  35
DEFANT   148  154  H    18 00 0  F                  69
DEFANT   148  154  H    19 00 0  F                  89
DEFANT   148  154  H    20 00 0  F                  87
DEFANT   148  154  H    21 00 0  F                  82
DEFANT   153   46  H    21 00 0  F                  67
DEFANT   155  156  H    21 00 0  F                  96
DEFANT   156  169  H    07 00 0  F                 526
DEFANT   156  169  H    08 00 0  F                 447
DEFANT   156  169  H    09 00 0  F                 403
DEFANT   156  169  H    10 00 0  F                 386
DEFANT   156  169  H    11 00 0  F                 448
DEFANT   156  169  H    12 00 0  F                 405
DEFANT   156  169  H    13 00 0  F                 468
DEFANT   156  169  H    14 00 0  F                 483
DEFANT   156  169  H    15 00 0  F                 489
DEFANT   156  169  H    16 00 0  F                 438
DEFANT   156  169  H    17 00 0  F                 410
DEFANT   156  169  H    18 00 0  F                 454
DEFANT   156  169  H    19 00 0  F                 481
DEFANT   156  169  H    20 00 0  F                 482
