&   DEFLUENCIAS ANTERIORES AO INICIO DO ESTUDO
&
&
&        Mont Jus TpJ   di hi m df hf m     defluencia
&X       XXX  XXX  X    XX XX X XX XX X     XXXXXXXXXX
DEFANT     2    4  H    02 00 0  F                  60
DEFANT     4    6  H    02 00 0  F                  91
DEFANT     6    7  H    02 00 0  F                 450
DEFANT     7    8  H    02 00 0  F                 591
DEFANT     8    9  H    02 00 0  F                 625
DEFANT     9   10  H    02 00 0  F                 677
DEFANT    10   11  H    02 00 0  F                 675
DEFANT    11   12  H    02 00 0  F                 570
DEFANT    12   17  H    02 00 0  F                 696
DEFANT    14   15  H    02 00 0  F                  10
DEFANT    15   16  H    02 00 0  F                  16
DEFANT    16   17  H    31 00 0  F                  13
DEFANT    16   17  H    02 00 0  F                  19
DEFANT    17   18  H    02 00 0  F                 842
DEFANT    18   34  H    02 00 0  F                1275
DEFANT    20   21  H    02 00 0  F                  26
DEFANT    21   24  H    02 00 0  F                 162
DEFANT    24   31  H    02 00 0  F                 346
DEFANT    25   26  H    02 00 0  F                 114
DEFANT    26   27  H    02 00 0  F                 123
DEFANT    27   28  H    02 00 0  F                 126
DEFANT    28   31  H    02 00 0  F                 135
DEFANT    29  203  H    02 00 0  F                  70
DEFANT    30   31  H    02 00 0  F                 241
DEFANT    31   32  H    02 00 0  F                 872
DEFANT    32   33  H    02 00 0  F                 894
DEFANT    33   34  H    02 00 0  F                1177
DEFANT    34   45  H    02 00 0  F                3368
DEFANT    37   38  H    02 00 0  F                  94
DEFANT    38   39  H    02 00 0  F                 112
DEFANT    39   40  H    02 00 0  F                 138
DEFANT    40   42  H    02 00 0  F                 164
DEFANT    42   43  H    02 00 0  F                 154
DEFANT    43   45  H    02 00 0  F                1077
DEFANT    45   46  H    02 00 0  F                4721
DEFANT    46   66  H    01 00 0  F                5995
DEFANT    46   66  H    02 00 0  F                5894
DEFANT    47   48  H    02 00 0  F                  95
DEFANT    48   49  H    02 00 0  F                  92
DEFANT    49  249  H    02 00 0  F                 100
DEFANT    50   51  H    02 00 0  F                 184
DEFANT    51   52  H    02 00 0  F                 169
DEFANT    52   61  H    02 00 0  F                 151
DEFANT    57   61  H    02 00 0  F                  82
DEFANT    61   62  H    02 00 0  F                 760
DEFANT    62   63  H    02 00 0  F                 708
DEFANT    63   66  H    01 00 0  F                 946
DEFANT    63   66  H    02 00 0  F                 951
DEFANT    71   72  H    02 00 0  F                   7
DEFANT    72   73  H    02 00 0  F                   7
DEFANT    73   77  H    02 00 0  F                  10
DEFANT    74   76  H    02 00 0  F                 238
DEFANT    76   77  H    02 00 0  F                 197
