&   DEFLUENCIAS ANTERIORES AO INICIO DO ESTUDO
&
&
&        Mont Jus TpJ   di hi m df hf m     defluencia
&X       XXX  XXX  X    XX XX X XX XX X     XXXXXXXXXX
DEFANT     2    4  H    09 00 0  F                  69
DEFANT     4    6  H    09 00 0  F                 229
DEFANT     6    7  H    09 00 0  F                 466
DEFANT     7    8  H    09 00 0  F                 389
DEFANT     8    9  H    09 00 0  F                 364
DEFANT     9   10  H    09 00 0  F                 403
DEFANT    10   11  H    09 00 0  F                 434
DEFANT    11   12  H    09 00 0  F                 486
DEFANT    12   17  H    09 00 0  F                 501
DEFANT    14   15  H    09 00 0  F                  10
DEFANT    15   16  H    09 00 0  F                  27
DEFANT    16   17  H    07 00 0  F                  23
DEFANT    16   17  H    08 00 0  F                  26
DEFANT    16   17  H    09 00 0  F                  32
DEFANT    17   18  H    09 00 0  F                1010
DEFANT    18   34  H    09 00 0  F                1998
DEFANT    20   21  H    09 00 0  F                  37
DEFANT    21   24  H    09 00 0  F                  96
DEFANT    24   31  H    09 00 0  F                  98
DEFANT    25   26  H    09 00 0  F                  97
DEFANT    26   27  H    09 00 0  F                 123
DEFANT    27   28  H    09 00 0  F                 120
DEFANT    28   31  H    09 00 0  F                 141
DEFANT    29  203  H    09 00 0  F                 209
DEFANT    30   31  H    09 00 0  F                 538
DEFANT    31   32  H    09 00 0  F                 570
DEFANT    32   33  H    09 00 0  F                 667
DEFANT    33   34  H    09 00 0  F                1531
DEFANT    34   45  H    09 00 0  F                2944
DEFANT    37   38  H    09 00 0  F                 228
DEFANT    38   39  H    09 00 0  F                 252
DEFANT    39   40  H    09 00 0  F                 342
DEFANT    40   42  H    09 00 0  F                 343
DEFANT    42   43  H    09 00 0  F                 335
DEFANT    43   45  H    09 00 0  F                 208
DEFANT    45   46  H    09 00 0  F                3600
DEFANT    46   66  H    08 00 0  F                4553
DEFANT    46   66  H    09 00 0  F                4450
DEFANT    47   48  H    09 00 0  F                  95
DEFANT    48   49  H    09 00 0  F                  94
DEFANT    49  249  H    09 00 0  F                 113
DEFANT    50   51  H    09 00 0  F                 153
DEFANT    51   52  H    09 00 0  F                 131
