NUMERO DE USINAS
XXX
162
NUMERO DAS USINAS NO CADASTRO
1   2   3   4   5   6   7   8   9   10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40  41  42  43  44  45  46  47  48  49  50  51  52  53  54  55  56  57  58  59  60  61  62  63  64  65  66  67  68  69  70  71  72  73  74  75  76  77  78  79  80  81  82  83  84  85  86  87  88  89  90  91  92  93  94  95  96  97  98  99  100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 
XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX 
1   2   4   24  27  28  25  33  156 134 10  143 162 148 217 193 141 14  18  37  40  42  15  16  38  39  62  63  52  51  47  49  61  50  45  43  34  153 46  120 121 6   7   8   12  17  31  30  251 278 123 129 20  287 257 122 124 130 131 133 125 180 181 182 183 184 107 108 109 117 118 119 32  11  135 139 262 89  144 66  110 111 112 113 114 74  76  82  83  115 73  71  72  57  77  78  93  91  92  252 253 267 281 9   26  86  90  97  98  99  103 169 172 173 174 175 178 190 189 275 272 279 280 204 127 126 283 261 48  249 241 304 305 196 195 95  203 154 310 29  94  215 155 311 312 315 21  290 101 276 102 277 285 286 284 227 228 229 192 230 288 314 
Hr  Dd  Mm  Ano
XX  XX  XX  XXXX
00  19  02  2021
Dia inic(1-SAB...7-SEX); sem da FCF; n. semanas; pre-interesse
X X X X
7 1 1 0
VAZOES DIARIAS PARA CADA USINA (m3/s)
NUM     NOME      itp   DI HI M DF HF M      VAZAO
XXX XXXXXXXXXXXX   X    XXxXXxXxXXxXXxX     XXXXXXXXX
  1 CAMARGOS       1    19      F                 131
  1 CAMARGOS       1    20      F                 142
  1 CAMARGOS       1    21      F                 162
  1 CAMARGOS       1    22      F                 165
  1 CAMARGOS       1    23      F                 157
  1 CAMARGOS       1    24      F                 147
  1 CAMARGOS       1    25      F                 138
  2 ITUTINGA       1    19      F                   0
  4 FUNIL-GRANDE   1    19      F                 170
  4 FUNIL-GRANDE   1    20      F                 188
  4 FUNIL-GRANDE   1    21      F                 211
  4 FUNIL-GRANDE   1    22      F                 225
  4 FUNIL-GRANDE   1    23      F                 216
  4 FUNIL-GRANDE   1    24      F                 198
  4 FUNIL-GRANDE   1    25      F                 182
 24 EMBORCACAO     1    19      F                 320
 24 EMBORCACAO     1    20      F                 319
 24 EMBORCACAO     1    21      F                 335
 24 EMBORCACAO     1    22      F                 339
 24 EMBORCACAO     1    23      F                 323
 24 EMBORCACAO     1    24      F                 301
 24 EMBORCACAO     1    25      F                 279
 27 CAPIM BRANC1   1    19      F                   2
 27 CAPIM BRANC1   1    24      F                   1
 28 CAPIM BRANC2   1    19      F                   4
 28 CAPIM BRANC2   1    24      F                   3
 25 NOVA PONTE     1    19      F                 307
 25 NOVA PONTE     1    20      F                 293
 25 NOVA PONTE     1    21      F                 289
 25 NOVA PONTE     1    22      F                 280
 25 NOVA PONTE     1    23      F                 266
 25 NOVA PONTE     1    24      F                 248
 25 NOVA PONTE     1    25      F                 235
 33 SAO SIMAO      1    19      F                1057
 33 SAO SIMAO      1    20      F                1011
 33 SAO SIMAO      1    21      F                 961
 33 SAO SIMAO      1    22      F                 905
 33 SAO SIMAO      1    23      F                 845
 33 SAO SIMAO      1    24      F                 789
 33 SAO SIMAO      1    25      F                 744
156 TRES MARIAS    1    19      F                 883
156 TRES MARIAS    1    20      F                 875
156 TRES MARIAS    1    21      F                 915
156 TRES MARIAS    1    22      F                 946
156 TRES MARIAS    1    23      F                 929
156 TRES MARIAS    1    24      F                 886
156 TRES MARIAS    1    25      F                 833
134 SALTO GRANDE   1    19      F                 161
134 SALTO GRANDE   1    20      F                 121
 10 IGARAPAVA      1    19      F                  40
 10 IGARAPAVA      1    20      F                  38
 10 IGARAPAVA      1    21      F                  36
 10 IGARAPAVA      1    22      F                  34
 10 IGARAPAVA      1    23      F                  31
 10 IGARAPAVA      1    24      F                  30
 10 IGARAPAVA      1    25      F                  28
143 AIMORES        1    19      F                 359
143 AIMORES        1    20      F                 294
162 QUEIMADO       1    19      F                  80
162 QUEIMADO       1    20      F                  79
