&   DEFLUENCIAS ANTERIORES AO INICIO DO ESTUDO
&
&
&        Mont Jus TpJ   di hi m df hf m     defluencia
&X       XXX  XXX  X    XX XX X XX XX X     XXXXXXXXXX
DEFANT     2    4  H    18 00 0  F                 115
DEFANT     4    6  H    18 00 0  F                 248
DEFANT     6    7  H    18 00 0  F                 320
DEFANT     7    8  H    18 00 0  F                 475
DEFANT     8    9  H    18 00 0  F                 490
DEFANT     9   10  H    18 00 0  F                 454
DEFANT    10   11  H    18 00 0  F                 463
DEFANT    11   12  H    18 00 0  F                 450
DEFANT    12   17  H    18 00 0  F                 438
DEFANT    14   15  H    18 00 0  F                  32
DEFANT    15   16  H    18 00 0  F                  42
DEFANT    16   17  H    16 00 0  F                  51
DEFANT    16   17  H    17 00 0  F                  54
DEFANT    16   17  H    18 00 0  F                  51
DEFANT    17   18  H    18 00 0  F                1112
DEFANT    18   34  H    18 00 0  F                1128
DEFANT    20   21  H    18 00 0  F                  49
DEFANT    21   24  H    18 00 0  F                  80
DEFANT    24   31  H    18 00 0  F                 132
DEFANT    25   26  H    18 00 0  F                 142
DEFANT    26   27  H    18 00 0  F                 188
DEFANT    27   28  H    18 00 0  F                 198
DEFANT    28   31  H    18 00 0  F                 208
DEFANT    29  203  H    18 00 0  F                  42
DEFANT    30   31  H    18 00 0  F                 120
DEFANT    31   32  H    18 00 0  F                 337
DEFANT    32   33  H    18 00 0  F                 625
DEFANT    33   34  H    18 00 0  F                1141
DEFANT    34   45  H    18 00 0  F                2956
DEFANT    37   38  H    18 00 0  F                 324
DEFANT    38   39  H    18 00 0  F                 374
DEFANT    39   40  H    18 00 0  F                 540
DEFANT    40   42  H    18 00 0  F                 514
DEFANT    42   43  H    18 00 0  F                 441
DEFANT    43   45  H    18 00 0  F                 237
DEFANT    45   46  H    18 00 0  F                4000
DEFANT    46   66  H    17 00 0  F                5083
DEFANT    46   66  H    18 00 0  F                4907
DEFANT    47   48  H    18 00 0  F                  60
DEFANT    48   49  H    18 00 0  F                  64
DEFANT    49  249  H    18 00 0  F                 100
DEFANT    50   51  H    18 00 0  F                 196
DEFANT    51   52  H    18 00 0  F                 215
DEFANT    52   61  H    18 00 0  F                 232
DEFANT    57   61  H    18 00 0  F                 303
DEFANT    61   62  H    18 00 0  F                 305
DEFANT    62   63  H    18 00 0  F                 381
DEFANT    63   66  H    17 00 0  F                 476
DEFANT    63   66  H    18 00 0  F                 495
DEFANT    71   72  H    18 00 0  F                 148
DEFANT    72   73  H    18 00 0  F                 148
DEFANT    73   77  H    18 00 0  F                  32
DEFANT    74   76  H    18 00 0  F                 927
DEFANT    76   77  H    18 00 0  F                1225
DEFANT    77   78  H    18 00 0  F                 796
DEFANT    78   82  H    18 00 0  F                 840
DEFANT    82   83  H    18 00 0  F                1357
DEFANT    86   91  H    18 00 0  F                  32
DEFANT    89   90  H    18 00 0  F                 113
DEFANT    90   91  H    18 00 0  F                 158
DEFANT    91   92  H    18 00 0  F                 504
DEFANT    92  103  H    18 00 0  F                 589
DEFANT    93   94  H    18 00 0  F                   0
DEFANT    94  103  H    18 00 0  F                  15
DEFANT    97   98  H    18 00 0  F                  69
DEFANT    98   99  H    18 00 0  F                  93
DEFANT   101  102  H    18 00 0  F                 199
DEFANT   107   37  H    17 00 0  F                 257
DEFANT   110  111  H    18 00 0  F                  13
DEFANT   111  112  H    18 00 0  F                  84
DEFANT   112  113  H    18 00 0  F                  62
DEFANT   113  114  H    18 00 0  F                  65
DEFANT   120  123  H    16 00 0  F                   5
DEFANT   120  123  H    17 00 0  F                   4
DEFANT   120  123  H    18 00 0  F                  41
DEFANT   121  122  H    18 00 0  F                 109
DEFANT   122  123  H    15 00 0  F                  34
DEFANT   122  123  H    18 00 0  F                 223
DEFANT   123  125  H    18 00 0  F                 476
DEFANT   125  129  H    17 00 0  F                 313
DEFANT   125  129  H    18 00 0  F                 563
DEFANT   126  127  H    18 00 0  F                  43
DEFANT   127  129  H    18 00 0  F                 100
DEFANT   129  130  H    18 00 0  F                 267
DEFANT   134  135  H    18 00 0  F                  46
DEFANT   135  141  H    18 00 0  F                 102
DEFANT   139  141  H    17 00 0  F                 223
DEFANT   139  141  H    18 00 0  F                 165
