&   DEFLUENCIAS ANTERIORES AO INICIO DO ESTUDO
&
&
&        Mont Jus TpJ   di hi m df hf m     defluencia
&X       XXX  XXX  X    XX XX X XX XX X     XXXXXXXXXX
DEFANT     2    4  H    31 00 0  F                 180
DEFANT     4    6  H    31 00 0  F                 318
DEFANT     6    7  H    31 00 0  F                 398
DEFANT     7    8  H    31 00 0  F                 402
DEFANT     8    9  H    31 00 0  F                 432
DEFANT     9   10  H    31 00 0  F                 459
DEFANT    10   11  H    31 00 0  F                 466
DEFANT    11   12  H    31 00 0  F                 527
DEFANT    12   17  H    31 00 0  F                 806
DEFANT    14   15  H    31 00 0  F                  63
DEFANT    15   16  H    31 00 0  F                  95
DEFANT    16   17  H    29 00 0  F                  79
DEFANT    16   17  H    30 00 0  F                  98
DEFANT    16   17  H    31 00 0  F                  85
DEFANT    17   18  H    31 00 0  F                1030
DEFANT    18   34  H    31 00 0  F                1694
DEFANT    20   21  H    31 00 0  F                 141
DEFANT    21   24  H    31 00 0  F                  82
DEFANT    24   31  H    31 00 0  F                  88
DEFANT    25   26  H    31 00 0  F                 136
DEFANT    26   27  H    31 00 0  F                 176
DEFANT    27   28  H    31 00 0  F                 157
DEFANT    28   31  H    31 00 0  F                 171
DEFANT    29  203  H    31 00 0  F                 134
DEFANT    30   31  H    31 00 0  F                 370
DEFANT    31   32  H    31 00 0  F                 632
DEFANT    32   33  H    31 00 0  F                 487
DEFANT    33   34  H    31 00 0  F                2054
DEFANT    34   45  H    31 00 0  F                3443
DEFANT    37   38  H    31 00 0  F                 164
DEFANT    38   39  H    31 00 0  F                 234
DEFANT    39   40  H    31 00 0  F                 332
DEFANT    40   42  H    31 00 0  F                 715
DEFANT    42   43  H    31 00 0  F                 571
DEFANT    43   45  H    31 00 0  F                 180
DEFANT    45   46  H    31 00 0  F                3707
DEFANT    46   66  H    30 00 0  F                5148
DEFANT    46   66  H    31 00 0  F                4344
DEFANT    47   48  H    31 00 0  F                  63
DEFANT    48   49  H    31 00 0  F                  61
DEFANT    49  249  H    31 00 0  F                 109
DEFANT    50   51  H    31 00 0  F                 169
DEFANT    51   52  H    31 00 0  F                 162
DEFANT    52   61  H    31 00 0  F                 208
DEFANT    57   61  H    31 00 0  F                 110
DEFANT    61   62  H    31 00 0  F                 474
DEFANT    62   63  H    31 00 0  F                 498
DEFANT    63   66  H    30 00 0  F                 659
DEFANT    63   66  H    31 00 0  F                 656
DEFANT    71   72  H    31 00 0  F                 113
DEFANT    72   73  H    31 00 0  F                 111
DEFANT    73   77  H    31 00 0  F                  10
DEFANT    74   76  H    31 00 0  F                 172
DEFANT    76   77  H    31 00 0  F                1034
DEFANT    77   78  H    31 00 0  F                 539
DEFANT    78   82  H    31 00 0  F                 507
DEFANT    82   83  H    31 00 0  F                1131
DEFANT    86   91  H    31 00 0  F                  24
DEFANT    89   90  H    31 00 0  F                 301
DEFANT    90   91  H    31 00 0  F                 359
DEFANT    91   92  H    31 00 0  F                 300
DEFANT    92  103  H    31 00 0  F                 861
DEFANT    93   94  H    31 00 0  F                   0
DEFANT    94  103  H    31 00 0  F                  18
DEFANT    97   98  H    31 00 0  F                  42
DEFANT    98   99  H    31 00 0  F                  55
DEFANT   101  102  H    31 00 0  F                 165
DEFANT   107   37  H    30 00 0  F                  93
DEFANT   110  111  H    31 00 0  F                  13
DEFANT   111  112  H    31 00 0  F                 130
DEFANT   112  113  H    31 00 0  F                 116
DEFANT   113  114  H    31 00 0  F                 160
DEFANT   120  123  H    29 00 0  F                   4
DEFANT   120  123  H    31 00 0  F                  25
DEFANT   121  122  H    31 00 0  F                  18
DEFANT   122  123  H    28 00 0  F                  36
DEFANT   122  123  H    29 00 0  F                  33
DEFANT   122  123  H    31 00 0  F                  31
DEFANT   123  125  H    31 00 0  F                 153
DEFANT   125  129  H    30 00 0  F                  74
DEFANT   125  129  H    31 00 0  F                 199
DEFANT   126  127  H    31 00 0  F                  42
DEFANT   127  129  H    31 00 0  F                  85
DEFANT   129  130  H    31 00 0  F                 266
DEFANT   134  135  H    31 00 0  F                  88
DEFANT   135  141  H    31 00 0  F                  79
DEFANT   139  141  H    30 00 0  F                 139
DEFANT   139  141  H    31 00 0  F                 140
DEFANT   141  143  H    31 00 0  F                 481
DEFANT   143  144  H    31 00 0  F                 577
DEFANT   148  154  H    27 00 0  F                  46
DEFANT   148  154  H    28 00 0  F                  47
DEFANT   148  154  H    29 00 0  F                  55
DEFANT   148  154  H    30 00 0  F                  53
DEFANT   148  154  H    31 00 0  F                  50
DEFANT   153   46  H    31 00 0  F                 154
DEFANT   155  156  H    31 00 0  F                 143
DEFANT   156  169  H    17 00 0  F                 737
DEFANT   156  169  H    18 00 0  F                 708
DEFANT   156  169  H    19 00 0  F                 557
DEFANT   156  169  H    20 00 0  F                 664
DEFANT   156  169  H    21 00 0  F                 598
DEFANT   156  169  H    22 00 0  F                 597
DEFANT   156  169  H    23 00 0  F                 598
DEFANT   156  169  H    24 00 0  F                 581
DEFANT   156  169  H    25 00 0  F                 597
DEFANT   156  169  H    28 00 0  F                 594
DEFANT   156  169  H    29 00 0  F                 595
DEFANT   156  169  H    31 00 0  F                 600
DEFANT   162  169  H    17 00 0  F                  16
DEFANT   162  169  H    18 00 0  F                  14
DEFANT   162  169  H    21 00 0  F                  17
DEFANT   162  169  H    23 00 0  F                  14
DEFANT   162  169  H    27 00 0  F                  13
DEFANT   162  169  H    29 00 0  F                  14
DEFANT   162  169  H    30 00 0  F                  13
DEFANT   162  169  H    31 00 0  F                  11
DEFANT   169  172  H    29 00 0  F                2996
DEFANT   169  172  H    30 00 0  F                2985
DEFANT   169  172  H    31 00 0  F                3004
DEFANT   172  173  H    31 00 0  F                2193
DEFANT   175  178  H    31 00 0  F                1946
DEFANT   192  193  H    31 00 0  F                  56
DEFANT   193  141  H    30 00 0  F                  49
DEFANT   193  141  H    31 00 0  F                  46
DEFANT   203   30  H    31 00 0  F                 175
DEFANT   204  280  H    31 00 0  F                3135
DEFANT   228  229  H    27 00 0  F                1610
DEFANT   228  229  H    28 00 0  F                1951
DEFANT   228  229  H    29 00 0  F                1942
DEFANT   228  229  H    30 00 0  F                1941
DEFANT   228  229  H    31 00 0  F                1542
DEFANT   229  230  H    31 00 0  F                5381
DEFANT   241   34  H    31 00 0  F                 188
DEFANT   249   50  H    31 00 0  F                 116
DEFANT   251  252  H    31 00 0  F                 112
DEFANT   252  253  H    31 00 0  F                 265
DEFANT   253  257  H    31 00 0  F                 377
DEFANT   257  261  H    30 00 0  F                1069
DEFANT   257  261  H    31 00 0  F                1255
DEFANT   261  267  H    29 00 0  F                3679
DEFANT   261  267  H    30 00 0  F                3316
DEFANT   261  267  H    31 00 0  F                2574
DEFANT   262  241  H    31 00 0  F                 179
DEFANT   267  275  H    29 00 0  F                7169
DEFANT   267  275  H    30 00 0  F                7245
DEFANT   267  275  H    31 00 0  F                6736
DEFANT   280  284  H    31 00 0  F                3708
DEFANT   285  287  H    31 00 0  F               30546
DEFANT   290   34  H    31 00 0  F                  69
DEFANT   311  312  H    31 00 0  F                 226
DEFANT   312  315  H    31 00 0  F                 226
DEFANT   315   34  H    31 00 0  F                 243
DEFANT    66    1  S    31  0 0  F                6749
DEFANT    66    1  S    31  0 1  F                6853
DEFANT    66    1  S    31  1 0  F                6543
DEFANT    66    1  S    31  1 1  F                6539
DEFANT    66    1  S    31  2 0  F                6227
DEFANT    66    1  S    31  2 1  F                6058
DEFANT    66    1  S    31  3 0  F                5808
DEFANT    66    1  S    31  3 1  F                5689
DEFANT    66    1  S    31  4 0  F                5697
DEFANT    66    1  S    31  4 1  F                5888
DEFANT    66    1  S    31  5 0  F                6036
DEFANT    66    1  S    31  5 1  F                6114
DEFANT    66    1  S    31  6 0  F                6148
DEFANT    66    1  S    31  6 1  F                6146
DEFANT    66    1  S    31  7 0  F                6221
DEFANT    66    1  S    31  7 1  F                6761
DEFANT    66    1  S    31  8 0  F                7187
DEFANT    66    1  S    31  8 1  F                7617
DEFANT    66    1  S    31  9 0  F                7730
DEFANT    66    1  S    31  9 1  F                7686
DEFANT    66    1  S    31 10 0  F                7716
DEFANT    66    1  S    31 10 1  F                7760
DEFANT    66    1  S    31 11 0  F                7808
DEFANT    66    1  S    31 11 1  F                7809
DEFANT    66    1  S    31 12 0  F                7823
DEFANT    66    1  S    31 12 1  F                7868
DEFANT    66    1  S    31 13 0  F                7782
DEFANT    66    1  S    31 13 1  F                7739
DEFANT    66    1  S    31 14 0  F                7738
DEFANT    66    1  S    31 14 1  F                7739
DEFANT    66    1  S    31 15 0  F                7755
DEFANT    66    1  S    31 15 1  F                7756
DEFANT    66    1  S    31 16 0  F                7790
DEFANT    66    1  S    31 16 1  F                7747
DEFANT    66    1  S    31 17 0  F                7813
DEFANT    66    1  S    31 17 1  F                7772
DEFANT    66    1  S    31 18 0  F                8011
DEFANT    66    1  S    31 18 1  F                8201
DEFANT    66    1  S    31 19 0  F                8516
DEFANT    66    1  S    31 19 1  F                8465
DEFANT    66    1  S    31 20 0  F                7922
DEFANT    66    1  S    31 20 1  F                8061
DEFANT    66    1  S    31 21 0  F                8020
DEFANT    66    1  S    31 21 1  F                7655
DEFANT    66    1  S    31 22 0  F                7019
DEFANT    66    1  S    31 22 1  F                6630
DEFANT    66    1  S    31 23 0  F                6616
DEFANT    66    1  S    31 23 1  F                6260
DEFANT    83    1  S    31  0 0  F                1022
DEFANT    83    1  S    31  0 1  F                1019
DEFANT    83    1  S    31  1 0  F                1016
DEFANT    83    1  S    31  1 1  F                1013
DEFANT    83    1  S    31  2 0  F                1011
DEFANT    83    1  S    31  2 1  F                1012
DEFANT    83    1  S    31  3 0  F                1014
DEFANT    83    1  S    31  3 1  F                1016
DEFANT    83    1  S    31  4 0  F                1019
DEFANT    83    1  S    31  4 1  F                1022
DEFANT    83    1  S    31  5 0  F                1025
DEFANT    83    1  S    31  5 1  F                1027
DEFANT    83    1  S    31  6 0  F                1030
DEFANT    83    1  S    31  6 1  F                1033
DEFANT    83    1  S    31  7 0  F                1036
DEFANT    83    1  S    31  7 1  F                1039
DEFANT    83    1  S    31  8 0  F                1042
DEFANT    83    1  S    31  8 1  F                1045
DEFANT    83    1  S    31  9 0  F                1047
DEFANT    83    1  S    31  9 1  F                1047
DEFANT    83    1  S    31 10 0  F                1047
