& CONDICOES INICIAIS DAS UNIDADES                
&
UCTPAR 2
UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
CPLEXLOG
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
&CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
&CROSSOVER 1
&ENGOLIMENTO 0
&                                                 
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D T  TITULINFLX
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X  X  XXXXXXXXXX
 55  GLOBAL II      6    0        0.000  19920  0  0  0          0.
 55  GLOBAL II      7    0        0.000   6608  1  0  0          0.
 55  GLOBAL II      8    0        0.000   6679  1  0  0          0.
 55  GLOBAL II      9    0        0.000   6746  1  0  0          0.
 55  GLOBAL II     10    0        0.000   6584  0  0  0          0.
 55  GLOBAL II     11    0        0.000   6526  1  0  0          0.
 57  MARACANAU I    1    0        0.000   6527  1  0  0          0.
 57  MARACANAU I    2    0        0.000   7821  1  0  0          0.
 57  MARACANAU I    3    0        0.000   6527  1  0  0          0.
 57  MARACANAU I    4    0        0.000   6527  1  0  0          0.
 57  MARACANAU I    5    0        0.000  10175  1  0  0          0.
 57  MARACANAU I    6    0        0.000   6710  0  0  0          0.
 57  MARACANAU I    7    0        0.000   6820  0  0  0          0.
 57  MARACANAU I    8    0        0.000   6567  0  0  0          0.
 58  TERMOCEARA     1    0        0.000  12306  0  0  0          0.
 58  TERMOCEARA     2    0        0.000  12263  0  0  0          0.
 58  TERMOCEARA     3    0        0.000  12270  1  0  0          0.
 58  TERMOCEARA     4    0        0.000  20832  1  0  0          0.
 58  TERMOCEARA     5    0        0.000   4608  0  0  0          0.
 58  TERMOCEARA     6    0        0.000   4608  0  0  0          0.
 58  TERMOCEARA     7    0        0.000   4608  0  0  0          0.
 58  TERMOCEARA     8    0        0.000   4608  0  0  0          0.
 58  TERMOCEARA     9    0        0.000   4608  0  0  0          0.
 58  TERMOCEARA    10    0        0.000   4608  0  0  0          0.
 58  TERMOCEARA    11    0        0.000   4608  0  0  0          0.
 58  TERMOCEARA    12    0        0.000   4608  0  0  0          0.
 58  TERMOCEARA    13    0        0.000   4608  0  0  0          0.
 58  TERMOCEARA    14    0        0.000   4608  0  0  0          0.
 58  TERMOCEARA    15    0        0.000   4608  0  0  0          0.
 60  NORTEFLU       1    0        0.000  27087  0  0  0          0.
 60  NORTEFLU       2    0        0.000  27087  0  0  0          0.
 60  NORTEFLU       3    0        0.000  27087  0  0  0          0.
 60  NORTEFLU       4    0        0.000   3737  0  0  0          0.
 60  NORTEFLU       5    0        0.000   3905  0  0  0          0.
 60  NORTEFLU       6    0        0.000   4800  0  0  0          0.
 60  NORTEFLU       7    0        0.000   4510  0  0  0          0.
 62  SEROPEDICA     1    0        0.000   5379  0  0  0          0.
 62  SEROPEDICA     2    0        0.000   3840  0  0  0          0.
 62  SEROPEDICA     3    0        0.000   3295  0  0  0          0.
 62  SEROPEDICA     4    0        0.000   3301  1  0  0          0.
 62  SEROPEDICA     5    0        0.000   3833  1  0  0          0.
 62  SEROPEDICA     6    0        0.000   5808  1  0  0          0.
 62  SEROPEDICA     7    0        0.000   1950  1  0  0          0.
 62  SEROPEDICA     8    0        0.000   1962  0  0  0          0.
 63  IBIRITE        1    0        0.000   6816  0  0  0          0.
 64  CANOAS         1    0        0.000   6190  1  0  0          0.
 67  TERMONE        1    0        0.000   3829  1  0  0          0.
 67  TERMONE        2    0        0.000    799  1  0  0          0.
 67  TERMONE        3    0        0.000    782  1  0  0          0.
 68  TRES LAGOAS    1    0        0.000   6639  0  0  0          0.
 68  TRES LAGOAS    2    0        0.000  18791  0  0  0          0.
 68  TRES LAGOAS    3    0        0.000  23496  0  0  0          0.
 68  TRES LAGOAS    4    0        0.000   8484  0  0  0          0.
 68  TRES LAGOAS    5    0        0.000  21456  1  0  0          0.
 68  TRES LAGOAS    6    0        0.000  12619  1  0  0          0.
 68  TRES LAGOAS    7    0        0.000   5872  1  0  0          0.
 68  TRES LAGOAS    8    0        0.000  14472  0  0  0          0.
 68  TRES LAGOAS    9    0        0.000   5787  1  0  0          0.
 68  TRES LAGOAS   10    0        0.000  14334  0  0  0          0.
 68  TRES LAGOAS   11    0        0.000  14424  0  0  0          0.
 68  TRES LAGOAS   12    0        0.000  21432  0  0  0          0.
 68  TRES LAGOAS   13    0        0.000   6192  0  0  0          0.
 68  TRES LAGOAS   14    0        0.000  14112  0  0  0          0.
 68  TRES LAGOAS   15    0        0.000  12910  1  0  0          0.
 69  TERMOPB        1    0        0.000   5659  1  0  0          0.
 69  TERMOPB        2    0        0.000   4003  0  0  0          0.
 69  TERMOPB        3    0        0.000   4552  0  0  0          0.
 70  GERAMAR II     1    0        0.000   3372  0  0  0          0.
 70  GERAMAR II     2    0        0.000   3372  0  0  0          0.
 70  GERAMAR II     3    0        0.000   6527  0  0  0          0.
 70  GERAMAR II     4    0        0.000   6527  0  0  0          0.
 73  GERAMAR I      1    0        0.000   6527  0  0  0          0.
 73  GERAMAR I      2    0        0.000   6527  0  0  0          0.
 73  GERAMAR I      3    0        0.000   3396  0  0  0          0.
 73  GERAMAR I      4    0        0.000   3400  1  0  0          0.
 83  VALE DO ACU    1    0        0.000     71  0  0  0          0.
 83  VALE DO ACU    2    0        0.000  17309  0  0  0          0.
 86  ST.CRUZ NOVA  11    0        0.000   2387  1  0  0          0.
 86  ST.CRUZ NOVA  21    0        0.000   3834  0  0  0          0.
 90  TERMOMACAE     1    0        0.000   6192  0  0  0          0.
 90  TERMOMACAE     2    0        0.000   6211  1  0  0          0.
 90  TERMOMACAE     3    0        0.000  13879  1  0  0          0.
 90  TERMOMACAE     4    0        0.000   6472  1  0  0          0.
 90  TERMOMACAE     5    0        0.000   6298  1  0  0          0.
 90  TERMOMACAE     6    0        0.000  12527  0  0  0          0.
 90  TERMOMACAE     7    0        0.000  23496  0  0  0          0.
 90  TERMOMACAE     8    0        0.000  23496  0  0  0          0.
 90  TERMOMACAE     9    0        0.000   8520  1  0  0          0.
 90  TERMOMACAE    10    0        0.000  23496  0  0  0          0.
 90  TERMOMACAE    11    0        0.000  13751  0  0  0          0.
 90  TERMOMACAE    12    0        0.000  13757  1  0  0          0.
 90  TERMOMACAE    13    0        0.000   6232  0  0  0          0.
 90  TERMOMACAE    14    0        0.000  13456  0  0  0          0.
 90  TERMOMACAE    15    0        0.000   6264  1  0  0          0.
 90  TERMOMACAE    16    0        0.000   6238  1  0  0          0.
 90  TERMOMACAE    17    0        0.000   7556  0  0  0          0.
 90  TERMOMACAE    18    0        0.000   6204  1  0  0          0.
 90  TERMOMACAE    19    0        0.000   6193  0  0  0          0.
 90  TERMOMACAE    20    0        0.000   7008  0  0  0          0.
 96  TERMOPE        1    0        0.000   4020  0  0  0          0.
 96  TERMOPE        2    0        0.000   5520  0  0  0          0.
 96  TERMOPE        3    0        0.000   4822  1  0  0          0.
 97  CUBATAO        1    0        0.000   3168  0  0  0          0.
 97  CUBATAO        2    0        0.000   6292  0  0  0          0.
 97  CUBATAO        3    0        0.000   1932  0  0  0          0.
 98  PERNAMBU_III   1    0        0.000  19777  0  0  0          0.
 98  PERNAMBU_III   2    0        0.000  21142  0  0  0          0.
 98  PERNAMBU_III   3    0        0.000  19776  1  0  0          0.
 98  PERNAMBU_III   4    0        0.000  13247  1  0  0          0.
106  ERB CANDEIAS   1    1        4.000    240  0  0  2          4.
107  PAMPA SUL      1    0        0.000  19616  0  0  0          0.
108  XAVANTES       1    0        0.000   7000  0  0  0          0.
108  XAVANTES       2    0        0.000   7000  0  0  0          0.
109  ALTOS          1    0        0.000  23828  0  0  0          0.
110  N.PIRATININ    1    0        0.000   5920  0  0  0          0.
110  N.PIRATININ    2    0        0.000   7608  1  0  0          0.
110  N.PIRATININ    3    0        0.000   8016  0  0  0          0.
110  N.PIRATININ    4    0        0.000   8053  0  0  0          0.
110  N.PIRATININ    5    0        0.000   6522  0  0  0          0.
110  N.PIRATININ    6    0        0.000   6168  1  0  0          0.
110  N.PIRATININ    7    0        0.000  23226  0  0  0          0.
110  N.PIRATININ    8    0        0.000   6696  0  0  0          0.
110  N.PIRATININ    9    0        0.000   6958  1  0  0          0.
110  N.PIRATININ   10    0        0.000   6790  1  0  0          0.
110  N.PIRATININ   11    0        0.000  26007  0  0  0          0.
110  N.PIRATININ   12    0        0.000   6336  0  0  0          0.
110  N.PIRATININ   13    0        0.000   6696  0  0  0          0.
110  N.PIRATININ   14    0        0.000  26544  0  0  0          0.
110  N.PIRATININ   15    0        0.000  26544  0  0  0          0.
111  ARACATI        1    0        0.000  23828  0  0  0          0.
112  BAHIA I        1    0        0.000   6200  0  0  0          0.
112  BAHIA I        2    0        0.000   6192  0  0  0          0.
112  BAHIA I        3    0        0.000   6194  0  0  0          0.
113  BATURITE       1    0        0.000  23828  0  0  0          0.
116  PARNAIBA IV    1    0        0.000   5350  1  0  0          0.
117  CAMPO MAIOR    1    0        0.000  23828  0  0  0          0.
119  CAUCAIA        1    0        0.000  23828  0  0  0          0.
121  CRATO          1    0        0.000  23828  0  0  0          0.
125  ENGUIA PECEM   1    0        0.000  23828  0  0  0          0.
127  IGUATU         1    0        0.000  23828  0  0  0          0.
133  JUAZEIRO N     1    0        0.000  23828  0  0  0          0.
135  MARAMBAIA      1    0        0.000  23828  0  0  0          0.
137  GNA            1    0        0.000   6096  0  0  0          0.
138  NAZARIA        1    0        0.000  23828  0  0  0          0.
140  MAUA 3         1    0        0.000   2510  0  0  0        264.
140  MAUA 3         2    0        0.000    944  0  0  0        264.
140  MAUA 3         3    1      264.000    242  0  0  2        264.
140  MAUA 3         4    0        0.000   4147  0  0  0        264.
140  MAUA 3         5    0        0.000   4147  0  0  0        264.
140  MAUA 3         6    0        0.000    242  0  0  0        264.
144  PETROLINA      1    0        0.000   7520  1  0  0          0.
144  PETROLINA      2    0        0.000  23496  0  0  0          0.
144  PETROLINA      3    0        0.000   6983  0  0  0          0.
144  PETROLINA      4    0        0.000   6999  0  0  0          0.
144  PETROLINA      5    0        0.000  23496  0  0  0          0.
144  PETROLINA      6    0        0.000   7753  1  0  0          0.
144  PETROLINA      7    0        0.000   6522  1  0  0          0.
144  PETROLINA      8    0        0.000   6530  1  0  0          0.
146  STA VITORIA    1    1       14.000   1459  0  0  2         14.
147  PROSPERIDADE   1    0        0.000   5203  0  0  0          0.
147  PROSPERIDADE   2    0        0.000   5203  0  0  0          0.
147  PROSPERIDADE   3    0        0.000   5181  0  0  0          0.
149  SAO SEPE       1    0        0.000   3247  0  0  0          0.
151  POTIGUAR       1    0        0.000   6533  0  0  0          0.
151  POTIGUAR       2    0        0.000   6533  0  0  0          0.
151  POTIGUAR       3    0        0.000   6533  0  0  0          0.
151  POTIGUAR       4    0        0.000   6533  0  0  0          0.
152  TERMOCABO      1    0        0.000   6576  0  0  0          0.
152  TERMOCABO      2    0        0.000   6527  0  0  0          0.
152  TERMOCABO      3    0        0.000   7584  0  0  0          0.
153  DAIA           1    0        0.000  23828  0  0  0          0.
153  DAIA           2    0        0.000  23828  0  0  0          0.
155  GOIANIA II     1    0        0.000  23828  0  0  0          0.
155  GOIANIA II     2    0        0.000  23828  0  0  0          0.
&Ajuste conforme 30.580-22
156  CANDIOTA 3     1    0        0.000     31  1  0  0          0.
159  TERMOMANAUS    1    0        0.000   6531  0  0  0          0.
159  TERMOMANAUS    2    0        0.000   6531  0  0  0          0.
159  TERMOMANAUS    3    0        0.000   6531  0  0  0          0.
159  TERMOMANAUS    4    0        0.000   6531  0  0  0          0.
159  TERMOMANAUS    5    0        0.000   6531  0  0  0          0.
159  TERMOMANAUS    6    0        0.000   6531  0  0  0          0.
159  TERMOMANAUS    7    0        0.000   6531  0  0  0          0.
159  TERMOMANAUS    8    0        0.000   6531  0  0  0          0.
159  TERMOMANAUS    9    0        0.000   6531  0  0  0          0.
159  TERMOMANAUS   10    0        0.000   6531  0  0  0          0.
159  TERMOMANAUS   11    0        0.000   6531  0  0  0          0.
159  TERMOMANAUS   12    0        0.000   6531  0  0  0          0.
160  PAU FERRO I    1    0        0.000   6531  0  0  0          0.
160  PAU FERRO I    2    0        0.000   6531  0  0  0          0.
160  PAU FERRO I    3    0        0.000   6531  0  0  0          0.
160  PAU FERRO I    4    0        0.000   6531  0  0  0          0.
160  PAU FERRO I    5    0        0.000   6531  0  0  0          0.
160  PAU FERRO I    6    0        0.000   6531  0  0  0          0.
160  PAU FERRO I    7    0        0.000   6531  0  0  0          0.
