NUMERO DE USINAS
XXX
162
NUMERO DAS USINAS NO CADASTRO
1   2   3   4   5   6   7   8   9   10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40  41  42  43  44  45  46  47  48  49  50  51  52  53  54  55  56  57  58  59  60  61  62  63  64  65  66  67  68  69  70  71  72  73  74  75  76  77  78  79  80  81  82  83  84  85  86  87  88  89  90  91  92  93  94  95  96  97  98  99  100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 
XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX 
1   2   4   24  27  28  25  33  156 134 10  143 162 148 217 193 141 14  18  37  40  42  15  16  38  39  62  63  52  51  47  49  61  50  45  43  34  153 46  120 121 6   7   8   12  17  31  30  251 278 123 129 20  287 257 122 124 130 131 133 125 180 181 182 183 184 107 108 109 117 118 119 32  11  135 139 262 89  144 66  110 111 112 113 114 74  76  82  83  115 73  71  72  57  77  78  93  91  92  252 253 267 281 9   26  86  90  97  98  99  103 169 172 173 174 175 178 190 189 275 272 279 280 204 127 126 283 261 48  249 241 304 305 196 195 95  203 154 310 29  94  215 155 311 312 315 21  290 101 276 102 277 285 286 284 227 228 229 192 230 288 314 
Hr  Dd  Mm  Ano
XX  XX  XX  XXXX
00  12  02  2021
Dia inic(1-SAB...7-SEX); sem da FCF; n. semanas; pre-interesse
X X X X
7 1 1 0
VAZOES DIARIAS PARA CADA USINA (m3/s)
NUM     NOME      itp   DI HI M DF HF M      VAZAO
XXX XXXXXXXXXXXX   X    XXxXXxXxXXxXXxX     XXXXXXXXX
  1 CAMARGOS       1    12      F                 156
  1 CAMARGOS       1    13      F                 159
  1 CAMARGOS       1    14      F                 166
  1 CAMARGOS       1    15      F                 167
  1 CAMARGOS       1    16      F                 166
  1 CAMARGOS       1    17      F                 165
  1 CAMARGOS       1    18      F                 158
  2 ITUTINGA       1    12      F                   0
  4 FUNIL-GRANDE   1    12      F                 255
  4 FUNIL-GRANDE   1    13      F                 240
  4 FUNIL-GRANDE   1    14      F                 233
  4 FUNIL-GRANDE   1    15      F                 225
  4 FUNIL-GRANDE   1    16      F                 221
  4 FUNIL-GRANDE   1    18      F                 212
 24 EMBORCACAO     1    12      F                 203
 24 EMBORCACAO     1    14      F                 210
 24 EMBORCACAO     1    15      F                 216
 24 EMBORCACAO     1    16      F                 220
 24 EMBORCACAO     1    17      F                 218
 24 EMBORCACAO     1    18      F                 217
 27 CAPIM BRANC1   1    12      F                   1
 27 CAPIM BRANC1   1    15      F                   2
 28 CAPIM BRANC2   1    12      F                   3
 28 CAPIM BRANC2   1    14      F                   4
 25 NOVA PONTE     1    12      F                 186
 25 NOVA PONTE     1    13      F                 196
 25 NOVA PONTE     1    14      F                 209
 25 NOVA PONTE     1    15      F                 222
 25 NOVA PONTE     1    16      F                 228
 25 NOVA PONTE     1    17      F                 223
 25 NOVA PONTE     1    18      F                 214
 33 SAO SIMAO      1    12      F                 598
 33 SAO SIMAO      1    13      F                 626
 33 SAO SIMAO      1    14      F                 697
 33 SAO SIMAO      1    15      F                 736
 33 SAO SIMAO      1    16      F                 758
 33 SAO SIMAO      1    17      F                 754
 33 SAO SIMAO      1    18      F                 736
156 TRES MARIAS    1    12      F                 663
156 TRES MARIAS    1    13      F                 628
156 TRES MARIAS    1    14      F                 605
156 TRES MARIAS    1    15      F                 588
156 TRES MARIAS    1    16      F                 585
156 TRES MARIAS    1    17      F                 579
156 TRES MARIAS    1    18      F                 575
134 SALTO GRANDE   1    12      F                  81
134 SALTO GRANDE   1    13      F                  88
 10 IGARAPAVA      1    12      F                  21
 10 IGARAPAVA      1    13      F                  24
 10 IGARAPAVA      1    14      F                  28
 10 IGARAPAVA      1    15      F                  31
 10 IGARAPAVA      1    16      F                  33
 10 IGARAPAVA      1    18      F                  31
143 AIMORES        1    12      F                 123
143 AIMORES        1    13      F                 147
162 QUEIMADO       1    12      F                  34
162 QUEIMADO       1    17      F                  35
162 QUEIMADO       1    18      F                  39
148 IRAPE          1    12      F                  69
148 IRAPE          1    13      F                  63
217 ROSAL          1    12      F                  33
217 ROSAL          1    13      F                  31
193 SA CARVALHO    1    12      F                   5
141 BAGUARI        1    12      F                  36
141 BAGUARI        1    13      F                  84
 14 CACONDE        1    12      F                  32
 14 CACONDE        1    13      F                  40
 14 CACONDE        1    14      F                  60
 14 CACONDE        1    15      F                  80
 14 CACONDE        1    16      F                  91
 14 CACONDE        1    18      F                  79
 18 A. VERMELHA    1    12      F                 122
 18 A. VERMELHA    1    13      F                 129
 18 A. VERMELHA    1    14      F                 152
 18 A. VERMELHA    1    15      F                 193
 18 A. VERMELHA    1    16      F                 228
 18 A. VERMELHA    1    17      F                 242
 37 BARRA BONITA   1    12      F                 168
 37 BARRA BONITA   1    13      F                 195
 37 BARRA BONITA   1    14      F                 275
 37 BARRA BONITA   1    15      F                 390
 37 BARRA BONITA   1    16      F                 433
 37 BARRA BONITA   1    17      F                 454
 37 BARRA BONITA   1    18      F                 421
 40 PROMISSAO      1    12      F                  69
 40 PROMISSAO      1    13      F                  95
 40 PROMISSAO      1    14      F                 100
 40 PROMISSAO      1    15      F                 101
 40 PROMISSAO      1    16      F                  98
 40 PROMISSAO      1    17      F                  85
 40 PROMISSAO      1    18      F                  75
 42 NAVANHANDAVA   1    12      F                  27
