& ARQUIVO COM RESTRICOES OPERACIONAIS PARA AS UNIDADES TERMICAS
& (NA CONFIGURACAO DO DESSEM)
&
&Flags Ativos
UCTPAR 2
UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
&CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
&CROSSOVER 1
&ENGOLIMENTO 0
&
& CONDICOES INICIAIS DAS UNIDADES                
&                                                
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X 
 60  NORTEFLU       2    0         0.00  15495  0  0
 60  NORTEFLU       3    0         0.00  15495  0  0
 60  NORTEFLU       4    0         0.00   2026  1  0
 60  NORTEFLU       5    0         0.00   3336  1  0
 60  NORTEFLU       6    0         0.00   3208  0  0
 60  NORTEFLU       7    1       700.00   2026  1  0
 62  SEROPEDICA     1    0         0.00    170  0  0
 62  SEROPEDICA     2    0         0.00    678  0  0
 62  SEROPEDICA     3    0         0.00    310  1  0
 62  SEROPEDICA     4    0         0.00    683  0  0
 62  SEROPEDICA     5    0         0.00   3162  0  0
 62  SEROPEDICA     6    0         0.00    647  0  0
 62  SEROPEDICA     7    0         0.00   1398  1  0
 62  SEROPEDICA     8    0         0.00   1490  1  0
 63  IBIRITE        1    0         0.00    360  0  0
 64  CANOAS         1    0         0.00   1654  1  0
 67  TERMONE        1    0         0.00   1164  0  0
 67  TERMONE        2    0         0.00   1002  1  0
 67  TERMONE        3    0         0.00    708  0  0
 68  TRES LAGOAS    1    0         0.00   9777  0  0
 68  TRES LAGOAS    2    0         0.00   7199  0  0
 68  TRES LAGOAS    3    0         0.00  11904  0  0
 68  TRES LAGOAS    4    0         0.00   9864  1  0
 68  TRES LAGOAS    5    0         0.00   9864  1  0
 68  TRES LAGOAS    6    0         0.00   1027  1  0
 68  TRES LAGOAS    7    0         0.00   9864  0  0
 68  TRES LAGOAS    8    0         0.00   2880  0  0
 68  TRES LAGOAS    9    0         0.00   9864  0  0
 68  TRES LAGOAS   10    0         0.00   2742  0  0
 68  TRES LAGOAS   11    0         0.00   2832  0  0
 68  TRES LAGOAS   12    0         0.00   9840  0  0
 68  TRES LAGOAS   13    0         0.00    506  0  0
 68  TRES LAGOAS   14    0         0.00   2520  0  0
 68  TRES LAGOAS   15    0         0.00   1318  1  0
 69  TERMOPB        1    0         0.00   1002  0  0
 69  TERMOPB        2    0         0.00    708  0  0
