&   DEFLUENCIAS ANTERIORES AO INICIO DO ESTUDO
&
&
&        Mont Jus TpJ   di hi m df hf m     defluencia
&X       XXX  XXX  X    XX XX X XX XX X     XXXXXXXXXX
DEFANT     2    4  H    06 00 0  F                  58
DEFANT     4    6  H    06 00 0  F                 114
DEFANT     6    7  H    06 00 0  F                 402
DEFANT     7    8  H    06 00 0  F                 373
DEFANT     8    9  H    06 00 0  F                 341
DEFANT     9   10  H    06 00 0  F                 387
DEFANT    10   11  H    06 00 0  F                 417
DEFANT    11   12  H    06 00 0  F                 364
DEFANT    12   17  H    06 00 0  F                 343
DEFANT    14   15  H    06 00 0  F                  23
DEFANT    15   16  H    06 00 0  F                  29
DEFANT    16   17  H    04 00 0  F                  33
DEFANT    16   17  H    05 00 0  F                  39
DEFANT    16   17  H    06 00 0  F                  36
DEFANT    17   18  H    06 00 0  F                 992
DEFANT    18   34  H    06 00 0  F                1414
DEFANT    20   21  H    06 00 0  F                 103
DEFANT    21   24  H    06 00 0  F                  76
DEFANT    24   31  H    06 00 0  F                 134
DEFANT    25   26  H    06 00 0  F                 102
DEFANT    26   27  H    06 00 0  F                 139
DEFANT    27   28  H    06 00 0  F                 137
DEFANT    28   31  H    06 00 0  F                 148
DEFANT    29  203  H    06 00 0  F                  89
DEFANT    30   31  H    06 00 0  F                 221
DEFANT    31   32  H    06 00 0  F                1890
DEFANT    32   33  H    06 00 0  F                2025
DEFANT    33   34  H    06 00 0  F                2502
DEFANT    34   45  H    06 00 0  F                5033
DEFANT    37   38  H    06 00 0  F                 137
DEFANT    38   39  H    06 00 0  F                 143
DEFANT    39   40  H    06 00 0  F                 199
DEFANT    40   42  H    06 00 0  F                 556
DEFANT    42   43  H    06 00 0  F                 455
DEFANT    43   45  H    06 00 0  F                 361
DEFANT    45   46  H    06 00 0  F                5977
DEFANT    46   66  H    05 00 0  F                4413
DEFANT    46   66  H    06 00 0  F                4223
DEFANT    47   48  H    06 00 0  F                  60
DEFANT    48   49  H    06 00 0  F                  56
DEFANT    49  249  H    06 00 0  F                 100
DEFANT    50   51  H    06 00 0  F                 167
DEFANT    51   52  H    06 00 0  F                 160
DEFANT    52   61  H    06 00 0  F                 159
DEFANT    57   61  H    06 00 0  F                  80
DEFANT    61   62  H    06 00 0  F                 392
DEFANT    62   63  H    06 00 0  F                 443
DEFANT    63   66  H    05 00 0  F                 482
DEFANT    63   66  H    06 00 0  F                 491
DEFANT    71   72  H    06 00 0  F                   7
DEFANT    72   73  H    06 00 0  F                   7
DEFANT    73   77  H    06 00 0  F                  15
DEFANT    74   76  H    06 00 0  F                  18
DEFANT    76   77  H    06 00 0  F                  19
DEFANT    77   78  H    06 00 0  F                 174
DEFANT    78   82  H    06 00 0  F                 223
DEFANT    82   83  H    06 00 0  F                 318
DEFANT    86   91  H    06 00 0  F                 192
DEFANT    89   90  H    06 00 0  F                  13
DEFANT    90   91  H    06 00 0  F                  34
DEFANT    91   92  H    06 00 0  F                 296
DEFANT    92  103  H    06 00 0  F                 330
DEFANT    93   94  H    06 00 0  F                   0
DEFANT    94  103  H    06 00 0  F                   0
DEFANT    97   98  H    06 00 0  F                  17
DEFANT    98   99  H    06 00 0  F                  28
DEFANT   101  102  H    06 00 0  F                  51
DEFANT   107   37  H    05 00 0  F                  77
DEFANT   110  111  H    06 00 0  F                  12
DEFANT   111  112  H    06 00 0  F                  76
DEFANT   112  113  H    06 00 0  F                  85
DEFANT   113  114  H    06 00 0  F                  85
DEFANT   120  123  H    04 00 0  F                   4
DEFANT   120  123  H    06 00 0  F                  12
DEFANT   121  122  H    06 00 0  F                 120
DEFANT   122  123  H    03 00 0  F                  36
DEFANT   122  123  H    06 00 0  F                 225
DEFANT   123  125  H    06 00 0  F                 333
DEFANT   125  129  H    05 00 0  F                  74
DEFANT   125  129  H    06 00 0  F                 211
DEFANT   126  127  H    06 00 0  F                  17
DEFANT   127  129  H    06 00 0  F                  44
DEFANT   129  130  H    06 00 0  F                  94
DEFANT   134  135  H    06 00 0  F                  38
DEFANT   135  141  H    06 00 0  F                  43
DEFANT   139  141  H    05 00 0  F                  81
DEFANT   139  141  H    06 00 0  F                  48
DEFANT   141  143  H    06 00 0  F                 261
DEFANT   143  144  H    06 00 0  F                 306
DEFANT   148  154  H    02 00 0  F                  50
DEFANT   148  154  H    03 00 0  F                  51
DEFANT   148  154  H    05 00 0  F                  50
DEFANT   148  154  H    06 00 0  F                  47
DEFANT   153   46  H    06 00 0  F                  88
DEFANT   155  156  H    06 00 0  F                  54
DEFANT   156  169  H    22 00 0  F                 353
DEFANT   156  169  H    24 00 0  F                 354
DEFANT   156  169  H    01 00 0  F                 385
DEFANT   156  169  H    02 00 0  F                 400
DEFANT   156  169  H    03 00 0  F                 399
DEFANT   156  169  H    04 00 0  F                 398
DEFANT   156  169  H    05 00 0  F                 399
DEFANT   156  169  H    06 00 0  F                 407
DEFANT   162  169  H    22 00 0  F                  36
DEFANT   162  169  H    23 00 0  F                  35
DEFANT   162  169  H    25 00 0  F                  22
DEFANT   162  169  H    26 00 0  F                  35
DEFANT   162  169  H    28 00 0  F                  36
DEFANT   162  169  H    29 00 0  F                  35
DEFANT   162  169  H    01 00 0  F                  22
DEFANT   162  169  H    03 00 0  F                  35
DEFANT   162  169  H    05 00 0  F                  36
DEFANT   162  169  H    06 00 0  F                  37
DEFANT   169  172  H    04 00 0  F                1305
DEFANT   169  172  H    05 00 0  F                1309
DEFANT   169  172  H    06 00 0  F                1335
DEFANT   172  173  H    06 00 0  F                1156
DEFANT   175  178  H    06 00 0  F                1086
DEFANT   192  193  H    06 00 0  F                  28
DEFANT   193  141  H    05 00 0  F                  30
DEFANT   193  141  H    06 00 0  F                  26
DEFANT   203   30  H    06 00 0  F                 117
DEFANT   204  280  H    06 00 0  F                2264
DEFANT   228  229  H    02 00 0  F                 963
DEFANT   228  229  H    03 00 0  F                1088
DEFANT   228  229  H    04 00 0  F                 708
DEFANT   228  229  H    05 00 0  F                 884
DEFANT   228  229  H    06 00 0  F                 601
DEFANT   229  230  H    06 00 0  F                2904
DEFANT   241   34  H    06 00 0  F                 133
DEFANT   249   50  H    06 00 0  F                 102
DEFANT   251  252  H    06 00 0  F                 103
DEFANT   252  253  H    06 00 0  F                 255
DEFANT   253  257  H    06 00 0  F                 198
