& CONDICOES INICIAIS DAS UNIDADES
&
&Flags Ativos
UCTPAR 2
UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
&CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
&CROSSOVER 1
&ENGOLIMENTO 0
&                                                
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X 
 49  VIANA          1    0         0.00    163  1  0
 49  VIANA          2    1       166.00     19  1  0
 50  PIRAT.12 G     1    0         0.00  14252  0  0
 50  PIRAT.12 G     2    0         0.00  14252  0  0
 52  CAMPINA GDE    1    0         0.00   3680  1  0
 52  CAMPINA GDE    2    0         0.00   3671  0  0
 52  CAMPINA GDE    3    0         0.00   3673  1  0
 52  CAMPINA GDE    4    0         0.00   3671  0  0
 53  GLOBAL I       1    0         0.00  10344  0  0
 53  GLOBAL I       2    0         0.00   2755  0  0
 53  GLOBAL I       3    0         0.00  10344  0  0
 53  GLOBAL I       4    0         0.00  10344  0  0
 53  GLOBAL I       5    0         0.00  10344  0  0
 53  GLOBAL I       6    0         0.00  10344  0  0
 53  GLOBAL I       7    0         0.00   3961  0  0
 53  GLOBAL I       8    0         0.00  10344  0  0
 53  GLOBAL I       9    0         0.00  10344  0  0
 53  GLOBAL I      10    0         0.00  10344  0  0
 53  GLOBAL I      11    0         0.00  10344  0  0
 54  JUIZ DE FORA   1    0         0.00      1  1  0
 54  JUIZ DE FORA   2    0         0.00      3  0  0
 55  GLOBAL II      1    0         0.00  14252  0  0
 55  GLOBAL II      2    0         0.00  10344  0  0
 55  GLOBAL II      3    0         0.00  11684  0  0
 55  GLOBAL II      4    0         0.00  10344  0  0
 55  GLOBAL II      5    0         0.00  10344  0  0
 55  GLOBAL II      6    0         0.00  10344  0  0
 55  GLOBAL II      7    0         0.00  10344  0  0
 55  GLOBAL II      8    0         0.00  10344  0  0
 55  GLOBAL II      9    0         0.00  10344  0  0
 55  GLOBAL II     10    0         0.00  10344  0  0
 55  GLOBAL II     11    0         0.00  10344  0  0
 57  MARACANAU I    1    0         0.00    599  1  0
 57  MARACANAU I    2    0         0.00    604  1  0
 57  MARACANAU I    3    0         0.00    599  1  0
 57  MARACANAU I    4    0         0.00    599  1  0
