&   DEFLUENCIAS ANTERIORES AO INICIO DO ESTUDO
&
&
&        Mont Jus TpJ   di hi m df hf m     defluencia
&X       XXX  XXX  X    XX XX X XX XX X     XXXXXXXXXX
DEFANT     2    4  H    09 00 0  F                  60
DEFANT     4    6  H    09 00 0  F                  94
DEFANT     6    7  H    09 00 0  F                 548
DEFANT     7    8  H    09 00 0  F                 488
DEFANT     8    9  H    09 00 0  F                 579
DEFANT     9   10  H    09 00 0  F                 591
DEFANT    10   11  H    09 00 0  F                 577
DEFANT    11   12  H    09 00 0  F                 529
DEFANT    12   17  H    09 00 0  F                 716
DEFANT    14   15  H    09 00 0  F                  10
DEFANT    15   16  H    09 00 0  F                  16
DEFANT    16   17  H    07 00 0  F                  13
DEFANT    16   17  H    09 00 0  F                  19
DEFANT    17   18  H    09 00 0  F                 908
DEFANT    18   34  H    09 00 0  F                1280
DEFANT    20   21  H    09 00 0  F                  73
DEFANT    21   24  H    09 00 0  F                 193
DEFANT    24   31  H    09 00 0  F                 346
DEFANT    25   26  H    09 00 0  F                  92
DEFANT    26   27  H    09 00 0  F                 123
DEFANT    27   28  H    09 00 0  F                 105
DEFANT    28   31  H    09 00 0  F                 113
DEFANT    29  203  H    09 00 0  F                  97
DEFANT    30   31  H    09 00 0  F                 251
DEFANT    31   32  H    09 00 0  F                 833
DEFANT    32   33  H    09 00 0  F                 830
DEFANT    33   34  H    09 00 0  F                1120
DEFANT    34   45  H    09 00 0  F                5223
DEFANT    37   38  H    09 00 0  F                 197
DEFANT    38   39  H    09 00 0  F                 211
DEFANT    39   40  H    09 00 0  F                 232
DEFANT    40   42  H    09 00 0  F                 400
DEFANT    42   43  H    09 00 0  F                 341
DEFANT    43   45  H    09 00 0  F                1106
DEFANT    45   46  H    09 00 0  F                6006
DEFANT    46   66  H    08 00 0  F                5844
DEFANT    46   66  H    09 00 0  F                6760
DEFANT    47   48  H    09 00 0  F                  95
DEFANT    48   49  H    09 00 0  F                 100
DEFANT    49  249  H    09 00 0  F                 100
DEFANT    50   51  H    09 00 0  F                 151
DEFANT    51   52  H    09 00 0  F                 131
DEFANT    52   61  H    09 00 0  F                 157
DEFANT    57   61  H    09 00 0  F                 134
DEFANT    61   62  H    09 00 0  F                1138
DEFANT    62   63  H    09 00 0  F                1028
DEFANT    63   66  H    08 00 0  F                1186
DEFANT    63   66  H    09 00 0  F                1206
DEFANT    71   72  H    09 00 0  F                   7
DEFANT    72   73  H    09 00 0  F                   9
DEFANT    73   77  H    09 00 0  F                  15
DEFANT    74   76  H    09 00 0  F                 555
DEFANT    76   77  H    09 00 0  F                 620
DEFANT    77   78  H    09 00 0  F                 893
DEFANT    78   82  H    09 00 0  F                 984
DEFANT    82   83  H    09 00 0  F                 854
DEFANT    86   91  H    09 00 0  F                 142
DEFANT    89   90  H    09 00 0  F                  13
DEFANT    90   91  H    09 00 0  F                  49
DEFANT    91   92  H    09 00 0  F                 290
DEFANT    92  103  H    09 00 0  F                 495
DEFANT    93   94  H    09 00 0  F                  97
DEFANT    94  103  H    09 00 0  F                 122
DEFANT    97   98  H    09 00 0  F                1586
DEFANT    98   99  H    09 00 0  F                1877
DEFANT   101  102  H    09 00 0  F                 198
DEFANT   107   37  H    08 00 0  F                  60
DEFANT   110  111  H    09 00 0  F                  13
DEFANT   111  112  H    09 00 0  F                 174
DEFANT   112  113  H    09 00 0  F                 221
DEFANT   113  114  H    09 00 0  F                 276
DEFANT   120  123  H    07 00 0  F                  39
DEFANT   120  123  H    09 00 0  F                  15
DEFANT   121  122  H    09 00 0  F                 111
DEFANT   122  123  H    06 00 0  F                 105
DEFANT   122  123  H    09 00 0  F                  74
