&   DEFLUENCIAS ANTERIORES AO INICIO DO ESTUDO
&
&
&        Mont Jus TpJ   di hi m df hf m     defluencia
&X       XXX  XXX  X    XX XX X XX XX X     XXXXXXXXXX
DEFANT     2    4  H    20 00 0  F                  57
DEFANT     4    6  H    20 00 0  F                 114
DEFANT     6    7  H    20 00 0  F                 406
DEFANT     7    8  H    20 00 0  F                 367
DEFANT     8    9  H    20 00 0  F                 374
DEFANT     9   10  H    20 00 0  F                 415
DEFANT    10   11  H    20 00 0  F                 432
DEFANT    11   12  H    20 00 0  F                 407
DEFANT    12   17  H    20 00 0  F                 520
DEFANT    14   15  H    20 00 0  F                  24
DEFANT    15   16  H    20 00 0  F                  30
DEFANT    16   17  H    18 00 0  F                  30
DEFANT    16   17  H    19 00 0  F                  33
DEFANT    16   17  H    20 00 0  F                  30
DEFANT    17   18  H    20 00 0  F                 578
DEFANT    18   34  H    20 00 0  F                 784
DEFANT    20   21  H    20 00 0  F                 104
DEFANT    21   24  H    20 00 0  F                  91
DEFANT    24   31  H    20 00 0  F                 134
DEFANT    25   26  H    20 00 0  F                 106
DEFANT    26   27  H    20 00 0  F                 140
DEFANT    27   28  H    20 00 0  F                 145
DEFANT    28   31  H    20 00 0  F                 148
DEFANT    29  203  H    20 00 0  F                  52
DEFANT    30   31  H    20 00 0  F                 290
DEFANT    31   32  H    20 00 0  F                1760
DEFANT    32   33  H    20 00 0  F                1766
DEFANT    33   34  H    20 00 0  F                2190
DEFANT    34   45  H    20 00 0  F                2858
DEFANT    37   38  H    20 00 0  F                 149
DEFANT    38   39  H    20 00 0  F                 174
DEFANT    39   40  H    20 00 0  F                 199
DEFANT    40   42  H    20 00 0  F                 232
DEFANT    42   43  H    20 00 0  F                 221
DEFANT    43   45  H    20 00 0  F                 217
DEFANT    45   46  H    20 00 0  F                3777
DEFANT    46   66  H    19 00 0  F                3911
DEFANT    46   66  H    20 00 0  F                3872
DEFANT    47   48  H    20 00 0  F                  98
DEFANT    48   49  H    20 00 0  F                 100
DEFANT    49  249  H    20 00 0  F                 100
DEFANT    50   51  H    20 00 0  F                 175
DEFANT    51   52  H    20 00 0  F                 222
DEFANT    52   61  H    20 00 0  F                 245
DEFANT    57   61  H    20 00 0  F                  80
