NUM     NOME      itp   DI HI M DF HF M      VAZAO
XXX XXXXXXXXXXXX   X    XXxXXxXxXXxXXxX     XXXXXXXXX
 71 STA CLARA PR   1    21      F                  28
 72 FUNDAO         1    21      F                   2
 57 MAUA           1    21      F                 191
 77 SLT.SANTIAGO   1    21      F                  15
 78 SALTO OSORIO   1    21      F                   6
 93 PASSO FUNDO    1    21      F                   6
 91 MACHADINHO     1    21      F                  18
 92 ITA            1    21      F                  48
252 CANA BRAVA     1    21      F                 342
253 SAO SALVADOR   1    21      F                 336
267 ESTREITO TOC   1    21      F                2090
281 PONTE PEDRA    1    21      F                  79
  9 JAGUARA        1    21      F                  15
 26 MIRANDA        1    21      F                  16
 86 BARRA GRANDE   1    21      F                  70
 90 CAMPOS NOVOS   1    21      F                   9
 97 CASTRO ALVES   1    21      F                  26
 98 MONTE CLARO    1    21      F                   7
 99 14 DE JULHO    1    21      F                   1
103 FOZ CHAPECO    1    21      F                  37
169 SOBRADINHO     1    21      F                5358
172 ITAPARICA      1    21      F                   0
173 MOXOTO         1    21      F                   0
174 P.AFONSO 123   1    21      F                   0
175 P.AFONSO 4     1    21      F                   0
178 XINGO          1    21      F                   0
190 B. ESPERANCA   1    21      F                 894
189 P. CAVALO      1    21      F                 100
275 TUCURUI        1    21      F               16730
272 CURUA-UNA      1    21      F                 482
279 SAMUEL         1    21      F                 677
280 COARACY NUNE   1    21      F                   4
204 CACH.CALDEIR   1    21      F                1301
127 SOBRAGI        1    21      F                 106
126 PICADA         1    21      F                 110
283 STA CLARA MG   1    21      F                  94
261 LAJEADO        1    21      F                2776
 48 PIRAJU         1    21      F                   6
249 OURINHOS       1    21      F                   3
241 SLT VERDINHO   1    21      F                  11
304 ITIQUIRA I     1    21      F                  64
305 ITIQUIRA II    1    21      F                   0
196 GUAPORE        1    21      F                  31
195 JAURU          1    21      F                  62
 95 QUEBRA QUEIX   1    21      F                  18
203 CORUMBA III    1    21      F                  41
154 ITAPEBI        1    21      F                 160
310 DARDANELOS     1    21      F                 466
 29 CORUMBA IV     1    21      F                 184
 94 MONJOLINHO     1    21      F                   4
215 SALTO PILAO    1    21      F                  46
155 RETIRO BAIXO   1    21      F                 689
311 CACU           1    21      F                 172
312 B. COQUEIROS   1    21      F                   7
315 FOZ R. CLARO   1    21      F                  13
 21 SERRA FACAO    1    21      F                 101
290 ESPORA         1    21      F                  66
101 SAO JOSE       1    21      F                  29
276 RONDON II      1    21      F                  96
102 PASSO S JOAO   1    21      F                   1
277 BALBINA        1    21      F                 710
285 JIRAU          1    21      F               18481
286 STO ANT JARI   1    21      F                 943
284 FERREIRA GOM   1    21      F                  11
227 SINOP          1    21      F                1440
228 COLIDER        1    21      F                 134
229 TELES PIRES    1    21      F                2963
192 GUILMAN-AMOR   1    21      F                 136
230 SAO MANOEL     1    21      F                  27
288 BELO MONTE     1    21      F                   0
314 PIMENTAL       1    21      F               21277
FIM
