&   DEFLUENCIAS ANTERIORES AO INICIO DO ESTUDO
&
&
&        Mont Jus TpJ   di hi m df hf m     defluencia
&X       XXX  XXX  X    XX XX X XX XX X     XXXXXXXXXX
DEFANT     2    4  H    14 00 0  F                  63
DEFANT     4    6  H    14 00 0  F                 124
DEFANT     6    7  H    14 00 0  F                1033
DEFANT     7    8  H    14 00 0  F                 966
DEFANT     8    9  H    14 00 0  F                 999
DEFANT     9   10  H    14 00 0  F                1031
DEFANT    10   11  H    14 00 0  F                1070
DEFANT    11   12  H    14 00 0  F                1139
DEFANT    12   17  H    14 00 0  F                1019
DEFANT    14   15  H    14 00 0  F                  33
DEFANT    15   16  H    14 00 0  F                  43
DEFANT    16   17  H    12 00 0  F                  40
DEFANT    16   17  H    13 00 0  F                  43
DEFANT    16   17  H    14 00 0  F                  38
DEFANT    17   18  H    14 00 0  F                1441
DEFANT    18   34  H    14 00 0  F                1353
DEFANT    20   21  H    14 00 0  F                 138
DEFANT    21   24  H    14 00 0  F                 145
DEFANT    24   31  H    14 00 0  F                 533
DEFANT    25   26  H    14 00 0  F                 289
DEFANT    26   27  H    14 00 0  F                 274
DEFANT    27   28  H    14 00 0  F                 327
DEFANT    28   31  H    14 00 0  F                 335
DEFANT    29  203  H    14 00 0  F                  86
DEFANT    30   31  H    14 00 0  F                 186
DEFANT    31   32  H    14 00 0  F                1200
DEFANT    32   33  H    14 00 0  F                1234
DEFANT    33   34  H    14 00 0  F                1205
DEFANT    34   45  H    14 00 0  F                2746
DEFANT    37   38  H    14 00 0  F                 146
DEFANT    38   39  H    14 00 0  F                 130
DEFANT    39   40  H    14 00 0  F                 171
DEFANT    40   42  H    14 00 0  F                 307
DEFANT    42   43  H    14 00 0  F                 311
DEFANT    43   45  H    14 00 0  F                 177
DEFANT    45   46  H    14 00 0  F                3049
DEFANT    46   66  H    13 00 0  F                3617
DEFANT    46   66  H    14 00 0  F                3624
DEFANT    47   48  H    14 00 0  F                  74
DEFANT    48   49  H    14 00 0  F                  89
DEFANT    49  249  H    14 00 0  F                 113
DEFANT    50   51  H    14 00 0  F                 130
DEFANT    51   52  H    14 00 0  F                 166
DEFANT    52   61  H    14 00 0  F                 173
DEFANT    57   61  H    14 00 0  F                 276
DEFANT    61   62  H    14 00 0  F                 546
DEFANT    62   63  H    14 00 0  F                 532
