&   DEFLUENCIAS ANTERIORES AO INICIO DO ESTUDO
&
&
&        Mont Jus TpJ   di hi m df hf m     defluencia
&X       XXX  XXX  X    XX XX X XX XX X     XXXXXXXXXX
DEFANT     2    4  H    07 00 0  F                  56
DEFANT     4    6  H    07 00 0  F                 118
DEFANT     6    7  H    07 00 0  F                1019
DEFANT     7    8  H    07 00 0  F                 907
DEFANT     8    9  H    07 00 0  F                 804
DEFANT     9   10  H    07 00 0  F                 836
DEFANT    10   11  H    07 00 0  F                 841
DEFANT    11   12  H    07 00 0  F                 973
DEFANT    12   17  H    07 00 0  F                 953
DEFANT    14   15  H    07 00 0  F                  32
DEFANT    15   16  H    07 00 0  F                  40
DEFANT    16   17  H    05 00 0  F                  40
DEFANT    16   17  H    06 00 0  F                  39
DEFANT    16   17  H    07 00 0  F                  34
DEFANT    17   18  H    07 00 0  F                1465
DEFANT    18   34  H    07 00 0  F                1360
DEFANT    20   21  H    07 00 0  F                  96
DEFANT    21   24  H    07 00 0  F                 122
DEFANT    24   31  H    07 00 0  F                 271
DEFANT    25   26  H    07 00 0  F                 111
DEFANT    26   27  H    07 00 0  F                 128
DEFANT    27   28  H    07 00 0  F                 137
DEFANT    28   31  H    07 00 0  F                 136
DEFANT    29  203  H    07 00 0  F                  70
DEFANT    30   31  H    07 00 0  F                 225
DEFANT    31   32  H    07 00 0  F                1194
DEFANT    32   33  H    07 00 0  F                1234
DEFANT    33   34  H    07 00 0  F                1166
DEFANT    34   45  H    07 00 0  F                2673
DEFANT    37   38  H    07 00 0  F                 116
DEFANT    38   39  H    07 00 0  F                 141
DEFANT    39   40  H    07 00 0  F                 193
DEFANT    40   42  H    07 00 0  F                 262
DEFANT    42   43  H    07 00 0  F                 250
DEFANT    43   45  H    07 00 0  F                 177
DEFANT    45   46  H    07 00 0  F                3058
DEFANT    46   66  H    06 00 0  F                3620
DEFANT    46   66  H    07 00 0  F                3618
DEFANT    47   48  H    07 00 0  F                  67
DEFANT    48   49  H    07 00 0  F                  59
DEFANT    49  249  H    07 00 0  F                 113
DEFANT    50   51  H    07 00 0  F                 154
DEFANT    51   52  H    07 00 0  F                 159
DEFANT    52   61  H    07 00 0  F                 173
DEFANT    57   61  H    07 00 0  F                 336
DEFANT    61   62  H    07 00 0  F                 380
DEFANT    62   63  H    07 00 0  F                 377
DEFANT    63   66  H    06 00 0  F                 632
DEFANT    63   66  H    07 00 0  F                 480
DEFANT    71   72  H    07 00 0  F                 143
DEFANT    72   73  H    07 00 0  F                 141
DEFANT    73   77  H    07 00 0  F                  38
DEFANT    74   76  H    07 00 0  F                 996
DEFANT    76   77  H    07 00 0  F                1215
DEFANT    77   78  H    07 00 0  F                1391
DEFANT    78   82  H    07 00 0  F                1465
DEFANT    82   83  H    07 00 0  F                1258
DEFANT    86   91  H    07 00 0  F                 313
DEFANT    89   90  H    07 00 0  F                 501
DEFANT    90   91  H    07 00 0  F                 625
DEFANT    91   92  H    07 00 0  F                1272
DEFANT    92  103  H    07 00 0  F                1524
DEFANT    93   94  H    07 00 0  F                 104
DEFANT    94  103  H    07 00 0  F                 160
DEFANT    97   98  H    07 00 0  F                 140
DEFANT    98   99  H    07 00 0  F                 204
DEFANT   101  102  H    07 00 0  F                 300
DEFANT   107   37  H    06 00 0  F                  47
DEFANT   110  111  H    07 00 0  F                 254
DEFANT   111  112  H    07 00 0  F                 385
DEFANT   112  113  H    07 00 0  F                 398
DEFANT   113  114  H    07 00 0  F                 430
DEFANT   120  123  H    05 00 0  F                  26
DEFANT   120  123  H    07 00 0  F                  12
DEFANT   121  122  H    07 00 0  F                  93
DEFANT   122  123  H    04 00 0  F                 105
DEFANT   122  123  H    05 00 0  F                 106
DEFANT   122  123  H    07 00 0  F                 109
DEFANT   123  125  H    07 00 0  F                 167
DEFANT   125  129  H    06 00 0  F                  74
DEFANT   125  129  H    07 00 0  F                 180
DEFANT   126  127  H    07 00 0  F                  18
DEFANT   127  129  H    07 00 0  F                  41
DEFANT   129  130  H    07 00 0  F                  41
DEFANT   134  135  H    07 00 0  F                  45
DEFANT   135  141  H    07 00 0  F                  51
DEFANT   139  141  H    06 00 0  F                  86
DEFANT   139  141  H    07 00 0  F                  87
DEFANT   141  143  H    07 00 0  F                 261
DEFANT   143  144  H    07 00 0  F                 320
DEFANT   148  154  H    03 00 0  F                  51
DEFANT   148  154  H    04 00 0  F                  47
DEFANT   148  154  H    07 00 0  F                  70
DEFANT   153   46  H    07 00 0  F                  89
DEFANT   155  156  H    07 00 0  F                  56
DEFANT   156  169  H    23 00 0  F                 451
DEFANT   156  169  H    27 00 0  F                 453
DEFANT   156  169  H    28 00 0  F                 454
DEFANT   156  169  H    30 00 0  F                 453
DEFANT   156  169  H    03 00 0  F                 454
DEFANT   156  169  H    06 00 0  F                 455
DEFANT   156  169  H    07 00 0  F                 450
DEFANT   162  169  H    23 00 0  F                  21
DEFANT   162  169  H    01 00 0  F                  22
DEFANT   162  169  H    03 00 0  F                  21
DEFANT   162  169  H    06 00 0  F                  20
DEFANT   162  169  H    07 00 0  F                  21
DEFANT   169  172  H    05 00 0  F                1207
DEFANT   169  172  H    06 00 0  F                1216
DEFANT   169  172  H    07 00 0  F                1184
DEFANT   172  173  H    07 00 0  F                1795
DEFANT   175  178  H    07 00 0  F                1592
DEFANT   192  193  H    07 00 0  F                  33
DEFANT   193  141  H    06 00 0  F                  38
DEFANT   193  141  H    07 00 0  F                  35
DEFANT   203   30  H    07 00 0  F                 108
DEFANT   204  280  H    07 00 0  F                1533
DEFANT   228  229  H    03 00 0  F                 365
DEFANT   228  229  H    04 00 0  F                 422
DEFANT   228  229  H    05 00 0  F                 517
