&   DEFLUENCIAS ANTERIORES AO INICIO DO ESTUDO
&
&
&        Mont Jus TpJ   di hi m df hf m     defluencia
&X       XXX  XXX  X    XX XX X XX XX X     XXXXXXXXXX
DEFANT     2    4  H    23 00 0  F                  64
DEFANT     4    6  H    23 00 0  F                 119
DEFANT     6    7  H    23 00 0  F                1097
DEFANT     7    8  H    23 00 0  F                 856
DEFANT     8    9  H    23 00 0  F                 982
DEFANT     9   10  H    23 00 0  F                 766
DEFANT    10   11  H    23 00 0  F                 804
DEFANT    11   12  H    23 00 0  F                1039
DEFANT    12   17  H    23 00 0  F                 958
DEFANT    14   15  H    23 00 0  F                  34
DEFANT    15   16  H    23 00 0  F                  46
DEFANT    16   17  H    21 00 0  F                  45
DEFANT    16   17  H    22 00 0  F                  39
DEFANT    16   17  H    23 00 0  F                  38
DEFANT    17   18  H    23 00 0  F                1658
DEFANT    18   34  H    23 00 0  F                1461
DEFANT    20   21  H    23 00 0  F                  53
DEFANT    21   24  H    23 00 0  F                  86
DEFANT    24   31  H    23 00 0  F                  99
DEFANT    25   26  H    23 00 0  F                 111
DEFANT    26   27  H    23 00 0  F                 128
DEFANT    27   28  H    23 00 0  F                 137
DEFANT    28   31  H    23 00 0  F                 146
DEFANT    29  203  H    23 00 0  F                  61
DEFANT    30   31  H    23 00 0  F                 227
DEFANT    31   32  H    23 00 0  F                1070
DEFANT    32   33  H    23 00 0  F                1121
DEFANT    33   34  H    23 00 0  F                 963
DEFANT    34   45  H    23 00 0  F                2793
DEFANT    37   38  H    23 00 0  F                  88
DEFANT    38   39  H    23 00 0  F                 103
DEFANT    39   40  H    23 00 0  F                 161
DEFANT    40   42  H    23 00 0  F                 210
DEFANT    42   43  H    23 00 0  F                 189
DEFANT    43   45  H    23 00 0  F                 177
DEFANT    45   46  H    23 00 0  F                3017
DEFANT    46   66  H    22 00 0  F                3612
DEFANT    46   66  H    23 00 0  F                3608
DEFANT    47   48  H    23 00 0  F                 106
DEFANT    48   49  H    23 00 0  F                 116
DEFANT    49  249  H    23 00 0  F                 112
DEFANT    50   51  H    23 00 0  F                 179
DEFANT    51   52  H    23 00 0  F                 173
DEFANT    52   61  H    23 00 0  F                 194
DEFANT    57   61  H    23 00 0  F                 384
DEFANT    61   62  H    23 00 0  F                 345
DEFANT    62   63  H    23 00 0  F                 377
DEFANT    63   66  H    22 00 0  F                 474
DEFANT    63   66  H    23 00 0  F                 481
DEFANT    71   72  H    23 00 0  F                 151
DEFANT    72   73  H    23 00 0  F                 155
DEFANT    73   77  H    23 00 0  F                  67
DEFANT    74   76  H    23 00 0  F                1041
DEFANT    76   77  H    23 00 0  F                1216
DEFANT    77   78  H    23 00 0  F                1524
DEFANT    78   82  H    23 00 0  F                1525
DEFANT    82   83  H    23 00 0  F                2137
DEFANT    86   91  H    23 00 0  F                3840
DEFANT    89   90  H    23 00 0  F                1328
DEFANT    90   91  H    23 00 0  F                2152
DEFANT    91   92  H    23 00 0  F                7147
DEFANT    92  103  H    23 00 0  F               10622
DEFANT    93   94  H    23 00 0  F                 155
DEFANT    94  103  H    23 00 0  F                 220
DEFANT    97   98  H    23 00 0  F                2049
DEFANT    98   99  H    23 00 0  F                3110
DEFANT   101  102  H    23 00 0  F                1047
DEFANT   107   37  H    22 00 0  F                  65
DEFANT   110  111  H    23 00 0  F                 179
DEFANT   111  112  H    23 00 0  F                1904
DEFANT   112  113  H    23 00 0  F                1864
DEFANT   113  114  H    23 00 0  F                2173
DEFANT   120  123  H    21 00 0  F                  25
DEFANT   120  123  H    23 00 0  F                  14
DEFANT   121  122  H    23 00 0  F                  94
DEFANT   122  123  H    20 00 0  F                 104
DEFANT   122  123  H    21 00 0  F                  87
DEFANT   122  123  H    22 00 0  F                  99
DEFANT   122  123  H    23 00 0  F                 104
DEFANT   123  125  H    23 00 0  F                 165
DEFANT   125  129  H    22 00 0  F                  76
DEFANT   125  129  H    23 00 0  F                 188
DEFANT   126  127  H    23 00 0  F                  19
DEFANT   127  129  H    23 00 0  F                  46
DEFANT   129  130  H    23 00 0  F                  93
DEFANT   134  135  H    23 00 0  F                  52
DEFANT   135  141  H    23 00 0  F                  54
DEFANT   139  141  H    22 00 0  F                  93
DEFANT   139  141  H    23 00 0  F                  62
DEFANT   141  143  H    23 00 0  F                 294
DEFANT   143  144  H    23 00 0  F                 351
DEFANT   148  154  H    19 00 0  F                  46
DEFANT   148  154  H    20 00 0  F                  47
DEFANT   148  154  H    23 00 0  F                  68
DEFANT   153   46  H    23 00 0  F                 108
DEFANT   155  156  H    23 00 0  F                  59
DEFANT   156  169  H    09 00 0  F                 541
DEFANT   156  169  H    11 00 0  F                 542
DEFANT   156  169  H    15 00 0  F                 543
DEFANT   156  169  H    17 00 0  F                 544
DEFANT   156  169  H    20 00 0  F                 497
DEFANT   156  169  H    21 00 0  F                 451
DEFANT   156  169  H    23 00 0  F                 450
DEFANT   162  169  H    09 00 0  F                  21
DEFANT   162  169  H    21 00 0  F                  20
DEFANT   162  169  H    22 00 0  F                  21
DEFANT   169  172  H    21 00 0  F                1225
DEFANT   169  172  H    22 00 0  F                1206
DEFANT   169  172  H    23 00 0  F                1180
DEFANT   172  173  H    23 00 0  F                1251
DEFANT   175  178  H    23 00 0  F                1185
DEFANT   192  193  H    23 00 0  F                  39
DEFANT   193  141  H    22 00 0  F                  42
DEFANT   193  141  H    23 00 0  F                  38
DEFANT   203   30  H    23 00 0  F                  89
DEFANT   204  280  H    23 00 0  F                1731
DEFANT   228  229  H    19 00 0  F                 555
DEFANT   228  229  H    20 00 0  F                 686
DEFANT   228  229  H    21 00 0  F                 804
DEFANT   228  229  H    22 00 0  F                1003
DEFANT   228  229  H    23 00 0  F                1000
DEFANT   229  230  H    23 00 0  F                1402
DEFANT   241   34  H    23 00 0  F                 119
DEFANT   249   50  H    23 00 0  F                 117
DEFANT   251  252  H    23 00 0  F                 300
DEFANT   252  253  H    23 00 0  F                 303
DEFANT   253  257  H    23 00 0  F                 344
DEFANT   257  261  H    22 00 0  F                 564
DEFANT   257  261  H    23 00 0  F                 561
DEFANT   261  267  H    21 00 0  F                 731
DEFANT   261  267  H    22 00 0  F                 733
DEFANT   261  267  H    23 00 0  F                 691
DEFANT   262  241  H    23 00 0  F                 110
DEFANT   267  275  H    21 00 0  F                1648
DEFANT   267  275  H    22 00 0  F                1549
DEFANT   267  275  H    23 00 0  F                1465
DEFANT   280  284  H    23 00 0  F                1648
DEFANT   285  287  H    23 00 0  F               10474
DEFANT   290   34  H    23 00 0  F                  50
DEFANT   311  312  H    23 00 0  F                 111
DEFANT   312  315  H    23 00 0  F                 110
DEFANT   315   34  H    23 00 0  F                 113
DEFANT    66    1  S    23  0 0  F                6907
DEFANT    66    1  S    23  0 1  F                6612
DEFANT    66    1  S    23  1 0  F                6541
DEFANT    66    1  S    23  1 1  F                5728
DEFANT    66    1  S    23  2 0  F                5012
DEFANT    66    1  S    23  2 1  F                5008
DEFANT    66    1  S    23  3 0  F                4983
DEFANT    66    1  S    23  3 1  F                4829
DEFANT    66    1  S    23  4 0  F                4905
