&   DEFLUENCIAS ANTERIORES AO INICIO DO ESTUDO
&
&
&        Mont Jus TpJ   di hi m df hf m     defluencia
&X       XXX  XXX  X    XX XX X XX XX X     XXXXXXXXXX
DEFANT     2    4  H    28 00 0  F                  93
DEFANT     4    6  H    28 00 0  F                 186
DEFANT     6    7  H    28 00 0  F                 588
DEFANT     7    8  H    28 00 0  F                 459
DEFANT     8    9  H    28 00 0  F                 420
DEFANT     9   10  H    28 00 0  F                 459
DEFANT    10   11  H    28 00 0  F                 494
DEFANT    11   12  H    28 00 0  F                 699
DEFANT    12   17  H    28 00 0  F                 618
DEFANT    14   15  H    28 00 0  F                  41
DEFANT    15   16  H    28 00 0  F                  59
DEFANT    16   17  H    26 00 0  F                  46
DEFANT    16   17  H    27 00 0  F                  47
DEFANT    16   17  H    28 00 0  F                  46
DEFANT    17   18  H    28 00 0  F                1582
DEFANT    18   34  H    28 00 0  F                1883
DEFANT    20   21  H    28 00 0  F                 146
DEFANT    21   24  H    28 00 0  F                  81
DEFANT    24   31  H    28 00 0  F                  94
DEFANT    25   26  H    28 00 0  F                 136
DEFANT    26   27  H    28 00 0  F                 136
DEFANT    27   28  H    28 00 0  F                 123
DEFANT    28   31  H    28 00 0  F                 146
DEFANT    29  203  H    28 00 0  F                  15
DEFANT    30   31  H    28 00 0  F                 281
DEFANT    31   32  H    28 00 0  F                 676
DEFANT    32   33  H    28 00 0  F                 564
DEFANT    33   34  H    28 00 0  F                1845
DEFANT    34   45  H    28 00 0  F                3304
DEFANT    37   38  H    28 00 0  F                 146
DEFANT    38   39  H    28 00 0  F                 192
DEFANT    39   40  H    28 00 0  F                 247
DEFANT    40   42  H    28 00 0  F                 288
DEFANT    42   43  H    28 00 0  F                 278
DEFANT    43   45  H    28 00 0  F                 180
DEFANT    45   46  H    28 00 0  F                3300
DEFANT    46   66  H    27 00 0  F                3963
DEFANT    46   66  H    28 00 0  F                3914
DEFANT    47   48  H    28 00 0  F                  60
