& CONDICOES INICIAIS DAS UNIDADES                
&
&Flags Ativos
UCTPAR 2
UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
&CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
&CROSSOVER 1
&ENGOLIMENTO 0
&
& CONDICOES INICIAIS DAS UNIDADES                
&                                                
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X 
164  MURICY         1    0         0.00  12356  0  0
164  MURICY         2    0         0.00  14592  0  0
164  MURICY         3    0         0.00  12356  0  0
164  MURICY         4    0         0.00  14592  0  0
164  MURICY         5    0         0.00  12356  0  0
164  MURICY         6    0         0.00  12356  0  0
164  MURICY         7    0         0.00  12356  0  0
164  MURICY         8    0         0.00  14592  0  0
166  CAMACARI PI    1    0         0.00  14145  0  0
166  CAMACARI PI    2    0         0.00  14592  0  0
166  CAMACARI PI    3    0         0.00  14122  0  0
166  CAMACARI PI    4    0         0.00  14123  0  0
167  P. PECEM I     1    1       360.14    144  0  0
167  P. PECEM I     2    1       339.86    428  0  0
169  CISFRAMA       1    1         3.00   1992  0  0
170  SUAPE II       1    0         0.00  14924  0  0
170  SUAPE II       2    0         0.00   1537  1  0
170  SUAPE II       3    0         0.00   3417  0  0
170  SUAPE II       4    0         0.00  14924  0  0
170  SUAPE II       5    0         0.00   4506  0  0
170  SUAPE II       6    0         0.00   4457  0  0
170  SUAPE II       7    0         0.00   3408  1  0
170  SUAPE II       8    0         0.00   3408  1  0
170  SUAPE II       9    0         0.00  14924  0  0
170  SUAPE II      10    0         0.00  14924  0  0
170  SUAPE II      11    0         0.00   3359  1  0
170  SUAPE II      12    0         0.00  14924  0  0
170  SUAPE II      13    0         0.00   4492  1  0
170  SUAPE II      14    0         0.00   4434  0  0
170  SUAPE II      15    0         0.00   4351  0  0
170  SUAPE II      16    0         0.00   4342  0  0
170  SUAPE II      17    0         0.00  14924  0  0
176  PORTO ITAQUI   1    1       360.00    427  1  0
182  PALMEIRAS GO   1    0         0.00   4518  1  0
182  PALMEIRAS GO   2    0         0.00   4566  0  0
194  T.NORTE 2      1    0         0.00  14592  0  0
194  T.NORTE 2      2    0         0.00  14592  0  0
194  T.NORTE 2      3    0         0.00   4998  1  0
194  T.NORTE 2      4    0         0.00   4998  0  0
201  APARECIDA      1    1        25.00      0  1  0
201  APARECIDA      2    1        39.00     29  0  0
201  APARECIDA      3    1        25.00     10  1  0
201  APARECIDA      4    1        25.00     18  0  0
203  C. ROCHA       1    1        17.08   2938  0  0
203  C. ROCHA       2    1        17.08    435  0  0
203  C. ROCHA       3    0         0.00    216  0  0
203  C. ROCHA       4    1        17.08     41  0  0
203  C. ROCHA       5    1        14.77   2571  1  0
204  JARAQUI        6    1        36.08   6492  0  0
204  JARAQUI        7    1        26.92   6492  1  0
205  MANAUARA       1    1        16.70      6  0  0
205  MANAUARA       2    1        16.70     10  0  0
205  MANAUARA       3    1        16.70      6  0  0
205  MANAUARA       4    1        13.90      6  0  0
207  PONTA NEGRA    1    1        16.00  14530  0  0
207  PONTA NEGRA    2    1        16.00  14530  0  0
207  PONTA NEGRA    3    1        16.00  14530  0  0
207  PONTA NEGRA    4    1        16.00  14530  0  0
209  TAMBAQUI       5    0         0.00    604  0  0
209  TAMBAQUI       6    1        38.00    611  0  0
209  TAMBAQUI       7    1        25.00    611  0  0
211  BAIXADA FLU    1    0         0.00    332  1  0
211  BAIXADA FLU    2    0         0.00   5616  0  0
