&   DEFLUENCIAS ANTERIORES AO INICIO DO ESTUDO
&
&
&        Mont Jus TpJ   di hi m df hf m     defluencia
&X       XXX  XXX  X    XX XX X XX XX X     XXXXXXXXXX
DEFANT     2    4  H    27 00 0  F                 176
DEFANT     4    6  H    27 00 0  F                 313
DEFANT     6    7  H    27 00 0  F                 376
DEFANT     7    8  H    27 00 0  F                 428
DEFANT     8    9  H    27 00 0  F                 327
DEFANT     9   10  H    27 00 0  F                 348
DEFANT    10   11  H    27 00 0  F                 386
DEFANT    11   12  H    27 00 0  F                 498
DEFANT    12   17  H    27 00 0  F                 562
DEFANT    14   15  H    27 00 0  F                  35
DEFANT    15   16  H    27 00 0  F                  63
DEFANT    16   17  H    25 00 0  F                  54
DEFANT    16   17  H    26 00 0  F                  64
DEFANT    16   17  H    27 00 0  F                  61
DEFANT    17   18  H    27 00 0  F                1014
DEFANT    18   34  H    27 00 0  F                1048
DEFANT    20   21  H    27 00 0  F                 149
DEFANT    21   24  H    27 00 0  F                  90
DEFANT    24   31  H    27 00 0  F                 161
DEFANT    25   26  H    27 00 0  F                 157
DEFANT    26   27  H    27 00 0  F                 219
DEFANT    27   28  H    27 00 0  F                 213
DEFANT    28   31  H    27 00 0  F                 234
DEFANT    29  203  H    27 00 0  F                 208
DEFANT    30   31  H    27 00 0  F                 780
DEFANT    31   32  H    27 00 0  F                 816
DEFANT    32   33  H    27 00 0  F                 805
DEFANT    33   34  H    27 00 0  F                2481
DEFANT    34   45  H    27 00 0  F                3122
DEFANT    37   38  H    27 00 0  F                 417
DEFANT    38   39  H    27 00 0  F                 436
DEFANT    39   40  H    27 00 0  F                 578
DEFANT    40   42  H    27 00 0  F                 579
DEFANT    42   43  H    27 00 0  F                 734
DEFANT    43   45  H    27 00 0  F                 201
DEFANT    45   46  H    27 00 0  F                3500
DEFANT    46   66  H    26 00 0  F                3928
DEFANT    46   66  H    27 00 0  F                4041
DEFANT    47   48  H    27 00 0  F                  60
DEFANT    48   49  H    27 00 0  F                  60
DEFANT    49  249  H    27 00 0  F                 107
DEFANT    50   51  H    27 00 0  F                 144
DEFANT    51   52  H    27 00 0  F                 145
DEFANT    52   61  H    27 00 0  F                 164
DEFANT    57   61  H    27 00 0  F                 172
DEFANT    61   62  H    27 00 0  F                 578
DEFANT    62   63  H    27 00 0  F                 612
DEFANT    63   66  H    26 00 0  F                 891
DEFANT    63   66  H    27 00 0  F                 660
DEFANT    71   72  H    27 00 0  F                  56
DEFANT    72   73  H    27 00 0  F                  56
DEFANT    73   77  H    27 00 0  F                  15
DEFANT    74   76  H    27 00 0  F                 669
DEFANT    76   77  H    27 00 0  F                1078
DEFANT    77   78  H    27 00 0  F                1008
DEFANT    78   82  H    27 00 0  F                1142
DEFANT    82   83  H    27 00 0  F                1230
